
Model:	LI-1500 Light Sensor Logger	
Config:	BIOFOULC	
MULT_1:	-155.10
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20230822 10:26:49	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-08-22	11:31:01.003	0.011843	111
DATA	0000001	2023-08-22	11:32:01.006	0.011843	116
DATA	0000002	2023-08-22	11:33:01.009	0.012291	119
DATA	0000003	2023-08-22	11:34:01.012	0.012142	110
DATA	0000004	2023-08-22	11:35:01.014	0.013187	124
DATA	0000005	2023-08-22	11:36:01.017	0.011544	124
DATA	0000006	2023-08-22	11:37:01.020	0.011992	127
DATA	0000007	2023-08-22	11:38:01.023	0.011544	125
DATA	0000008	2023-08-22	11:39:01.026	0.011544	130
DATA	0000009	2023-08-22	11:40:01.029	0.012291	126
DATA	0000010	2023-08-22	11:41:01.032	0.011843	115
DATA	0000011	2023-08-22	11:42:01.035	0.011694	124
DATA	0000012	2023-08-22	11:43:01.037	0.010648	126
DATA	0000013	2023-08-22	11:44:01.040	91.612	 26
DATA	0000014	2023-08-22	11:45:01.043	105.49	 31
DATA	0000015	2023-08-22	11:46:01.046	119.97	 44
DATA	0000016	2023-08-22	11:47:01.049	133.33	 35
DATA	0000017	2023-08-22	11:48:01.052	150.07	 31
DATA	0000018	2023-08-22	11:49:01.055	166.68	 50
DATA	0000019	2023-08-22	11:50:01.058	182.26	 38
DATA	0000020	2023-08-22	11:51:01.060	197.40	 26
DATA	0000021	2023-08-22	11:52:01.063	212.05	 20
DATA	0000022	2023-08-22	11:53:01.066	226.61	 32
DATA	0000023	2023-08-22	11:54:01.069	241.45	 36
DATA	0000024	2023-08-22	11:55:01.072	256.03	 32
DATA	0000025	2023-08-22	11:56:01.075	271.44	 39
DATA	0000026	2023-08-22	11:57:01.078	287.28	 53
DATA	0000027	2023-08-22	11:58:01.081	305.99	 48
DATA	0000028	2023-08-22	11:59:01.083	322.56	 44
DATA	0000029	2023-08-22	12:00:01.086	339.07	 39
DATA	0000030	2023-08-22	12:01:01.089	356.71	 35
DATA	0000031	2023-08-22	12:02:01.092	374.10	 24
DATA	0000032	2023-08-22	12:03:01.095	391.00	 27
DATA	0000033	2023-08-22	12:04:01.098	408.06	 37
DATA	0000034	2023-08-22	12:05:01.101	423.12	 18
DATA	0000035	2023-08-22	12:06:01.104	440.53	 27
DATA	0000036	2023-08-22	12:07:01.106	455.19	 39
DATA	0000037	2023-08-22	12:08:01.109	471.43	 39
DATA	0000038	2023-08-22	12:09:01.112	487.50	 40
DATA	0000039	2023-08-22	12:10:01.115	503.58	 33
DATA	0000040	2023-08-22	12:11:01.118	519.75	 35
DATA	0000041	2023-08-22	12:12:01.121	534.36	 25
DATA	0000042	2023-08-22	12:13:01.124	549.81	 36
DATA	0000043	2023-08-22	12:14:01.127	564.65	 40
DATA	0000044	2023-08-22	12:15:01.129	579.87	 54
DATA	0000045	2023-08-22	12:16:01.132	594.88	 48
DATA	0000046	2023-08-22	12:17:01.135	608.47	 44
DATA	0000047	2023-08-22	12:18:01.138	624.13	 40
DATA	0000048	2023-08-22	12:19:01.141	639.12	 41
DATA	0000049	2023-08-22	12:20:01.144	638.82	 43
DATA	0000050	2023-08-22	12:21:01.147	638.57	 41
DATA	0000051	2023-08-22	12:22:01.150	638.43	 32
DATA	0000052	2023-08-22	12:23:01.152	638.27	 38
DATA	0000053	2023-08-22	12:24:01.155	638.09	 43
DATA	0000054	2023-08-22	12:25:01.158	638.02	 41
DATA	0000055	2023-08-22	12:26:01.161	637.97	 50
DATA	0000056	2023-08-22	12:27:01.164	637.76	 52
DATA	0000057	2023-08-22	12:28:01.167	637.64	 54
DATA	0000058	2023-08-22	12:29:01.170	637.55	 50
DATA	0000059	2023-08-22	12:30:01.173	637.48	 48
DATA	0000060	2023-08-22	12:31:01.175	637.40	 35
DATA	0000061	2023-08-22	12:32:01.178	637.31	 40
DATA	0000062	2023-08-22	12:33:01.181	637.24	 38
DATA	0000063	2023-08-22	12:34:01.184	637.16	 44
DATA	0000064	2023-08-22	12:35:01.187	637.15	 48
DATA	0000065	2023-08-22	12:36:01.190	637.13	 42
DATA	0000066	2023-08-22	12:37:01.193	637.13	 47
DATA	0000067	2023-08-22	12:38:01.196	637.07	 55
DATA	0000068	2023-08-22	12:39:01.198	637.04	 56
DATA	0000069	2023-08-22	12:40:01.201	621.47	 34
DATA	0000070	2023-08-22	12:41:01.204	606.17	 30
