data2,data1,loggerUid,logDateTime,dateTime
21.19,655350,CAD4A7D9D5D4,1692689400,22-08-2023 10:30:00
21.13,250,CAD4A7D9D5D4,1692689460,22-08-2023 10:31:00
21.13,250,CAD4A7D9D5D4,1692689520,22-08-2023 10:32:00
21.13,260,CAD4A7D9D5D4,1692689580,22-08-2023 10:33:00
21.06,250,CAD4A7D9D5D4,1692689640,22-08-2023 10:34:00
21.06,260,CAD4A7D9D5D4,1692689700,22-08-2023 10:35:00
21.06,250,CAD4A7D9D5D4,1692689760,22-08-2023 10:36:00
21,250,CAD4A7D9D5D4,1692689820,22-08-2023 10:37:00
21,250,CAD4A7D9D5D4,1692689880,22-08-2023 10:38:00
21,260,CAD4A7D9D5D4,1692689940,22-08-2023 10:39:00
20.94,240,CAD4A7D9D5D4,1692690000,22-08-2023 10:40:00
20.94,250,CAD4A7D9D5D4,1692690060,22-08-2023 10:41:00
20.94,250,CAD4A7D9D5D4,1692690120,22-08-2023 10:42:00
20.94,250,CAD4A7D9D5D4,1692690180,22-08-2023 10:43:00
20.94,490,CAD4A7D9D5D4,1692690240,22-08-2023 10:44:00
20.94,920,CAD4A7D9D5D4,1692690300,22-08-2023 10:45:00
20.94,130,CAD4A7D9D5D4,1692690360,22-08-2023 10:46:00
20.94,60,CAD4A7D9D5D4,1692690420,22-08-2023 10:47:00
20.94,0,CAD4A7D9D5D4,1692690480,22-08-2023 10:48:00
20.94,10,CAD4A7D9D5D4,1692690540,22-08-2023 10:49:00
20.63,340,CAD4A7D9D5D4,1692693000,22-08-2023 11:30:00
20.69,0,CAD4A7D9D5D4,1692693060,22-08-2023 11:31:00
20.69,0,CAD4A7D9D5D4,1692693120,22-08-2023 11:32:00
20.69,0,CAD4A7D9D5D4,1692693180,22-08-2023 11:33:00
20.63,0,CAD4A7D9D5D4,1692693240,22-08-2023 11:34:00
20.69,0,CAD4A7D9D5D4,1692693300,22-08-2023 11:35:00
20.69,0,CAD4A7D9D5D4,1692693360,22-08-2023 11:36:00
20.69,0,CAD4A7D9D5D4,1692693420,22-08-2023 11:37:00
20.69,0,CAD4A7D9D5D4,1692693480,22-08-2023 11:38:00
20.69,0,CAD4A7D9D5D4,1692693540,22-08-2023 11:39:00
20.69,0,CAD4A7D9D5D4,1692693600,22-08-2023 11:40:00
20.69,0,CAD4A7D9D5D4,1692693660,22-08-2023 11:41:00
20.69,0,CAD4A7D9D5D4,1692693720,22-08-2023 11:42:00
20.69,0,CAD4A7D9D5D4,1692693780,22-08-2023 11:43:00
20.75,0,CAD4A7D9D5D4,1692693840,22-08-2023 11:44:00
20.75,0,CAD4A7D9D5D4,1692693900,22-08-2023 11:45:00
20.75,3970,CAD4A7D9D5D4,1692693960,22-08-2023 11:46:00
20.75,4710,CAD4A7D9D5D4,1692694020,22-08-2023 11:47:00
20.81,5280,CAD4A7D9D5D4,1692694080,22-08-2023 11:48:00
20.81,5900,CAD4A7D9D5D4,1692694140,22-08-2023 11:49:00
20.88,6590,CAD4A7D9D5D4,1692694200,22-08-2023 11:50:00
20.94,7250,CAD4A7D9D5D4,1692694260,22-08-2023 11:51:00
21,7910,CAD4A7D9D5D4,1692694320,22-08-2023 11:52:00
21.06,8560,CAD4A7D9D5D4,1692694380,22-08-2023 11:53:00
21.06,9180,CAD4A7D9D5D4,1692694440,22-08-2023 11:54:00
21.19,9790,CAD4A7D9D5D4,1692694500,22-08-2023 11:55:00
21.25,10400,CAD4A7D9D5D4,1692694560,22-08-2023 11:56:00
21.31,11030,CAD4A7D9D5D4,1692694620,22-08-2023 11:57:00
21.38,11660,CAD4A7D9D5D4,1692694680,22-08-2023 11:58:00
21.44,12370,CAD4A7D9D5D4,1692694740,22-08-2023 11:59:00
21.56,13080,CAD4A7D9D5D4,1692694800,22-08-2023 12:00:00
21.63,13780,CAD4A7D9D5D4,1692694860,22-08-2023 12:01:00
21.75,14480,CAD4A7D9D5D4,1692694920,22-08-2023 12:02:00
21.88,15190,CAD4A7D9D5D4,1692694980,22-08-2023 12:03:00
22,15870,CAD4A7D9D5D4,1692695040,22-08-2023 12:04:00
22.13,16580,CAD4A7D9D5D4,1692695100,22-08-2023 12:05:00
22.31,17240,CAD4A7D9D5D4,1692695160,22-08-2023 12:06:00
