data2,data1,loggerUid,logDateTime,dateTime
20.5,655350,F4E392E44540,1692689400,22-08-2023 10:30:00
20.44,300,F4E392E44540,1692689460,22-08-2023 10:31:00
20.38,300,F4E392E44540,1692689520,22-08-2023 10:32:00
20.38,300,F4E392E44540,1692689580,22-08-2023 10:33:00
20.31,290,F4E392E44540,1692689640,22-08-2023 10:34:00
20.31,300,F4E392E44540,1692689700,22-08-2023 10:35:00
20.25,300,F4E392E44540,1692689760,22-08-2023 10:36:00
20.25,290,F4E392E44540,1692689820,22-08-2023 10:37:00
20.25,300,F4E392E44540,1692689880,22-08-2023 10:38:00
20.25,290,F4E392E44540,1692689940,22-08-2023 10:39:00
20.19,290,F4E392E44540,1692690000,22-08-2023 10:40:00
20.25,290,F4E392E44540,1692690060,22-08-2023 10:41:00
20.19,290,F4E392E44540,1692690120,22-08-2023 10:42:00
20.19,290,F4E392E44540,1692690180,22-08-2023 10:43:00
20.19,520,F4E392E44540,1692690240,22-08-2023 10:44:00
20.25,940,F4E392E44540,1692690300,22-08-2023 10:45:00
20.25,150,F4E392E44540,1692690360,22-08-2023 10:46:00
20.25,70,F4E392E44540,1692690420,22-08-2023 10:47:00
20.25,10,F4E392E44540,1692690480,22-08-2023 10:48:00
20.25,330,F4E392E44540,1692693000,22-08-2023 11:30:00
20.25,0,F4E392E44540,1692693060,22-08-2023 11:31:00
20.25,0,F4E392E44540,1692693120,22-08-2023 11:32:00
20.25,0,F4E392E44540,1692693180,22-08-2023 11:33:00
20.25,0,F4E392E44540,1692693240,22-08-2023 11:34:00
20.25,0,F4E392E44540,1692693300,22-08-2023 11:35:00
20.25,0,F4E392E44540,1692693360,22-08-2023 11:36:00
20.25,10,F4E392E44540,1692693420,22-08-2023 11:37:00
20.25,0,F4E392E44540,1692693480,22-08-2023 11:38:00
20.25,0,F4E392E44540,1692693540,22-08-2023 11:39:00
20.25,0,F4E392E44540,1692693600,22-08-2023 11:40:00
20.25,0,F4E392E44540,1692693660,22-08-2023 11:41:00
20.31,0,F4E392E44540,1692693720,22-08-2023 11:42:00
20.31,0,F4E392E44540,1692693780,22-08-2023 11:43:00
20.31,0,F4E392E44540,1692693840,22-08-2023 11:44:00
20.31,0,F4E392E44540,1692693900,22-08-2023 11:45:00
20.31,3830,F4E392E44540,1692693960,22-08-2023 11:46:00
20.31,4580,F4E392E44540,1692694020,22-08-2023 11:47:00
20.38,5130,F4E392E44540,1692694080,22-08-2023 11:48:00
20.44,5740,F4E392E44540,1692694140,22-08-2023 11:49:00
20.44,6390,F4E392E44540,1692694200,22-08-2023 11:50:00
20.5,7030,F4E392E44540,1692694260,22-08-2023 11:51:00
20.56,7670,F4E392E44540,1692694320,22-08-2023 11:52:00
20.63,8300,F4E392E44540,1692694380,22-08-2023 11:53:00
20.69,8890,F4E392E44540,1692694440,22-08-2023 11:54:00
20.75,9480,F4E392E44540,1692694500,22-08-2023 11:55:00
20.81,10070,F4E392E44540,1692694560,22-08-2023 11:56:00
20.88,10680,F4E392E44540,1692694620,22-08-2023 11:57:00
20.94,11270,F4E392E44540,1692694680,22-08-2023 11:58:00
21.06,11970,F4E392E44540,1692694740,22-08-2023 11:59:00
21.13,12650,F4E392E44540,1692694800,22-08-2023 12:00:00
21.19,13330,F4E392E44540,1692694860,22-08-2023 12:01:00
21.31,14010,F4E392E44540,1692694920,22-08-2023 12:02:00
21.44,14690,F4E392E44540,1692694980,22-08-2023 12:03:00
21.56,15360,F4E392E44540,1692695040,22-08-2023 12:04:00
21.69,16040,F4E392E44540,1692695100,22-08-2023 12:05:00
21.81,16690,F4E392E44540,1692695160,22-08-2023 12:06:00
22,17330,F4E392E44540,1692695220,22-08-2023 12:07:00
22.13,17980,F4E392E44540,1692695280,22-08-2023 12:08:00
22.31,18590,F4E392E44540,1692695340,22-08-2023 12:09:00
22.44,19240,F4E392E44540,1692695400,22-08-2023 12:10:00
22.56,19860,F4E392E44540,1692695460,22-08-2023 12:11:00
22.75,20470,F4E392E44540,1692695520,22-08-2023 12:12:00
22.88,21100,F4E392E44540,1692695580,22-08-2023 12:13:00
23.06,21700,F4E392E44540,1692695640,22-08-2023 12:14:00
23.19,22290,F4E392E44540,1692695700,22-08-2023 12:15:00
23.31,22870,F4E392E44540,1692695760,22-08-2023 12:16:00
23.5,23470,F4E392E44540,1692695820,22-08-2023 12:17:00
23.69,24060,F4E392E44540,1692695880,22-08-2023 12:18:00
23.81,24620,F4E392E44540,1692695940,22-08-2023 12:19:00
24,25200,F4E392E44540,1692696000,22-08-2023 12:20:00
24.13,25550,F4E392E44540,1692696060,22-08-2023 12:21:00
24.31,25530,F4E392E44540,1692696120,22-08-2023 12:22:00
24.44,25530,F4E392E44540,1692696180,22-08-2023 12:23:00
24.63,25510,F4E392E44540,1692696240,22-08-2023 12:24:00
24.75,25510,F4E392E44540,1692696300,22-08-2023 12:25:00
24.94,25500,F4E392E44540,1692696360,22-08-2023 12:26:00
25.06,25490,F4E392E44540,1692696420,22-08-2023 12:27:00
25.19,25490,F4E392E44540,1692696480,22-08-2023 12:28:00
25.38,25480,F4E392E44540,1692696540,22-08-2023 12:29:00
25.5,25470,F4E392E44540,1692696600,22-08-2023 12:30:00
25.63,25460,F4E392E44540,1692696660,22-08-2023 12:31:00
25.75,25470,F4E392E44540,1692696720,22-08-2023 12:32:00
