Model:	LI-1500 Light Sensor Logger				
Config:	BIOFOULC				
MULT_1:	-155.1				
Session Remark:	 				
Software Version:	1.2.0				
Timestamp:	20230823 10:01:47				
DATAH	Record	Date	Time	INPUT1	CHK
DATA	0	8/23/2023	11:31:00 AM	0.011848	116
DATA	1	8/23/2023	11:32:00 AM	0.013191	114
DATA	2	8/23/2023	11:33:00 AM	0.013191	119
DATA	3	8/23/2023	11:34:00 AM	0.01349	117
DATA	4	8/23/2023	11:35:00 AM	0.013191	119
DATA	5	8/23/2023	11:36:00 AM	0.012445	125
DATA	6	8/23/2023	11:37:00 AM	0.013191	120
DATA	7	8/23/2023	11:38:00 AM	0.013042	120
DATA	8	8/23/2023	11:39:00 AM	0.012594	136
DATA	9	8/23/2023	11:40:00 AM	16.358	38
DATA	10	8/23/2023	11:41:00 AM	33.054	17
DATA	11	8/23/2023	11:42:00 AM	49.525	32
DATA	12	8/23/2023	11:43:00 AM	65.292	35
DATA	13	8/23/2023	11:44:00 AM	82.873	35
DATA	14	8/23/2023	11:45:00 AM	99.417	42
DATA	15	8/23/2023	11:46:00 AM	113.48	34
DATA	16	8/23/2023	11:47:00 AM	125.76	43
DATA	17	8/23/2023	11:48:00 AM	140.98	40
DATA	18	8/23/2023	11:49:00 AM	155.83	45
DATA	19	8/23/2023	11:50:00 AM	169.8	43
DATA	20	8/23/2023	11:51:00 AM	183.26	25
DATA	21	8/23/2023	11:52:00 AM	196.62	34
DATA	22	8/23/2023	11:53:00 AM	209.96	41
DATA	23	8/23/2023	11:54:00 AM	223.51	33
DATA	24	8/23/2023	11:55:00 AM	236.35	35
DATA	25	8/23/2023	11:56:00 AM	250.38	39
DATA	26	8/23/2023	11:57:00 AM	265.14	44
DATA	27	8/23/2023	11:58:00 AM	282.3	37
DATA	28	8/23/2023	11:59:00 AM	297.76	57
DATA	29	8/23/2023	12:00:00 PM	312.87	38
DATA	30	8/23/2023	12:01:00 PM	328.5	31
DATA	31	8/23/2023	12:02:00 PM	344.14	25
DATA	32	8/23/2023	12:03:00 PM	359.39	43
DATA	33	8/23/2023	12:04:00 PM	374.95	47
DATA	34	8/23/2023	12:05:00 PM	388.26	33
DATA	35	8/23/2023	12:06:00 PM	403.9	27
DATA	36	8/23/2023	12:07:00 PM	416.98	43
DATA	37	8/23/2023	12:08:00 PM	431.72	37
DATA	38	8/23/2023	12:09:00 PM	445.8	37
DATA	39	8/23/2023	12:10:00 PM	460.15	28
DATA	40	8/23/2023	12:11:00 PM	474.47	34
DATA	41	8/23/2023	12:12:00 PM	487.37	33
DATA	42	8/23/2023	12:13:00 PM	500.89	31
DATA	43	8/23/2023	12:14:00 PM	514.67	37
DATA	44	8/23/2023	12:15:00 PM	531.59	41
DATA	45	8/23/2023	12:16:00 PM	547.34	37
DATA	46	8/23/2023	12:17:00 PM	560.87	45
DATA	47	8/23/2023	12:18:00 PM	576.02	44
DATA	48	8/23/2023	12:19:00 PM	589.9	51
DATA	49	8/23/2023	12:20:00 PM	589.69	53
DATA	50	8/23/2023	12:21:00 PM	589.55	44
DATA	51	8/23/2023	12:22:00 PM	589.58	43
DATA	52	8/23/2023	12:23:00 PM	589.46	44
DATA	53	8/23/2023	12:24:00 PM	589.39	51
DATA	54	8/23/2023	12:25:00 PM	589.39	56
DATA	55	8/23/2023	12:26:00 PM	589.34	47
DATA	56	8/23/2023	12:27:00 PM	589.4	49
DATA	57	8/23/2023	12:28:00 PM	589.48	62
DATA	58	8/23/2023	12:29:00 PM	589.4	50
DATA	59	8/23/2023	12:30:00 PM	589.4	46
DATA	60	8/23/2023	12:31:00 PM	589.43	44
DATA	61	8/23/2023	12:32:00 PM	589.49	55
DATA	62	8/23/2023	12:33:00 PM	589.43	45
DATA	63	8/23/2023	12:34:00 PM	589.46	53
DATA	64	8/23/2023	12:35:00 PM	589.48	60
DATA	65	8/23/2023	12:36:00 PM	589.46	54
DATA	66	8/23/2023	12:37:00 PM	589.37	59
DATA	67	8/23/2023	12:38:00 PM	589.37	64
DATA	68	8/23/2023	12:39:00 PM	589.45	67
DATA	69	8/23/2023	12:40:00 PM	574.68	44
DATA	70	8/23/2023	12:41:00 PM	561	22
DATA	71	8/23/2023	12:42:00 PM	547.74	42
DATA	72	8/23/2023	12:43:00 PM	534.48	35
DATA	73	8/23/2023	12:44:00 PM	519.64	41
DATA	74	8/23/2023	12:45:00 PM	506.96	47
DATA	75	8/23/2023	12:46:00 PM	492.51	47
DATA	76	8/23/2023	12:47:00 PM	479.03	45
DATA	77	8/23/2023	12:48:00 PM	464.24	46
DATA	78	8/23/2023	12:49:00 PM	449.51	54
DATA	79	8/23/2023	12:50:00 PM	434.16	36
DATA	80	8/23/2023	12:51:00 PM	419.85	41
DATA	81	8/23/2023	12:52:00 PM	405.58	41
DATA	82	8/23/2023	12:53:00 PM	390.64	46
DATA	83	8/23/2023	12:54:00 PM	376.14	41
DATA	84	8/23/2023	12:55:00 PM	361.25	42
DATA	85	8/23/2023	12:56:00 PM	344.93	52
DATA	86	8/23/2023	12:57:00 PM	330.23	36
DATA	87	8/23/2023	12:58:00 PM	314.25	45
DATA	88	8/23/2023	12:59:00 PM	298.93	66
DATA	89	8/23/2023	1:00:00 PM	283.37	49
DATA	90	8/23/2023	1:00:59 PM	266.3	43
DATA	91	8/23/2023	1:01:59 PM	249.69	61
DATA	92	8/23/2023	1:02:59 PM	233.71	51
DATA	93	8/23/2023	1:03:59 PM	216.95	54
DATA	94	8/23/2023	1:04:59 PM	200.88	54
DATA	95	8/23/2023	1:05:59 PM	184.81	63
DATA	96	8/23/2023	1:06:59 PM	170.04	58
DATA	97	8/23/2023	1:07:59 PM	152.52	57
DATA	98	8/23/2023	1:08:59 PM	136.6	63
DATA	99	8/23/2023	1:09:59 PM	117.69	76
DATA	100	8/23/2023	1:10:59 PM	100.67	35
DATA	101	8/23/2023	1:11:59 PM	83.004	40
DATA	102	8/23/2023	1:12:59 PM	67.466	59
DATA	103	8/23/2023	1:13:59 PM	54.333	53
DATA	104	8/23/2023	1:14:59 PM	42.846	46
DATA	105	8/23/2023	1:15:59 PM	32.051	38
DATA	106	8/23/2023	1:16:59 PM	21.135	44
DATA	107	8/23/2023	1:17:59 PM	14.192	45
DATA	108	8/23/2023	1:18:59 PM	0.013789	157
DATA	109	8/23/2023	1:19:59 PM	0.01349	150
DATA	110	8/23/2023	1:20:59 PM	0.013639	142
DATA	111	8/23/2023	1:21:59 PM	0.013191	131
DATA	112	8/23/2023	1:22:59 PM	0.014237	138
DATA	113	8/23/2023	1:23:59 PM	0.013938	150
DATA	114	8/23/2023	1:24:59 PM	0.013639	144
DATA	115	8/23/2023	1:25:59 PM	0.013789	155
DATA	116	8/23/2023	1:26:59 PM	0.014237	149
DATA	117	8/23/2023	1:27:59 PM	0.013938	160
DATA	118	8/23/2023	1:28:59 PM	0.013341	144
