data2,data1,loggerUid,logDateTime,dateTime
20.88,655350,C61B721D5ABA,1692779400,23-08-2023 11:30:00
20.88,0,C61B721D5ABA,1692779460,23-08-2023 11:31:00
20.88,0,C61B721D5ABA,1692779520,23-08-2023 11:32:00
20.88,0,C61B721D5ABA,1692779580,23-08-2023 11:33:00
20.88,0,C61B721D5ABA,1692779640,23-08-2023 11:34:00
20.88,0,C61B721D5ABA,1692779700,23-08-2023 11:35:00
20.88,0,C61B721D5ABA,1692779760,23-08-2023 11:36:00
20.88,0,C61B721D5ABA,1692779820,23-08-2023 11:37:00
20.88,0,C61B721D5ABA,1692779880,23-08-2023 11:38:00
20.88,0,C61B721D5ABA,1692779940,23-08-2023 11:39:00
20.88,0,C61B721D5ABA,1692780000,23-08-2023 11:40:00
20.88,270,C61B721D5ABA,1692780060,23-08-2023 11:41:00
20.88,940,C61B721D5ABA,1692780120,23-08-2023 11:42:00
20.88,1590,C61B721D5ABA,1692780180,23-08-2023 11:43:00
20.88,2240,C61B721D5ABA,1692780240,23-08-2023 11:44:00
20.88,2880,C61B721D5ABA,1692780300,23-08-2023 11:45:00
20.88,3530,C61B721D5ABA,1692780360,23-08-2023 11:46:00
20.94,4170,C61B721D5ABA,1692780420,23-08-2023 11:47:00
20.94,4670,C61B721D5ABA,1692780480,23-08-2023 11:48:00
20.94,5200,C61B721D5ABA,1692780540,23-08-2023 11:49:00
21,5770,C61B721D5ABA,1692780600,23-08-2023 11:50:00
21.06,6310,C61B721D5ABA,1692780660,23-08-2023 11:51:00
21.13,6860,C61B721D5ABA,1692780720,23-08-2023 11:52:00
21.13,7410,C61B721D5ABA,1692780780,23-08-2023 11:53:00
21.19,7920,C61B721D5ABA,1692780840,23-08-2023 11:54:00
21.25,8430,C61B721D5ABA,1692780900,23-08-2023 11:55:00
21.31,8940,C61B721D5ABA,1692780960,23-08-2023 11:56:00
21.38,9450,C61B721D5ABA,1692781020,23-08-2023 11:57:00
21.5,9990,C61B721D5ABA,1692781080,23-08-2023 11:58:00
21.56,10610,C61B721D5ABA,1692781140,23-08-2023 11:59:00
21.63,11210,C61B721D5ABA,1692781200,23-08-2023 12:00:00
21.75,11820,C61B721D5ABA,1692781260,23-08-2023 12:01:00
21.81,12400,C61B721D5ABA,1692781320,23-08-2023 12:02:00
21.88,12990,C61B721D5ABA,1692781380,23-08-2023 12:03:00
22,13560,C61B721D5ABA,1692781440,23-08-2023 12:04:00
22.06,14160,C61B721D5ABA,1692781500,23-08-2023 12:05:00
22.19,14710,C61B721D5ABA,1692781560,23-08-2023 12:06:00
22.31,15280,C61B721D5ABA,1692781620,23-08-2023 12:07:00
22.38,15830,C61B721D5ABA,1692781680,23-08-2023 12:08:00
22.5,16360,C61B721D5ABA,1692781740,23-08-2023 12:09:00
22.63,16920,C61B721D5ABA,1692781800,23-08-2023 12:10:00
22.75,17440,C61B721D5ABA,1692781860,23-08-2023 12:11:00
22.88,17970,C61B721D5ABA,1692781920,23-08-2023 12:12:00
23,18510,C61B721D5ABA,1692781980,23-08-2023 12:13:00
23.13,19010,C61B721D5ABA,1692782040,23-08-2023 12:14:00
23.19,19520,C61B721D5ABA,1692782100,23-08-2023 12:15:00
23.38,20100,C61B721D5ABA,1692782160,23-08-2023 12:16:00
23.56,20710,C61B721D5ABA,1692782220,23-08-2023 12:17:00
23.81,21300,C61B721D5ABA,1692782280,23-08-2023 12:18:00
24,21830,C61B721D5ABA,1692782340,23-08-2023 12:19:00
24.25,22360,C61B721D5ABA,1692782400,23-08-2023 12:20:00
24.44,22660,C61B721D5ABA,1692782460,23-08-2023 12:21:00
24.63,22650,C61B721D5ABA,1692782520,23-08-2023 12:22:00
24.81,22640,C61B721D5ABA,1692782580,23-08-2023 12:23:00
