data2,data1,loggerUid,logDateTime,dateTime,LiCor,,Cal Eq
21.44,655350,CDFB19377155,1692774960,23-08-2023 10:16:00,,,y= 0.0183x-0.4443
21.5,0,CDFB19377155,1692774962,23-08-2023 10:16:02,,,y= LiCor
20.88,50,CDFB19377155,1692779400,23-08-2023 11:30:00,,,x= ODY (data1)
20.88,0,CDFB19377155,1692779460,23-08-2023 11:31:00,0.011848,,
20.88,0,CDFB19377155,1692779520,23-08-2023 11:32:00,0.013191,,
20.88,0,CDFB19377155,1692779580,23-08-2023 11:33:00,0.013191,,
20.88,0,CDFB19377155,1692779640,23-08-2023 11:34:00,0.01349,,
20.88,0,CDFB19377155,1692779700,23-08-2023 11:35:00,0.013191,,
20.88,0,CDFB19377155,1692779760,23-08-2023 11:36:00,0.012445,,
20.88,0,CDFB19377155,1692779820,23-08-2023 11:37:00,0.013191,,
20.88,0,CDFB19377155,1692779880,23-08-2023 11:38:00,0.013042,,
20.88,0,CDFB19377155,1692779940,23-08-2023 11:39:00,0.012594,,
20.88,0,CDFB19377155,1692780000,23-08-2023 11:40:00,16.358,,
20.88,370,CDFB19377155,1692780060,23-08-2023 11:41:00,33.054,,
20.88,1350,CDFB19377155,1692780120,23-08-2023 11:42:00,49.525,,
20.88,2280,CDFB19377155,1692780180,23-08-2023 11:43:00,65.292,,
20.88,3210,CDFB19377155,1692780240,23-08-2023 11:44:00,82.873,,
20.88,4150,CDFB19377155,1692780300,23-08-2023 11:45:00,99.417,,
20.94,5070,CDFB19377155,1692780360,23-08-2023 11:46:00,113.48,,
20.94,6000,CDFB19377155,1692780420,23-08-2023 11:47:00,125.76,,
20.94,6720,CDFB19377155,1692780480,23-08-2023 11:48:00,140.98,,
21,7470,CDFB19377155,1692780540,23-08-2023 11:49:00,155.83,,
21,8260,CDFB19377155,1692780600,23-08-2023 11:50:00,169.8,,
21.06,9030,CDFB19377155,1692780660,23-08-2023 11:51:00,183.26,,
21.13,9810,CDFB19377155,1692780720,23-08-2023 11:52:00,196.62,,
21.19,10570,CDFB19377155,1692780780,23-08-2023 11:53:00,209.96,,
21.25,11280,CDFB19377155,1692780840,23-08-2023 11:54:00,223.51,,
21.31,11990,CDFB19377155,1692780900,23-08-2023 11:55:00,236.35,,
21.38,12710,CDFB19377155,1692780960,23-08-2023 11:56:00,250.38,,
21.44,13430,CDFB19377155,1692781020,23-08-2023 11:57:00,265.14,,
21.5,14190,CDFB19377155,1692781080,23-08-2023 11:58:00,282.3,,
21.63,15060,CDFB19377155,1692781140,23-08-2023 11:59:00,297.76,,
21.69,15910,CDFB19377155,1692781200,23-08-2023 12:00:00,312.87,,
21.81,16770,CDFB19377155,1692781260,23-08-2023 12:01:00,328.5,,
21.88,17590,CDFB19377155,1692781320,23-08-2023 12:02:00,344.14,,
22,18440,CDFB19377155,1692781380,23-08-2023 12:03:00,359.39,,
22.06,19240,CDFB19377155,1692781440,23-08-2023 12:04:00,374.95,,
