Model:	LI-1500 Light Sensor Logger				
Config:	BIOFOULC				
MULT_1:	-155.1				
Session Remark:	 				
Software Version:	1.2.0				
Timestamp:	20230824 10:42:30				
DATAH	Record	Date	Time	INPUT1	CHK
DATA	0	8/24/2023	31:00.0	0.0045113	157
DATA	1	8/24/2023	32:00.0	0.004362	163
DATA	2	8/24/2023	33:00.0	0.0036154	172
DATA	3	8/24/2023	34:00.0	0.0036154	168
DATA	4	8/24/2023	35:00.0	0.0040633	169
DATA	5	8/24/2023	36:00.0	0.0042126	173
DATA	6	8/24/2023	37:00.0	0.004362	169
DATA	7	8/24/2023	38:00.0	0.0040633	175
DATA	8	8/24/2023	39:00.0	0.0045113	178
DATA	9	8/24/2023	40:00.0	15.784	41
DATA	10	8/24/2023	41:00.0	31.95	21
DATA	11	8/24/2023	42:00.0	47.919	38
DATA	12	8/24/2023	43:00.0	63.075	33
DATA	13	8/24/2023	44:00.0	79.981	42
DATA	14	8/24/2023	45:00.0	95.68	41
DATA	15	8/24/2023	46:00.0	109.34	35
DATA	16	8/24/2023	47:00.0	121.08	35
DATA	17	8/24/2023	48:00.1	136.26	37
DATA	18	8/24/2023	49:00.1	150.7	37
DATA	19	8/24/2023	50:00.1	164.56	42
DATA	20	8/24/2023	51:00.1	177.78	36
DATA	21	8/24/2023	52:00.1	191.5	27
DATA	22	8/24/2023	53:00.1	204.05	27
DATA	23	8/24/2023	54:00.1	217.38	42
DATA	24	8/24/2023	55:00.1	230.01	23
DATA	25	8/24/2023	56:00.1	243.81	40
DATA	26	8/24/2023	57:00.1	258.91	52
DATA	27	8/24/2023	58:00.1	274.8	44
DATA	28	8/24/2023	59:00.1	289.84	58
DATA	29	8/24/2023	00:00.1	304.79	41
DATA	30	8/24/2023	01:00.1	320.43	26
DATA	31	8/24/2023	02:00.1	336.88	38
DATA	32	8/24/2023	03:00.1	351.21	27
DATA	33	8/24/2023	04:00.1	366.76	48
DATA	34	8/24/2023	05:00.1	380.07	25
DATA	35	8/24/2023	06:00.1	395.7	36
DATA	36	8/24/2023	07:00.1	408.94	41
DATA	37	8/24/2023	08:00.1	423.63	39
DATA	38	8/24/2023	09:00.1	437.89	48
DATA	39	8/24/2023	10:00.1	452.23	29
DATA	40	8/24/2023	11:00.1	466.85	38
DATA	41	8/24/2023	12:00.1	480.78	32
DATA	42	8/24/2023	13:00.1	493.81	35
DATA	43	8/24/2023	14:00.1	507.18	36
DATA	44	8/24/2023	15:00.1	520.87	41
DATA	45	8/24/2023	16:00.1	534.5	32
DATA	46	8/24/2023	17:00.1	547.29	47
DATA	47	8/24/2023	18:00.1	560.62	44
DATA	48	8/24/2023	19:00.1	573.86	50
DATA	49	8/24/2023	20:00.1	573.66	44
DATA	50	8/24/2023	21:00.1	573.55	38
DATA	51	8/24/2023	22:00.2	573.33	30
DATA	52	8/24/2023	23:00.2	573.18	37
DATA	53	8/24/2023	24:00.2	573.1	34
DATA	54	8/24/2023	25:00.2	573	38
DATA	55	8/24/2023	26:00.2	572.94	46
DATA	56	8/24/2023	27:00.2	572.82	48
DATA	57	8/24/2023	28:00.2	572.76	56
DATA	58	8/24/2023	29:00.2	572.64	49
DATA	59	8/24/2023	30:00.2	572.52	42
DATA	60	8/24/2023	31:00.2	572.48	42
DATA	61	8/24/2023	32:00.2	572.46	45
DATA	62	8/24/2023	33:00.2	572.42	37
DATA	63	8/24/2023	34:00.2	572.39	48
DATA	64	8/24/2023	35:00.2	572.3	44
DATA	65	8/24/2023	36:00.2	572.3	40
DATA	66	8/24/2023	37:00.2	572.24	48
DATA	67	8/24/2023	38:00.2	572.27	56
DATA	68	8/24/2023	39:00.2	572.25	58
DATA	69	8/24/2023	40:00.2	557.96	47
DATA	70	8/24/2023	41:00.2	544.55	34
DATA	71	8/24/2023	42:00.2	531.74	36
DATA	72	8/24/2023	43:00.2	518.8	34
DATA	73	8/24/2023	44:00.2	504.43	33
DATA	74	8/24/2023	45:00.2	491.99	54
DATA	75	8/24/2023	46:00.2	477.99	63
DATA	76	8/24/2023	47:00.2	464.14	42
DATA	77	8/24/2023	48:00.2	450.42	42
DATA	78	8/24/2023	49:00.2	436.1	46
DATA	79	8/24/2023	50:00.2	421.25	33
DATA	80	8/24/2023	51:00.2	407.42	32
DATA	81	8/24/2023	52:00.2	392.68	48
DATA	82	8/24/2023	53:00.2	378.96	58
DATA	83	8/24/2023	54:00.2	364.96	49
DATA	84	8/24/2023	55:00.2	350.41	39
DATA	85	8/24/2023	56:00.2	334.63	49
DATA	86	8/24/2023	57:00.3	320.34	38
DATA	87	8/24/2023	58:00.3	304.8	46
DATA	88	8/24/2023	59:00.3	289.98	72
DATA	89	8/24/2023	00:00.3	274.96	55
DATA	90	8/24/2023	00:59.3	258.46	52
DATA	91	8/24/2023	01:59.3	242.32	45
DATA	92	8/24/2023	02:59.3	226.85	59
DATA	93	8/24/2023	03:59.3	209.97	59
DATA	94	8/24/2023	04:59.3	194.7	58
DATA	95	8/24/2023	05:59.3	179.24	65
DATA	96	8/24/2023	06:59.3	164.88	74
DATA	97	8/24/2023	07:59.3	147.8	63
DATA	98	8/24/2023	08:59.3	132.57	66
DATA	99	8/24/2023	09:59.3	114.29	70
DATA	100	8/24/2023	10:59.3	97.702	47
DATA	101	8/24/2023	11:59.3	80.52	41
DATA	102	8/24/2023	12:59.3	65.442	52
DATA	103	8/24/2023	13:59.3	52.694	62
DATA	104	8/24/2023	14:59.3	41.627	43
DATA	105	8/24/2023	15:59.3	30.924	46
DATA	106	8/24/2023	16:59.3	20.489	56
DATA	107	8/24/2023	17:59.3	13.518	47
DATA	108	8/24/2023	18:59.3	0.0036154	197
DATA	109	8/24/2023	19:59.3	0.0037647	209
DATA	110	8/24/2023	20:59.3	0.004362	184
DATA	111	8/24/2023	21:59.3	0.0045113	179
DATA	112	8/24/2023	22:59.3	0.0048099	200
DATA	113	8/24/2023	23:59.3	0.0028688	207
DATA	114	8/24/2023	24:59.3	0.0037647	198
DATA	115	8/24/2023	25:59.3	0.0040633	192
DATA	116	8/24/2023	26:59.3	0.0037647	208
DATA	117	8/24/2023	27:59.3	0.0036154	204
DATA	118	8/24/2023	28:59.3	0.0036154	200
