data2,data1,loggerUid,logDateTime,dateTime
21.25,65535,F4AD9E891947,1692865800,24-08-2023 11:30:00
21.19,0,F4AD9E891947,1692865860,24-08-2023 11:31:00
21.19,0,F4AD9E891947,1692865920,24-08-2023 11:32:00
21.19,0,F4AD9E891947,1692865980,24-08-2023 11:33:00
21.19,0,F4AD9E891947,1692866040,24-08-2023 11:34:00
21.13,0,F4AD9E891947,1692866100,24-08-2023 11:35:00
21.13,0,F4AD9E891947,1692866160,24-08-2023 11:36:00
21.13,0,F4AD9E891947,1692866220,24-08-2023 11:37:00
21.13,0,F4AD9E891947,1692866280,24-08-2023 11:38:00
21.13,0,F4AD9E891947,1692866340,24-08-2023 11:39:00
21.06,0,F4AD9E891947,1692866400,24-08-2023 11:40:00
21.06,21,F4AD9E891947,1692866460,24-08-2023 11:41:00
21.06,82,F4AD9E891947,1692866520,24-08-2023 11:42:00
21.06,142,F4AD9E891947,1692866580,24-08-2023 11:43:00
21.06,200,F4AD9E891947,1692866640,24-08-2023 11:44:00
21.06,259,F4AD9E891947,1692866700,24-08-2023 11:45:00
21.06,318,F4AD9E891947,1692866760,24-08-2023 11:46:00
21.06,376,F4AD9E891947,1692866820,24-08-2023 11:47:00
21.06,422,F4AD9E891947,1692866880,24-08-2023 11:48:00
21.13,471,F4AD9E891947,1692866940,24-08-2023 11:49:00
21.13,522,F4AD9E891947,1692867000,24-08-2023 11:50:00
21.19,572,F4AD9E891947,1692867060,24-08-2023 11:51:00
21.19,622,F4AD9E891947,1692867120,24-08-2023 11:52:00
21.25,672,F4AD9E891947,1692867180,24-08-2023 11:53:00
21.25,718,F4AD9E891947,1692867240,24-08-2023 11:54:00
21.31,765,F4AD9E891947,1692867300,24-08-2023 11:55:00
21.38,813,F4AD9E891947,1692867360,24-08-2023 11:56:00
21.44,859,F4AD9E891947,1692867420,24-08-2023 11:57:00
21.5,906,F4AD9E891947,1692867480,24-08-2023 11:58:00
21.56,962,F4AD9E891947,1692867540,24-08-2023 11:59:00
21.63,1018,F4AD9E891947,1692867600,24-08-2023 12:00:00
21.63,1072,F4AD9E891947,1692867660,24-08-2023 12:01:00
21.75,1127,F4AD9E891947,1692867720,24-08-2023 12:02:00
21.88,1183,F4AD9E891947,1692867780,24-08-2023 12:03:00
21.94,1236,F4AD9E891947,1692867840,24-08-2023 12:04:00
22.06,1291,F4AD9E891947,1692867900,24-08-2023 12:05:00
22.19,1344,F4AD9E891947,1692867960,24-08-2023 12:06:00
22.38,1396,F4AD9E891947,1692868020,24-08-2023 12:07:00
22.5,1448,F4AD9E891947,1692868080,24-08-2023 12:08:00
22.63,1497,F4AD9E891947,1692868140,24-08-2023 12:09:00
22.75,1550,F4AD9E891947,1692868200,24-08-2023 12:10:00
22.88,1600,F4AD9E891947,1692868260,24-08-2023 12:11:00
23.06,1649,F4AD9E891947,1692868320,24-08-2023 12:12:00
23.19,1699,F4AD9E891947,1692868380,24-08-2023 12:13:00
23.31,1749,F4AD9E891947,1692868440,24-08-2023 12:14:00
23.44,1796,F4AD9E891947,1692868500,24-08-2023 12:15:00
23.56,1843,F4AD9E891947,1692868560,24-08-2023 12:16:00
23.75,1890,F4AD9E891947,1692868620,24-08-2023 12:17:00
23.88,1939,F4AD9E891947,1692868680,24-08-2023 12:18:00
24,1985,F4AD9E891947,1692868740,24-08-2023 12:19:00
24.19,2031,F4AD9E891947,1692868800,24-08-2023 12:20:00
24.31,2061,F4AD9E891947,1692868860,24-08-2023 12:21:00
24.44,2060,F4AD9E891947,1692868920,24-08-2023 12:22:00
24.56,2059,F4AD9E891947,1692868980,24-08-2023 12:23:00
24.69,2058,F4AD9E891947,1692869040,24-08-2023 12:24:00
24.88,2058,F4AD9E891947,1692869100,24-08-2023 12:25:00
25,2058,F4AD9E891947,1692869160,24-08-2023 12:26:00
25.13,2057,F4AD9E891947,1692869220,24-08-2023 12:27:00
25.25,2056,F4AD9E891947,1692869280,24-08-2023 12:28:00
25.38,2056,F4AD9E891947,1692869340,24-08-2023 12:29:00
25.5,2056,F4AD9E891947,1692869400,24-08-2023 12:30:00
25.63,2055,F4AD9E891947,1692869460,24-08-2023 12:31:00
25.75,2054,F4AD9E891947,1692869520,24-08-2023 12:32:00
25.88,2054,F4AD9E891947,1692869580,24-08-2023 12:33:00
26,2054,F4AD9E891947,1692869640,24-08-2023 12:34:00
26.06,2054,F4AD9E891947,1692869700,24-08-2023 12:35:00
26.19,2053,F4AD9E891947,1692869760,24-08-2023 12:36:00
26.31,2053,F4AD9E891947,1692869820,24-08-2023 12:37:00
26.38,2053,F4AD9E891947,1692869880,24-08-2023 12:38:00
26.5,2053,F4AD9E891947,1692869940,24-08-2023 12:39:00
26.56,2052,F4AD9E891947,1692870000,24-08-2023 12:40:00
26.69,2032,F4AD9E891947,1692870060,24-08-2023 12:41:00
26.75,1985,F4AD9E891947,1692870120,24-08-2023 12:42:00
26.81,1938,F4AD9E891947,1692870180,24-08-2023 12:43:00
26.88,1890,F4AD9E891947,1692870240,24-08-2023 12:44:00
27,1842,F4AD9E891947,1692870300,24-08-2023 12:45:00
27.06,1795,F4AD9E891947,1692870360,24-08-2023 12:46:00
27.13,1747,F4AD9E891947,1692870420,24-08-2023 12:47:00
27.13,1699,F4AD9E891947,1692870480,24-08-2023 12:48:00
27.19,1649,F4AD9E891947,1692870540,24-08-2023 12:49:00
27.19,1600,F4AD9E891947,1692870600,24-08-2023 12:50:00
27.25,1550,F4AD9E891947,1692870660,24-08-2023 12:51:00
27.25,1499,F4AD9E891947,1692870720,24-08-2023 12:52:00
27.25,1449,F4AD9E891947,1692870780,24-08-2023 12:53:00
27.25,1398,F4AD9E891947,1692870840,24-08-2023 12:54:00
27.25,1347,F4AD9E891947,1692870900,24-08-2023 12:55:00
27.25,1295,F4AD9E891947,1692870960,24-08-2023 12:56:00
27.19,1242,F4AD9E891947,1692871020,24-08-2023 12:57:00
27.19,1189,F4AD9E891947,1692871080,24-08-2023 12:58:00
27.19,1134,F4AD9E891947,1692871140,24-08-2023 12:59:00
27.13,1082,F4AD9E891947,1692871200,24-08-2023 13:00:00
