data2,data1,loggerUid,logDateTime,dateTime
21.31,65535,F5ADC5509F33,1692865800,24-08-2023 11:30:00
21.25,0,F5ADC5509F33,1692865860,24-08-2023 11:31:00
21.25,0,F5ADC5509F33,1692865920,24-08-2023 11:32:00
21.25,0,F5ADC5509F33,1692865980,24-08-2023 11:33:00
21.25,0,F5ADC5509F33,1692866040,24-08-2023 11:34:00
21.19,0,F5ADC5509F33,1692866100,24-08-2023 11:35:00
21.19,0,F5ADC5509F33,1692866160,24-08-2023 11:36:00
21.19,0,F5ADC5509F33,1692866220,24-08-2023 11:37:00
21.19,0,F5ADC5509F33,1692866280,24-08-2023 11:38:00
21.13,0,F5ADC5509F33,1692866340,24-08-2023 11:39:00
21.13,0,F5ADC5509F33,1692866400,24-08-2023 11:40:00
21.13,30,F5ADC5509F33,1692866460,24-08-2023 11:41:00
21.13,104,F5ADC5509F33,1692866520,24-08-2023 11:42:00
21.13,176,F5ADC5509F33,1692866580,24-08-2023 11:43:00
21.13,247,F5ADC5509F33,1692866640,24-08-2023 11:44:00
21.13,318,F5ADC5509F33,1692866700,24-08-2023 11:45:00
21.13,388,F5ADC5509F33,1692866760,24-08-2023 11:46:00
21.13,456,F5ADC5509F33,1692866820,24-08-2023 11:47:00
21.13,510,F5ADC5509F33,1692866880,24-08-2023 11:48:00
21.13,573,F5ADC5509F33,1692866940,24-08-2023 11:49:00
21.19,639,F5ADC5509F33,1692867000,24-08-2023 11:50:00
21.25,702,F5ADC5509F33,1692867060,24-08-2023 11:51:00
21.25,768,F5ADC5509F33,1692867120,24-08-2023 11:52:00
21.31,831,F5ADC5509F33,1692867180,24-08-2023 11:53:00
21.38,892,F5ADC5509F33,1692867240,24-08-2023 11:54:00
21.44,952,F5ADC5509F33,1692867300,24-08-2023 11:55:00
21.5,1013,F5ADC5509F33,1692867360,24-08-2023 11:56:00
21.5,1073,F5ADC5509F33,1692867420,24-08-2023 11:57:00
21.63,1135,F5ADC5509F33,1692867480,24-08-2023 11:58:00
21.69,1205,F5ADC5509F33,1692867540,24-08-2023 11:59:00
21.75,1273,F5ADC5509F33,1692867600,24-08-2023 12:00:00
21.81,1342,F5ADC5509F33,1692867660,24-08-2023 12:01:00
21.94,1410,F5ADC5509F33,1692867720,24-08-2023 12:02:00
22,1479,F5ADC5509F33,1692867780,24-08-2023 12:03:00
22.13,1545,F5ADC5509F33,1692867840,24-08-2023 12:04:00
22.25,1614,F5ADC5509F33,1692867900,24-08-2023 12:05:00
22.38,1680,F5ADC5509F33,1692867960,24-08-2023 12:06:00
22.5,1744,F5ADC5509F33,1692868020,24-08-2023 12:07:00
22.63,1808,F5ADC5509F33,1692868080,24-08-2023 12:08:00
22.81,1871,F5ADC5509F33,1692868140,24-08-2023 12:09:00
22.94,1936,F5ADC5509F33,1692868200,24-08-2023 12:10:00
23.06,1998,F5ADC5509F33,1692868260,24-08-2023 12:11:00
23.19,2059,F5ADC5509F33,1692868320,24-08-2023 12:12:00
23.38,2123,F5ADC5509F33,1692868380,24-08-2023 12:13:00
23.5,2182,F5ADC5509F33,1692868440,24-08-2023 12:14:00
23.63,2243,F5ADC5509F33,1692868500,24-08-2023 12:15:00
23.81,2301,F5ADC5509F33,1692868560,24-08-2023 12:16:00
23.94,2361,F5ADC5509F33,1692868620,24-08-2023 12:17:00
24.06,2420,F5ADC5509F33,1692868680,24-08-2023 12:18:00
24.25,2479,F5ADC5509F33,1692868740,24-08-2023 12:19:00
24.44,2535,F5ADC5509F33,1692868800,24-08-2023 12:20:00
24.56,2569,F5ADC5509F33,1692868860,24-08-2023 12:21:00
24.75,2569,F5ADC5509F33,1692868920,24-08-2023 12:22:00
24.88,2567,F5ADC5509F33,1692868980,24-08-2023 12:23:00
