data2,data1,loggerUid,logDateTime,dateTime
21.19,655350,FA8B2BD07632,1692865800,24-08-2023 11:30:00
21.19,0,FA8B2BD07632,1692865860,24-08-2023 11:31:00
21.19,0,FA8B2BD07632,1692865920,24-08-2023 11:32:00
21.19,0,FA8B2BD07632,1692865980,24-08-2023 11:33:00
21.13,0,FA8B2BD07632,1692866040,24-08-2023 11:34:00
21.13,0,FA8B2BD07632,1692866100,24-08-2023 11:35:00
21.13,0,FA8B2BD07632,1692866160,24-08-2023 11:36:00
21.13,0,FA8B2BD07632,1692866220,24-08-2023 11:37:00
21.06,0,FA8B2BD07632,1692866280,24-08-2023 11:38:00
21.06,0,FA8B2BD07632,1692866340,24-08-2023 11:39:00
21.06,0,FA8B2BD07632,1692866400,24-08-2023 11:40:00
21.06,260,FA8B2BD07632,1692866460,24-08-2023 11:41:00
21.06,1000,FA8B2BD07632,1692866520,24-08-2023 11:42:00
21.06,1730,FA8B2BD07632,1692866580,24-08-2023 11:43:00
21.06,2460,FA8B2BD07632,1692866640,24-08-2023 11:44:00
21.06,3180,FA8B2BD07632,1692866700,24-08-2023 11:45:00
21.06,3900,FA8B2BD07632,1692866760,24-08-2023 11:46:00
21.06,4630,FA8B2BD07632,1692866820,24-08-2023 11:47:00
21.06,5190,FA8B2BD07632,1692866880,24-08-2023 11:48:00
21.13,5790,FA8B2BD07632,1692866940,24-08-2023 11:49:00
21.13,6420,FA8B2BD07632,1692867000,24-08-2023 11:50:00
21.13,7040,FA8B2BD07632,1692867060,24-08-2023 11:51:00
21.19,7650,FA8B2BD07632,1692867120,24-08-2023 11:52:00
21.25,8270,FA8B2BD07632,1692867180,24-08-2023 11:53:00
21.25,8840,FA8B2BD07632,1692867240,24-08-2023 11:54:00
21.31,9420,FA8B2BD07632,1692867300,24-08-2023 11:55:00
21.38,9990,FA8B2BD07632,1692867360,24-08-2023 11:56:00
21.44,10580,FA8B2BD07632,1692867420,24-08-2023 11:57:00
21.5,11160,FA8B2BD07632,1692867480,24-08-2023 11:58:00
21.56,11840,FA8B2BD07632,1692867540,24-08-2023 11:59:00
21.63,12520,FA8B2BD07632,1692867600,24-08-2023 12:00:00
21.69,13200,FA8B2BD07632,1692867660,24-08-2023 12:01:00
21.75,13870,FA8B2BD07632,1692867720,24-08-2023 12:02:00
21.88,14550,FA8B2BD07632,1692867780,24-08-2023 12:03:00
22,15220,FA8B2BD07632,1692867840,24-08-2023 12:04:00
22.13,15890,FA8B2BD07632,1692867900,24-08-2023 12:05:00
22.25,16540,FA8B2BD07632,1692867960,24-08-2023 12:06:00
22.38,17180,FA8B2BD07632,1692868020,24-08-2023 12:07:00
22.5,17820,FA8B2BD07632,1692868080,24-08-2023 12:08:00
22.63,18430,FA8B2BD07632,1692868140,24-08-2023 12:09:00
22.75,19080,FA8B2BD07632,1692868200,24-08-2023 12:10:00
22.94,19700,FA8B2BD07632,1692868260,24-08-2023 12:11:00
23.06,20300,FA8B2BD07632,1692868320,24-08-2023 12:12:00
23.19,20930,FA8B2BD07632,1692868380,24-08-2023 12:13:00
23.31,21520,FA8B2BD07632,1692868440,24-08-2023 12:14:00
23.5,22120,FA8B2BD07632,1692868500,24-08-2023 12:15:00
23.63,22690,FA8B2BD07632,1692868560,24-08-2023 12:16:00
23.75,23270,FA8B2BD07632,1692868620,24-08-2023 12:17:00
23.88,23870,FA8B2BD07632,1692868680,24-08-2023 12:18:00
24,24440,FA8B2BD07632,1692868740,24-08-2023 12:19:00
24.19,25000,FA8B2BD07632,1692868800,24-08-2023 12:20:00
24.31,25370,FA8B2BD07632,1692868860,24-08-2023 12:21:00
24.44,25360,FA8B2BD07632,1692868920,24-08-2023 12:22:00
24.56,25350,FA8B2BD07632,1692868980,24-08-2023 12:23:00
24.75,25340,FA8B2BD07632,1692869040,24-08-2023 12:24:00
24.88,25330,FA8B2BD07632,1692869100,24-08-2023 12:25:00
25,25320,FA8B2BD07632,1692869160,24-08-2023 12:26:00
25.19,25320,FA8B2BD07632,1692869220,24-08-2023 12:27:00
25.25,25310,FA8B2BD07632,1692869280,24-08-2023 12:28:00
25.44,25310,FA8B2BD07632,1692869340,24-08-2023 12:29:00
25.56,25300,FA8B2BD07632,1692869400,24-08-2023 12:30:00
25.69,25290,FA8B2BD07632,1692869460,24-08-2023 12:31:00
25.81,25280,FA8B2BD07632,1692869520,24-08-2023 12:32:00
25.94,25290,FA8B2BD07632,1692869580,24-08-2023 12:33:00
26.06,25270,FA8B2BD07632,1692869640,24-08-2023 12:34:00
26.19,25280,FA8B2BD07632,1692869700,24-08-2023 12:35:00
26.31,25270,FA8B2BD07632,1692869760,24-08-2023 12:36:00
26.44,25260,FA8B2BD07632,1692869820,24-08-2023 12:37:00
26.5,25270,FA8B2BD07632,1692869880,24-08-2023 12:38:00
26.63,25260,FA8B2BD07632,1692869940,24-08-2023 12:39:00
26.75,25250,FA8B2BD07632,1692870000,24-08-2023 12:40:00
26.81,25000,FA8B2BD07632,1692870060,24-08-2023 12:41:00
26.94,24430,FA8B2BD07632,1692870120,24-08-2023 12:42:00
27,23850,FA8B2BD07632,1692870180,24-08-2023 12:43:00
27.13,23260,FA8B2BD07632,1692870240,24-08-2023 12:44:00
27.19,22680,FA8B2BD07632,1692870300,24-08-2023 12:45:00
27.25,22090,FA8B2BD07632,1692870360,24-08-2023 12:46:00
27.31,21500,FA8B2BD07632,1692870420,24-08-2023 12:47:00
27.38,20910,FA8B2BD07632,1692870480,24-08-2023 12:48:00
27.44,20300,FA8B2BD07632,1692870540,24-08-2023 12:49:00
27.44,19690,FA8B2BD07632,1692870600,24-08-2023 12:50:00
27.5,19090,FA8B2BD07632,1692870660,24-08-2023 12:51:00
27.5,18450,FA8B2BD07632,1692870720,24-08-2023 12:52:00
