data2,data1,loggerUid,logDateTime,dateTime,,,y=0.0166x+0.0809
21.38,655350,ED7289BB7CC1,1692865800,24-08-2023 11:30:00,,,
21.31,0,ED7289BB7CC1,1692865860,24-08-2023 11:31:00,,0.0045113,
21.31,0,ED7289BB7CC1,1692865920,24-08-2023 11:32:00,,0.004362,
21.31,0,ED7289BB7CC1,1692865980,24-08-2023 11:33:00,,0.0036154,
21.25,0,ED7289BB7CC1,1692866040,24-08-2023 11:34:00,,0.0036154,
21.25,0,ED7289BB7CC1,1692866100,24-08-2023 11:35:00,,0.0040633,
21.25,0,ED7289BB7CC1,1692866160,24-08-2023 11:36:00,,0.0042126,
21.25,0,ED7289BB7CC1,1692866220,24-08-2023 11:37:00,,0.004362,
21.25,0,ED7289BB7CC1,1692866280,24-08-2023 11:38:00,,0.0040633,
21.19,0,ED7289BB7CC1,1692866340,24-08-2023 11:39:00,,0.0045113,
21.19,0,ED7289BB7CC1,1692866400,24-08-2023 11:40:00,,15.784,
21.19,400,ED7289BB7CC1,1692866460,24-08-2023 11:41:00,,31.95,
21.19,1400,ED7289BB7CC1,1692866520,24-08-2023 11:42:00,,47.919,
21.19,2380,ED7289BB7CC1,1692866580,24-08-2023 11:43:00,,63.075,
21.19,3330,ED7289BB7CC1,1692866640,24-08-2023 11:44:00,,79.981,
21.19,4290,ED7289BB7CC1,1692866700,24-08-2023 11:45:00,,95.68,
21.19,5240,ED7289BB7CC1,1692866760,24-08-2023 11:46:00,,109.34,
21.19,6170,ED7289BB7CC1,1692866820,24-08-2023 11:47:00,,121.08,
21.19,6890,ED7289BB7CC1,1692866880,24-08-2023 11:48:00,,136.26,
21.25,7720,ED7289BB7CC1,1692866940,24-08-2023 11:49:00,,150.7,
21.25,8590,ED7289BB7CC1,1692867000,24-08-2023 11:50:00,,164.56,
21.31,9440,ED7289BB7CC1,1692867060,24-08-2023 11:51:00,,177.78,
21.31,10290,ED7289BB7CC1,1692867120,24-08-2023 11:52:00,,191.5,
21.38,11140,ED7289BB7CC1,1692867180,24-08-2023 11:53:00,,204.05,
21.44,11940,ED7289BB7CC1,1692867240,24-08-2023 11:54:00,,217.38,
21.5,12730,ED7289BB7CC1,1692867300,24-08-2023 11:55:00,,230.01,
21.56,13530,ED7289BB7CC1,1692867360,24-08-2023 11:56:00,,243.81,
21.63,14330,ED7289BB7CC1,1692867420,24-08-2023 11:57:00,,258.91,
21.69,15150,ED7289BB7CC1,1692867480,24-08-2023 11:58:00,,274.8,
21.81,16070,ED7289BB7CC1,1692867540,24-08-2023 11:59:00,,289.84,
21.88,16990,ED7289BB7CC1,1692867600,24-08-2023 12:00:00,,304.79,
21.94,17900,ED7289BB7CC1,1692867660,24-08-2023 12:01:00,,320.43,
22,18810,ED7289BB7CC1,1692867720,24-08-2023 12:02:00,,336.88,
