
Model:	LI-1500 Light Sensor Logger	
Config:	BIOFOULC	
MULT_1:	-155.10
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20230724 08:56:31	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-07-24	11:01:00.003	0.010811	102
DATA	0000001	2023-07-24	11:02:00.006	0.010512	105
DATA	0000002	2023-07-24	11:03:00.009	0.010213	108
DATA	0000003	2023-07-24	11:04:00.012	0.010512	106
DATA	0000004	2023-07-24	11:05:00.014	0.010811	112
DATA	0000005	2023-07-24	11:06:00.017	0.011408	120
DATA	0000006	2023-07-24	11:07:00.020	0.0099148	181
DATA	0000007	2023-07-24	11:08:00.023	0.0097655	187
DATA	0000008	2023-07-24	11:09:00.026	0.010811	123
DATA	0000009	2023-07-24	11:10:00.029	5.4036	 30
DATA	0000010	2023-07-24	11:11:00.032	14.217	 14
DATA	0000011	2023-07-24	11:12:00.035	24.182	 21
DATA	0000012	2023-07-24	11:13:00.037	33.962	 31
DATA	0000013	2023-07-24	11:14:00.040	43.357	 26
DATA	0000014	2023-07-24	11:15:00.043	54.186	 33
DATA	0000015	2023-07-24	11:16:00.046	63.573	 38
DATA	0000016	2023-07-24	11:17:00.049	73.190	 39
DATA	0000017	2023-07-24	11:18:00.052	81.993	 45
DATA	0000018	2023-07-24	11:19:00.055	91.532	 40
DATA	0000019	2023-07-24	11:20:00.058	99.716	 48
DATA	0000020	2023-07-24	11:21:00.060	106.74	 20
DATA	0000021	2023-07-24	11:22:00.063	114.70	 20
DATA	0000022	2023-07-24	11:23:00.066	122.77	 31
DATA	0000023	2023-07-24	11:24:00.069	130.05	 26
DATA	0000024	2023-07-24	11:25:00.072	137.63	 33
DATA	0000025	2023-07-24	11:26:00.075	145.22	 32
DATA	0000026	2023-07-24	11:27:00.078	152.49	 44
DATA	0000027	2023-07-24	11:28:00.081	160.08	 34
DATA	0000028	2023-07-24	11:29:00.083	166.86	 50
DATA	0000029	2023-07-24	11:30:00.086	173.59	 44
DATA	0000030	2023-07-24	11:31:00.089	180.50	 29
DATA	0000031	2023-07-24	11:32:00.092	187.64	 37
DATA	0000032	2023-07-24	11:33:00.095	195.36	 40
DATA	0000033	2023-07-24	11:34:00.098	201.98	 41
DATA	0000034	2023-07-24	11:35:00.101	208.70	 25
DATA	0000035	2023-07-24	11:36:00.104	218.57	 36
DATA	0000036	2023-07-24	11:37:00.106	226.11	 29
DATA	0000037	2023-07-24	11:38:00.109	235.38	 43
DATA	0000038	2023-07-24	11:39:00.112	244.59	 42
DATA	0000039	2023-07-24	11:40:00.115	253.74	 35
DATA	0000040	2023-07-24	11:41:00.118	260.56	 29
DATA	0000041	2023-07-24	11:42:00.121	269.93	 35
DATA	0000042	2023-07-24	11:43:00.124	278.14	 33
DATA	0000043	2023-07-24	11:44:00.127	286.97	 48
DATA	0000044	2023-07-24	11:45:00.129	294.86	 49
DATA	0000045	2023-07-24	11:46:00.132	303.01	 23
DATA	0000046	2023-07-24	11:47:00.135	311.61	 33
DATA	0000047	2023-07-24	11:48:00.138	319.75	 51
DATA	0000048	2023-07-24	11:49:00.141	327.00	 34
DATA	0000049	2023-07-24	11:50:00.144	335.29	 40
DATA	0000050	2023-07-24	11:51:00.147	343.12	 27
DATA	0000051	2023-07-24	11:52:00.150	350.57	 30
DATA	0000052	2023-07-24	11:53:00.152	358.80	 38
DATA	0000053	2023-07-24	11:54:00.155	366.78	 49
DATA	0000054	2023-07-24	11:55:00.158	374.11	 40
DATA	0000055	2023-07-24	11:56:00.161	382.72	 42
DATA	0000056	2023-07-24	11:57:00.164	392.46	 49
DATA	0000057	2023-07-24	11:58:00.167	402.55	 46
DATA	0000058	2023-07-24	11:59:00.170	410.91	 41
DATA	0000059	2023-07-24	12:00:00.173	418.84	 42
DATA	0000060	2023-07-24	12:01:00.175	427.17	 33
DATA	0000061	2023-07-24	12:02:00.178	434.56	 39
DATA	0000062	2023-07-24	12:03:00.181	441.93	 34
DATA	0000063	2023-07-24	12:04:00.184	450.15	 33
DATA	0000064	2023-07-24	12:05:00.187	457.45	 48
DATA	0000065	2023-07-24	12:06:00.190	465.53	 42
DATA	0000066	2023-07-24	12:07:00.193	472.67	 50
DATA	0000067	2023-07-24	12:08:00.196	479.84	 61
DATA	0000068	2023-07-24	12:09:00.198	487.71	 60
DATA	0000069	2023-07-24	12:10:00.201	491.17	 33
DATA	0000070	2023-07-24	12:11:00.204	491.05	 26
DATA	0000071	2023-07-24	12:12:00.207	490.96	 40
DATA	0000072	2023-07-24	12:13:00.210	490.96	 36
DATA	0000073	2023-07-24	12:14:00.213	490.84	 38
DATA	0000074	2023-07-24	12:15:00.216	490.71	 39
DATA	0000075	2023-07-24	12:16:00.219	490.69	 51
DATA	0000076	2023-07-24	12:17:00.222	490.66	 44
DATA	0000077	2023-07-24	12:18:00.224	490.65	 47
DATA	0000078	2023-07-24	12:19:00.227	490.57	 53
DATA	0000079	2023-07-24	12:20:00.230	490.50	 33
DATA	0000080	2023-07-24	12:21:00.233	490.53	 32
DATA	0000081	2023-07-24	12:22:00.236	490.48	 41
DATA	0000082	2023-07-24	12:23:00.239	490.53	 42
DATA	0000083	2023-07-24	12:24:00.242	490.51	 36
DATA	0000084	2023-07-24	12:25:00.245	490.42	 41
DATA	0000085	2023-07-24	12:26:00.247	490.47	 50
DATA	0000086	2023-07-24	12:27:00.250	490.50	 40
DATA	0000087	2023-07-24	12:28:00.253	490.48	 52
DATA	0000088	2023-07-24	12:29:00.256	490.44	 53
DATA	0000089	2023-07-24	12:30:00.259	490.48	 53
DATA	0000090	2023-07-24	12:30:59.262	490.48	 53
DATA	0000091	2023-07-24	12:31:59.265	490.48	 58
DATA	0000092	2023-07-24	12:32:59.267	490.47	 61
DATA	0000093	2023-07-24	12:33:59.270	490.53	 54
DATA	0000094	2023-07-24	12:34:59.273	490.50	 56
DATA	0000095	2023-07-24	12:35:59.276	490.56	 67
DATA	0000096	2023-07-24	12:36:59.279	490.47	 72
DATA	0000097	2023-07-24	12:37:59.282	490.51	 63
DATA	0000098	2023-07-24	12:38:59.285	490.60	 68
DATA	0000099	2023-07-24	12:39:59.288	490.53	 75
DATA	0000100	2023-07-24	12:40:59.291	490.62	 44
DATA	0000101	2023-07-24	12:41:59.293	490.62	 48
DATA	0000102	2023-07-24	12:42:59.296	490.60	 51
DATA	0000103	2023-07-24	12:43:59.299	490.66	 62
DATA	0000104	2023-07-24	12:44:59.302	490.63	 46
DATA	0000105	2023-07-24	12:45:59.305	490.63	 51
DATA	0000106	2023-07-24	12:46:59.308	490.63	 56
DATA	0000107	2023-07-24	12:47:59.311	490.68	 57
DATA	0000108	2023-07-24	12:48:59.314	490.69	 63
DATA	0000109	2023-07-24	12:49:59.316	485.69	 71
DATA	0000110	2023-07-24	12:50:59.319	478.40	 49
DATA	0000111	2023-07-24	12:51:59.322	470.58	 46
DATA	0000112	2023-07-24	12:52:59.325	462.93	 51
DATA	0000113	2023-07-24	12:53:59.328	456.10	 48
DATA	0000114	2023-07-24	12:54:59.331	447.61	 50
DATA	0000115	2023-07-24	12:55:59.334	440.58	 54
DATA	0000116	2023-07-24	12:56:59.337	432.68	 61
DATA	0000117	2023-07-24	12:57:59.339	425.35	 61
DATA	0000118	2023-07-24	12:58:59.342	417.90	 59
DATA	0000119	2023-07-24	12:59:59.345	410.24	 54
DATA	0000120	2023-07-24	13:00:59.348	402.01	 32
DATA	0000121	2023-07-24	13:01:59.351	394.38	 48
DATA	0000122	2023-07-24	13:02:59.354	385.98	 59
DATA	0000123	2023-07-24	13:03:59.357	377.88	 64
DATA	0000124	2023-07-24	13:04:59.360	370.13	 41
DATA	0000125	2023-07-24	13:05:59.362	361.73	 51
DATA	0000126	2023-07-24	13:06:59.365	353.97	 63
DATA	0000127	2023-07-24	13:07:59.368	345.21	 56
DATA	0000128	2023-07-24	13:08:59.371	337.32	 55
DATA	0000129	2023-07-24	13:09:59.374	329.29	 67
DATA	0000130	2023-07-24	13:10:59.377	320.57	 46
DATA	0000131	2023-07-24	13:11:59.380	313.45	 41
DATA	0000132	2023-07-24	13:12:59.383	303.90	 45
DATA	0000133	2023-07-24	13:13:59.385	294.96	 64
DATA	0000134	2023-07-24	13:14:59.388	287.31	 60
DATA	0000135	2023-07-24	13:15:59.391	278.29	 63
DATA	0000136	2023-07-24	13:16:59.394	269.95	 71
DATA	0000137	2023-07-24	13:17:59.397	261.84	 66
DATA	0000138	2023-07-24	13:18:59.400	252.69	 56
DATA	0000139	2023-07-24	13:19:59.403	244.87	 62
DATA	0000140	2023-07-24	13:20:59.406	236.26	 43
DATA	0000141	2023-07-24	13:21:59.408	226.08	 46
DATA	0000142	2023-07-24	13:22:59.411	216.88	 49
DATA	0000143	2023-07-24	13:23:59.414	208.07	 46
DATA	0000144	2023-07-24	13:24:59.417	198.25	 59
DATA	0000145	2023-07-24	13:25:59.420	189.10	 49
DATA	0000146	2023-07-24	13:26:59.423	180.03	 47
DATA	0000147	2023-07-24	13:27:59.426	170.36	 57
DATA	0000148	2023-07-24	13:28:59.429	161.54	 62
DATA	0000149	2023-07-24	13:29:59.431	153.45	 58
DATA	0000150	2023-07-24	13:30:59.434	144.74	 47
DATA	0000151	2023-07-24	13:31:59.437	135.54	 50
DATA	0000152	2023-07-24	13:32:59.440	125.57	 48
DATA	0000153	2023-07-24	13:33:59.443	115.27	 49
DATA	0000154	2023-07-24	13:34:59.446	106.90	 54
DATA	0000155	2023-07-24	13:35:59.449	97.427	 72
DATA	0000156	2023-07-24	13:36:59.452	88.118	 65
DATA	0000157	2023-07-24	13:37:59.454	77.327	 69
DATA	0000158	2023-07-24	13:38:59.457	67.538	 77
DATA	0000159	2023-07-24	13:39:59.460	58.977	 80
DATA	0000160	2023-07-24	13:40:59.463	51.077	 51
DATA	0000161	2023-07-24	13:41:59.466	44.689	 67
DATA	0000162	2023-07-24	13:42:59.469	38.141	 58
DATA	0000163	2023-07-24	13:43:59.472	32.293	 56
DATA	0000164	2023-07-24	13:44:59.475	26.277	 66
DATA	0000165	2023-07-24	13:45:59.477	20.172	 58
DATA	0000166	2023-07-24	13:46:59.480	13.996	 70
DATA	0000167	2023-07-24	13:47:59.483	11.599	 72
DATA	0000168	2023-07-24	13:48:59.486	1.9143	 70
DATA	0000169	2023-07-24	13:49:59.489	0.010661	167
DATA	0000170	2023-07-24	13:50:59.492	0.010363	144
DATA	0000171	2023-07-24	13:51:59.495	0.010064	147
DATA	0000172	2023-07-24	13:52:59.498	0.010512	150
