data2,data1,loggerUid,logDateTime,dateTime
20.75,655350,CAD4A7D9D5D4,1690185600,24-07-2023 11:00:00
20.75,0,CAD4A7D9D5D4,1690185660,24-07-2023 11:01:00
20.75,0,CAD4A7D9D5D4,1690185720,24-07-2023 11:02:00
20.75,0,CAD4A7D9D5D4,1690185780,24-07-2023 11:03:00
20.69,0,CAD4A7D9D5D4,1690185840,24-07-2023 11:04:00
20.75,0,CAD4A7D9D5D4,1690185900,24-07-2023 11:05:00
20.69,0,CAD4A7D9D5D4,1690185960,24-07-2023 11:06:00
20.69,0,CAD4A7D9D5D4,1690186020,24-07-2023 11:07:00
20.69,0,CAD4A7D9D5D4,1690186080,24-07-2023 11:08:00
20.69,0,CAD4A7D9D5D4,1690186140,24-07-2023 11:09:00
20.69,30,CAD4A7D9D5D4,1690186200,24-07-2023 11:10:00
20.69,150,CAD4A7D9D5D4,1690186260,24-07-2023 11:11:00
20.69,630,CAD4A7D9D5D4,1690186320,24-07-2023 11:12:00
20.69,1120,CAD4A7D9D5D4,1690186380,24-07-2023 11:13:00
20.69,1600,CAD4A7D9D5D4,1690186440,24-07-2023 11:14:00
20.69,2050,CAD4A7D9D5D4,1690186500,24-07-2023 11:15:00
20.75,2520,CAD4A7D9D5D4,1690186560,24-07-2023 11:16:00
20.75,2990,CAD4A7D9D5D4,1690186620,24-07-2023 11:17:00
20.75,3450,CAD4A7D9D5D4,1690186680,24-07-2023 11:18:00
20.81,3910,CAD4A7D9D5D4,1690186740,24-07-2023 11:19:00
20.81,4350,CAD4A7D9D5D4,1690186800,24-07-2023 11:20:00
20.88,4750,CAD4A7D9D5D4,1690186860,24-07-2023 11:21:00
20.88,5100,CAD4A7D9D5D4,1690186920,24-07-2023 11:22:00
20.94,5510,CAD4A7D9D5D4,1690186980,24-07-2023 11:23:00
21,5950,CAD4A7D9D5D4,1690187040,24-07-2023 11:24:00
21,6380,CAD4A7D9D5D4,1690187100,24-07-2023 11:25:00
21.06,6820,CAD4A7D9D5D4,1690187160,24-07-2023 11:26:00
