data2,data1,loggerUid,logDateTime,dateTime
20.75,655350,FA8B2BD07632,1690185600,24-07-2023 11:00:00
20.75,0,FA8B2BD07632,1690185660,24-07-2023 11:01:00
20.75,0,FA8B2BD07632,1690185720,24-07-2023 11:02:00
20.75,0,FA8B2BD07632,1690185780,24-07-2023 11:03:00
20.75,0,FA8B2BD07632,1690185840,24-07-2023 11:04:00
20.75,0,FA8B2BD07632,1690185900,24-07-2023 11:05:00
20.75,0,FA8B2BD07632,1690185960,24-07-2023 11:06:00
20.75,0,FA8B2BD07632,1690186020,24-07-2023 11:07:00
20.75,0,FA8B2BD07632,1690186080,24-07-2023 11:08:00
20.75,0,FA8B2BD07632,1690186140,24-07-2023 11:09:00
20.75,0,FA8B2BD07632,1690186200,24-07-2023 11:10:00
20.69,110,FA8B2BD07632,1690186260,24-07-2023 11:11:00
20.75,490,FA8B2BD07632,1690186320,24-07-2023 11:12:00
20.69,850,FA8B2BD07632,1690186380,24-07-2023 11:13:00
20.75,1220,FA8B2BD07632,1690186440,24-07-2023 11:14:00
20.75,1570,FA8B2BD07632,1690186500,24-07-2023 11:15:00
20.75,1940,FA8B2BD07632,1690186560,24-07-2023 11:16:00
20.75,2290,FA8B2BD07632,1690186620,24-07-2023 11:17:00
20.75,2650,FA8B2BD07632,1690186680,24-07-2023 11:18:00
20.81,3000,FA8B2BD07632,1690186740,24-07-2023 11:19:00
20.88,3390,FA8B2BD07632,1690186800,24-07-2023 11:20:00
20.88,3730,FA8B2BD07632,1690186860,24-07-2023 11:21:00
20.88,3970,FA8B2BD07632,1690186920,24-07-2023 11:22:00
20.94,4250,FA8B2BD07632,1690186980,24-07-2023 11:23:00
21,4530,FA8B2BD07632,1690187040,24-07-2023 11:24:00
21.06,4790,FA8B2BD07632,1690187100,24-07-2023 11:25:00
21.06,5070,FA8B2BD07632,1690187160,24-07-2023 11:26:00
21.13,5330,FA8B2BD07632,1690187220,24-07-2023 11:27:00
21.19,5590,FA8B2BD07632,1690187280,24-07-2023 11:28:00
21.25,5850,FA8B2BD07632,1690187340,24-07-2023 11:29:00
21.25,6110,FA8B2BD07632,1690187400,24-07-2023 11:30:00
21.38,6340,FA8B2BD07632,1690187460,24-07-2023 11:31:00
21.44,6590,FA8B2BD07632,1690187520,24-07-2023 11:32:00
21.44,6830,FA8B2BD07632,1690187580,24-07-2023 11:33:00
21.56,7080,FA8B2BD07632,1690187640,24-07-2023 11:34:00
21.56,7320,FA8B2BD07632,1690187700,24-07-2023 11:35:00
21.69,7590,FA8B2BD07632,1690187760,24-07-2023 11:36:00
21.75,7880,FA8B2BD07632,1690187820,24-07-2023 11:37:00
21.75,8200,FA8B2BD07632,1690187880,24-07-2023 11:38:00
21.81,8530,FA8B2BD07632,1690187940,24-07-2023 11:39:00
21.88,8830,FA8B2BD07632,1690188000,24-07-2023 11:40:00
22,9140,FA8B2BD07632,1690188060,24-07-2023 11:41:00
22.06,9440,FA8B2BD07632,1690188120,24-07-2023 11:42:00
22.13,9740,FA8B2BD07632,1690188180,24-07-2023 11:43:00
22.13,10050,FA8B2BD07632,1690188240,24-07-2023 11:44:00
22.25,10340,FA8B2BD07632,1690188300,24-07-2023 11:45:00
22.25,10630,FA8B2BD07632,1690188360,24-07-2023 11:46:00
22.38,10920,FA8B2BD07632,1690188420,24-07-2023 11:47:00
22.44,11230,FA8B2BD07632,1690188480,24-07-2023 11:48:00
22.5,11500,FA8B2BD07632,1690188540,24-07-2023 11:49:00
22.56,11780,FA8B2BD07632,1690188600,24-07-2023 11:50:00
22.63,12070,FA8B2BD07632,1690188660,24-07-2023 11:51:00
22.75,12330,FA8B2BD07632,1690188720,24-07-2023 11:52:00
22.75,12600,FA8B2BD07632,1690188780,24-07-2023 11:53:00
22.88,12870,FA8B2BD07632,1690188840,24-07-2023 11:54:00
22.94,13150,FA8B2BD07632,1690188900,24-07-2023 11:55:00
23,13410,FA8B2BD07632,1690188960,24-07-2023 11:56:00
23.13,13690,FA8B2BD07632,1690189020,24-07-2023 11:57:00
23.25,14040,FA8B2BD07632,1690189080,24-07-2023 11:58:00
23.5,14390,FA8B2BD07632,1690189140,24-07-2023 11:59:00
23.75,14700,FA8B2BD07632,1690189200,24-07-2023 12:00:00
24,14990,FA8B2BD07632,1690189260,24-07-2023 12:01:00
24.25,15280,FA8B2BD07632,1690189320,24-07-2023 12:02:00
24.44,15550,FA8B2BD07632,1690189380,24-07-2023 12:03:00
24.63,15820,FA8B2BD07632,1690189440,24-07-2023 12:04:00
24.81,16090,FA8B2BD07632,1690189500,24-07-2023 12:05:00
24.94,16360,FA8B2BD07632,1690189560,24-07-2023 12:06:00
25.13,16640,FA8B2BD07632,1690189620,24-07-2023 12:07:00
25.25,16900,FA8B2BD07632,1690189680,24-07-2023 12:08:00
25.38,17160,FA8B2BD07632,1690189740,24-07-2023 12:09:00
25.56,17410,FA8B2BD07632,1690189800,24-07-2023 12:10:00
25.69,17590,FA8B2BD07632,1690189860,24-07-2023 12:11:00
25.81,17590,FA8B2BD07632,1690189920,24-07-2023 12:12:00
25.94,17570,FA8B2BD07632,1690189980,24-07-2023 12:13:00
26.06,17570,FA8B2BD07632,1690190040,24-07-2023 12:14:00
26.19,17560,FA8B2BD07632,1690190100,24-07-2023 12:15:00
26.31,17550,FA8B2BD07632,1690190160,24-07-2023 12:16:00
26.44,17540,FA8B2BD07632,1690190220,24-07-2023 12:17:00
26.56,17540,FA8B2BD07632,1690190280,24-07-2023 12:18:00
26.63,17530,FA8B2BD07632,1690190340,24-07-2023 12:19:00
26.75,17530,FA8B2BD07632,1690190400,24-07-2023 12:20:00
26.88,17520,FA8B2BD07632,1690190460,24-07-2023 12:21:00
26.94,17520,FA8B2BD07632,1690190520,24-07-2023 12:22:00
27.06,17520,FA8B2BD07632,1690190580,24-07-2023 12:23:00
27.13,17510,FA8B2BD07632,1690190640,24-07-2023 12:24:00
27.25,17510,FA8B2BD07632,1690190700,24-07-2023 12:25:00
27.25,17510,FA8B2BD07632,1690190760,24-07-2023 12:26:00
27.38,17500,FA8B2BD07632,1690190820,24-07-2023 12:27:00
27.44,17500,FA8B2BD07632,1690190880,24-07-2023 12:28:00
27.5,17490,FA8B2BD07632,1690190940,24-07-2023 12:29:00
27.56,17500,FA8B2BD07632,1690191000,24-07-2023 12:30:00
27.63,17490,FA8B2BD07632,1690191060,24-07-2023 12:31:00
27.75,17480,FA8B2BD07632,1690191120,24-07-2023 12:32:00
27.75,17490,FA8B2BD07632,1690191180,24-07-2023 12:33:00
27.81,17480,FA8B2BD07632,1690191240,24-07-2023 12:34:00
27.88,17490,FA8B2BD07632,1690191300,24-07-2023 12:35:00
27.94,17480,FA8B2BD07632,1690191360,24-07-2023 12:36:00
28,17480,FA8B2BD07632,1690191420,24-07-2023 12:37:00
28,17470,FA8B2BD07632,1690191480,24-07-2023 12:38:00
28.06,17480,FA8B2BD07632,1690191540,24-07-2023 12:39:00
28.13,17470,FA8B2BD07632,1690191600,24-07-2023 12:40:00
28.13,17480,FA8B2BD07632,1690191660,24-07-2023 12:41:00
28.13,17470,FA8B2BD07632,1690191720,24-07-2023 12:42:00
28.19,17480,FA8B2BD07632,1690191780,24-07-2023 12:43:00
28.25,17470,FA8B2BD07632,1690191840,24-07-2023 12:44:00
28.25,17480,FA8B2BD07632,1690191900,24-07-2023 12:45:00
28.25,17470,FA8B2BD07632,1690191960,24-07-2023 12:46:00
28.25,17470,FA8B2BD07632,1690192020,24-07-2023 12:47:00
28.31,17470,FA8B2BD07632,1690192080,24-07-2023 12:48:00
28.31,17470,FA8B2BD07632,1690192140,24-07-2023 12:49:00
28.38,17470,FA8B2BD07632,1690192200,24-07-2023 12:50:00
28.38,17340,FA8B2BD07632,1690192260,24-07-2023 12:51:00
28.44,17080,FA8B2BD07632,1690192320,24-07-2023 12:52:00
28.44,16820,FA8B2BD07632,1690192380,24-07-2023 12:53:00
28.44,16560,FA8B2BD07632,1690192440,24-07-2023 12:54:00
28.5,16280,FA8B2BD07632,1690192500,24-07-2023 12:55:00
28.5,16020,FA8B2BD07632,1690192560,24-07-2023 12:56:00
28.5,15740,FA8B2BD07632,1690192620,24-07-2023 12:57:00
28.5,15480,FA8B2BD07632,1690192680,24-07-2023 12:58:00
28.5,15210,FA8B2BD07632,1690192740,24-07-2023 12:59:00
28.5,14940,FA8B2BD07632,1690192800,24-07-2023 13:00:00
28.5,14670,FA8B2BD07632,1690192860,24-07-2023 13:01:00
28.5,14410,FA8B2BD07632,1690192920,24-07-2023 13:02:00
28.5,14120,FA8B2BD07632,1690192980,24-07-2023 13:03:00
28.5,13840,FA8B2BD07632,1690193040,24-07-2023 13:04:00
28.5,13560,FA8B2BD07632,1690193100,24-07-2023 13:05:00
28.44,13290,FA8B2BD07632,1690193160,24-07-2023 13:06:00
28.44,13000,FA8B2BD07632,1690193220,24-07-2023 13:07:00
28.44,12710,FA8B2BD07632,1690193280,24-07-2023 13:08:00
28.38,12430,FA8B2BD07632,1690193340,24-07-2023 13:09:00
28.31,12140,FA8B2BD07632,1690193400,24-07-2023 13:10:00
28.25,11860,FA8B2BD07632,1690193460,24-07-2023 13:11:00
28.25,11570,FA8B2BD07632,1690193520,24-07-2023 13:12:00
28.19,11280,FA8B2BD07632,1690193580,24-07-2023 13:13:00
28.13,10980,FA8B2BD07632,1690193640,24-07-2023 13:14:00
28.13,10670,FA8B2BD07632,1690193700,24-07-2023 13:15:00
