
Model:	LI-1500 Light Sensor Logger	
Config:	BIOFOULC	
MULT_1:	-155.10
Session Remark:	 	
Software Version:	1.2.0	
Timestamp:	20230723 11:01:55	
DATAH	Record	Date	Time	INPUT1	CHK	
DATA	0000000	2023-07-23	11:06:56.014	0.010113	114
DATA	0000001	2023-07-23	11:11:56.029	22.714	 31
DATA	0000002	2023-07-23	11:16:56.043	72.265	 39
DATA	0000003	2023-07-23	11:21:56.058	114.12	 29
DATA	0000004	2023-07-23	11:26:56.072	152.63	 39
DATA	0000005	2023-07-23	11:31:56.086	188.37	 51
DATA	0000006	2023-07-23	11:36:56.101	227.58	 42
DATA	0000007	2023-07-23	11:41:56.115	271.20	 32
DATA	0000008	2023-07-23	11:46:56.129	313.90	 47
DATA	0000009	2023-07-23	11:51:56.144	353.66	 48
DATA	0000010	2023-07-23	11:56:56.158	396.44	 53
DATA	0000011	2023-07-23	12:01:56.173	437.59	 44
DATA	0000012	2023-07-23	12:06:56.187	475.95	 57
DATA	0000013	2023-07-23	12:11:56.201	495.89	 46
DATA	0000014	2023-07-23	12:16:56.216	495.57	 53
DATA	0000015	2023-07-23	12:21:56.230	495.36	 43
DATA	0000016	2023-07-23	12:26:56.245	495.32	 51
DATA	0000017	2023-07-23	12:31:56.259	495.38	 59
DATA	0000018	2023-07-23	12:36:55.273	495.41	 54
DATA	0000019	2023-07-23	12:41:55.288	495.44	 60
DATA	0000020	2023-07-23	12:46:55.302	495.50	 41
DATA	0000021	2023-07-23	12:51:55.316	477.01	 39
DATA	0000022	2023-07-23	12:56:55.331	438.40	 42
DATA	0000023	2023-07-23	13:01:55.345	399.20	 43
DATA	0000024	2023-07-23	13:06:55.360	358.80	 47
DATA	0000025	2023-07-23	13:11:55.374	317.97	 52
DATA	0000026	2023-07-23	13:16:55.388	274.92	 60
DATA	0000027	2023-07-23	13:21:55.403	230.09	 35
DATA	0000028	2023-07-23	13:26:55.417	183.85	 57
DATA	0000029	2023-07-23	13:31:55.431	138.45	 46
DATA	0000030	2023-07-23	13:36:55.446	90.265	 50
DATA	0000031	2023-07-23	13:41:55.460	45.929	 50
DATA	0000032	2023-07-23	13:46:55.475	14.947	 58
DATA	0000033	2023-07-23	13:51:55.489	0.011009	142
DATA	0000034	2023-07-23	13:56:55.503	0.012800	135
