data2,data1,loggerUid,logDateTime,dateTime
20.88,12451.65,FFD81DD88948,1690098842,23-07-2023 10:54:02
21,4.75,FFD81DD88948,1690099200,23-07-2023 11:00:00
21,0,FFD81DD88948,1690099260,23-07-2023 11:01:00
21,0.19,FFD81DD88948,1690099320,23-07-2023 11:02:00
21,0,FFD81DD88948,1690099380,23-07-2023 11:03:00
21.06,0,FFD81DD88948,1690099440,23-07-2023 11:04:00
21.06,0,FFD81DD88948,1690099500,23-07-2023 11:05:00
21.06,0,FFD81DD88948,1690099560,23-07-2023 11:06:00
21.06,0,FFD81DD88948,1690099620,23-07-2023 11:07:00
21.06,0,FFD81DD88948,1690099680,23-07-2023 11:08:00
21.06,0,FFD81DD88948,1690099740,23-07-2023 11:09:00
21.06,0,FFD81DD88948,1690099800,23-07-2023 11:10:00
21.06,2.85,FFD81DD88948,1690099860,23-07-2023 11:11:00
21.06,12.35,FFD81DD88948,1690099920,23-07-2023 11:12:00
21.06,21.85,FFD81DD88948,1690099980,23-07-2023 11:13:00
21.06,30.78,FFD81DD88948,1690100040,23-07-2023 11:14:00
21.06,39.9,FFD81DD88948,1690100100,23-07-2023 11:15:00
21.06,49.02,FFD81DD88948,1690100160,23-07-2023 11:16:00
21.13,57.95,FFD81DD88948,1690100220,23-07-2023 11:17:00
21.13,67.07,FFD81DD88948,1690100280,23-07-2023 11:18:00
21.13,75.81,FFD81DD88948,1690100340,23-07-2023 11:19:00
21.19,84.55,FFD81DD88948,1690100400,23-07-2023 11:20:00
21.19,92.34,FFD81DD88948,1690100460,23-07-2023 11:21:00
21.25,98.61,FFD81DD88948,1690100520,23-07-2023 11:22:00
21.31,106.59,FFD81DD88948,1690100580,23-07-2023 11:23:00
21.31,114.76,FFD81DD88948,1690100640,23-07-2023 11:24:00
21.38,122.93,FFD81DD88948,1690100700,23-07-2023 11:25:00
21.44,130.72,FFD81DD88948,1690100760,23-07-2023 11:26:00
21.44,138.7,FFD81DD88948,1690100820,23-07-2023 11:27:00
21.56,146.68,FFD81DD88948,1690100880,23-07-2023 11:28:00
21.56,154.85,FFD81DD88948,1690100940,23-07-2023 11:29:00
21.63,162.07,FFD81DD88948,1690101000,23-07-2023 11:30:00
21.69,169.48,FFD81DD88948,1690101060,23-07-2023 11:31:00
21.75,176.89,FFD81DD88948,1690101120,23-07-2023 11:32:00
21.81,184.11,FFD81DD88948,1690101180,23-07-2023 11:33:00
21.88,191.71,FFD81DD88948,1690101240,23-07-2023 11:34:00
21.94,198.93,FFD81DD88948,1690101300,23-07-2023 11:35:00
22,206.34,FFD81DD88948,1690101360,23-07-2023 11:36:00
22.06,214.51,FFD81DD88948,1690101420,23-07-2023 11:37:00
22.19,223.25,FFD81DD88948,1690101480,23-07-2023 11:38:00
22.25,231.99,FFD81DD88948,1690101540,23-07-2023 11:39:00
22.31,240.35,FFD81DD88948,1690101600,23-07-2023 11:40:00
22.38,248.52,FFD81DD88948,1690101660,23-07-2023 11:41:00
22.44,256.88,FFD81DD88948,1690101720,23-07-2023 11:42:00
22.56,264.86,FFD81DD88948,1690101780,23-07-2023 11:43:00
22.63,273.03,FFD81DD88948,1690101840,23-07-2023 11:44:00
22.69,281.01,FFD81DD88948,1690101900,23-07-2023 11:45:00
22.81,288.8,FFD81DD88948,1690101960,23-07-2023 11:46:00
22.88,296.97,FFD81DD88948,1690102020,23-07-2023 11:47:00
23,305.14,FFD81DD88948,1690102080,23-07-2023 11:48:00
23.06,312.55,FFD81DD88948,1690102140,23-07-2023 11:49:00
