"data2","data1","loggerUid","logDateTime","dateTime"
21.06,0,"FFD81DD88948",1690099620,"23-07-2023 11:07:00"
21.06,12.35,"FFD81DD88948",1690099920,"23-07-2023 11:12:00"
21.13,57.95,"FFD81DD88948",1690100220,"23-07-2023 11:17:00"
21.25,98.61,"FFD81DD88948",1690100520,"23-07-2023 11:22:00"
21.44,138.7,"FFD81DD88948",1690100820,"23-07-2023 11:27:00"
21.75,176.89,"FFD81DD88948",1690101120,"23-07-2023 11:32:00"
22.06,214.51,"FFD81DD88948",1690101420,"23-07-2023 11:37:00"
22.44,256.88,"FFD81DD88948",1690101720,"23-07-2023 11:42:00"
22.88,296.97,"FFD81DD88948",1690102020,"23-07-2023 11:47:00"
23.38,334.78,"FFD81DD88948",1690102320,"23-07-2023 11:52:00"
23.88,372.02,"FFD81DD88948",1690102620,"23-07-2023 11:57:00"
24.88,414.2,"FFD81DD88948",1690102920,"23-07-2023 12:02:00"
25.81,451.25,"FFD81DD88948",1690103220,"23-07-2023 12:07:00"
26.63,476.9,"FFD81DD88948",1690103520,"23-07-2023 12:12:00"
27.25,475.76,"FFD81DD88948",1690103820,"23-07-2023 12:17:00"
27.75,475.19,"FFD81DD88948",1690104120,"23-07-2023 12:22:00"
28.19,474.81,"FFD81DD88948",1690104420,"23-07-2023 12:27:00"
28.5,474.43,"FFD81DD88948",1690104720,"23-07-2023 12:32:00"
28.75,474.24,"FFD81DD88948",1690105020,"23-07-2023 12:37:00"
28.94,473.86,"FFD81DD88948",1690105320,"23-07-2023 12:42:00"
29.13,473.67,"FFD81DD88948",1690105620,"23-07-2023 12:47:00"
29.31,462.84,"FFD81DD88948",1690105920,"23-07-2023 12:52:00"
29.44,426.74,"FFD81DD88948",1690106220,"23-07-2023 12:57:00"
29.44,390.26,"FFD81DD88948",1690106520,"23-07-2023 13:02:00"
29.31,352.45,"FFD81DD88948",1690106820,"23-07-2023 13:07:00"
29.13,313.69,"FFD81DD88948",1690107120,"23-07-2023 13:12:00"
28.75,273.41,"FFD81DD88948",1690107420,"23-07-2023 13:17:00"
28.38,231.8,"FFD81DD88948",1690107720,"23-07-2023 13:22:00"
27.88,188.48,"FFD81DD88948",1690108020,"23-07-2023 13:27:00"
27.19,143.64,"FFD81DD88948",1690108320,"23-07-2023 13:32:00"
26.44,96.71,"FFD81DD88948",1690108620,"23-07-2023 13:37:00"
25.81,50.92,"FFD81DD88948",1690108920,"23-07-2023 13:42:00"
25.19,20.71,"FFD81DD88948",1690109220,"23-07-2023 13:47:00"
24.69,0,"FFD81DD88948",1690109520,"23-07-2023 13:52:00"
24.25,0,"FFD81DD88948",1690109820,"23-07-2023 13:57:00"
