data2,data1,loggerUid,logDateTime,dateTime
21.25,578680,F4E392E44540,1690099200,23-07-2023 11:00:00
21.25,0,F4E392E44540,1690099260,23-07-2023 11:01:00
21.19,0,F4E392E44540,1690099320,23-07-2023 11:02:00
21.19,0,F4E392E44540,1690099380,23-07-2023 11:03:00
21.19,0,F4E392E44540,1690099440,23-07-2023 11:04:00
21.19,0,F4E392E44540,1690099500,23-07-2023 11:05:00
21.19,30,F4E392E44540,1690099560,23-07-2023 11:06:00
21.19,0,F4E392E44540,1690099620,23-07-2023 11:07:00
21.13,0,F4E392E44540,1690099680,23-07-2023 11:08:00
21.19,0,F4E392E44540,1690099740,23-07-2023 11:09:00
21.13,0,F4E392E44540,1690099800,23-07-2023 11:10:00
21.13,140,F4E392E44540,1690099860,23-07-2023 11:11:00
21.13,580,F4E392E44540,1690099920,23-07-2023 11:12:00
21.13,1030,F4E392E44540,1690099980,23-07-2023 11:13:00
21.13,1450,F4E392E44540,1690100040,23-07-2023 11:14:00
21.13,1880,F4E392E44540,1690100100,23-07-2023 11:15:00
21.13,2310,F4E392E44540,1690100160,23-07-2023 11:16:00
21.19,2730,F4E392E44540,1690100220,23-07-2023 11:17:00
21.13,3160,F4E392E44540,1690100280,23-07-2023 11:18:00
21.19,3570,F4E392E44540,1690100340,23-07-2023 11:19:00
21.19,4000,F4E392E44540,1690100400,23-07-2023 11:20:00
21.25,4370,F4E392E44540,1690100460,23-07-2023 11:21:00
21.25,4670,F4E392E44540,1690100520,23-07-2023 11:22:00
21.25,5030,F4E392E44540,1690100580,23-07-2023 11:23:00
21.31,5410,F4E392E44540,1690100640,23-07-2023 11:24:00
21.31,5780,F4E392E44540,1690100700,23-07-2023 11:25:00
21.38,6150,F4E392E44540,1690100760,23-07-2023 11:26:00
21.44,6510,F4E392E44540,1690100820,23-07-2023 11:27:00
21.44,6870,F4E392E44540,1690100880,23-07-2023 11:28:00
21.5,7250,F4E392E44540,1690100940,23-07-2023 11:29:00
21.56,7590,F4E392E44540,1690101000,23-07-2023 11:30:00
21.63,7930,F4E392E44540,1690101060,23-07-2023 11:31:00
21.69,8260,F4E392E44540,1690101120,23-07-2023 11:32:00
21.69,8610,F4E392E44540,1690101180,23-07-2023 11:33:00
21.75,8950,F4E392E44540,1690101240,23-07-2023 11:34:00
21.81,9300,F4E392E44540,1690101300,23-07-2023 11:35:00
21.88,9630,F4E392E44540,1690101360,23-07-2023 11:36:00
21.94,10020,F4E392E44540,1690101420,23-07-2023 11:37:00
22,10430,F4E392E44540,1690101480,23-07-2023 11:38:00
22.06,10840,F4E392E44540,1690101540,23-07-2023 11:39:00
22.13,11230,F4E392E44540,1690101600,23-07-2023 11:40:00
22.19,11630,F4E392E44540,1690101660,23-07-2023 11:41:00
22.25,12020,F4E392E44540,1690101720,23-07-2023 11:42:00
22.31,12400,F4E392E44540,1690101780,23-07-2023 11:43:00
22.38,12790,F4E392E44540,1690101840,23-07-2023 11:44:00
22.44,13170,F4E392E44540,1690101900,23-07-2023 11:45:00
22.56,13550,F4E392E44540,1690101960,23-07-2023 11:46:00
22.63,13930,F4E392E44540,1690102020,23-07-2023 11:47:00
22.69,14320,F4E392E44540,1690102080,23-07-2023 11:48:00
22.75,14680,F4E392E44540,1690102140,23-07-2023 11:49:00
22.88,15040,F4E392E44540,1690102200,23-07-2023 11:50:00
22.94,15410,F4E392E44540,1690102260,23-07-2023 11:51:00
23,15760,F4E392E44540,1690102320,23-07-2023 11:52:00
23.13,16110,F4E392E44540,1690102380,23-07-2023 11:53:00
23.19,16480,F4E392E44540,1690102440,23-07-2023 11:54:00
23.31,16830,F4E392E44540,1690102500,23-07-2023 11:55:00
23.38,17170,F4E392E44540,1690102560,23-07-2023 11:56:00
23.5,17570,F4E392E44540,1690102620,23-07-2023 11:57:00
23.63,18010,F4E392E44540,1690102680,23-07-2023 11:58:00
23.81,18430,F4E392E44540,1690102740,23-07-2023 11:59:00
24.06,18810,F4E392E44540,1690102800,23-07-2023 12:00:00
24.25,19170,F4E392E44540,1690102860,23-07-2023 12:01:00
24.44,19510,F4E392E44540,1690102920,23-07-2023 12:02:00
24.63,19870,F4E392E44540,1690102980,23-07-2023 12:03:00
24.81,20200,F4E392E44540,1690103040,23-07-2023 12:04:00
24.94,20560,F4E392E44540,1690103100,23-07-2023 12:05:00
25.13,20890,F4E392E44540,1690103160,23-07-2023 12:06:00
25.25,21240,F4E392E44540,1690103220,23-07-2023 12:07:00
25.38,21590,F4E392E44540,1690103280,23-07-2023 12:08:00
25.56,21910,F4E392E44540,1690103340,23-07-2023 12:09:00
25.69,22240,F4E392E44540,1690103400,23-07-2023 12:10:00
25.81,22470,F4E392E44540,1690103460,23-07-2023 12:11:00
25.94,22470,F4E392E44540,1690103520,23-07-2023 12:12:00
26.06,22460,F4E392E44540,1690103580,23-07-2023 12:13:00
26.19,22450,F4E392E44540,1690103640,23-07-2023 12:14:00
26.31,22450,F4E392E44540,1690103700,23-07-2023 12:15:00
26.44,22450,F4E392E44540,1690103760,23-07-2023 12:16:00
26.56,22440,F4E392E44540,1690103820,23-07-2023 12:17:00
26.69,22440,F4E392E44540,1690103880,23-07-2023 12:18:00
26.81,22440,F4E392E44540,1690103940,23-07-2023 12:19:00
26.88,22430,F4E392E44540,1690104000,23-07-2023 12:20:00
27,22420,F4E392E44540,1690104060,23-07-2023 12:21:00
27.06,22430,F4E392E44540,1690104120,23-07-2023 12:22:00
27.19,22420,F4E392E44540,1690104180,23-07-2023 12:23:00
27.25,22420,F4E392E44540,1690104240,23-07-2023 12:24:00
27.31,22420,F4E392E44540,1690104300,23-07-2023 12:25:00
27.38,22420,F4E392E44540,1690104360,23-07-2023 12:26:00
27.5,22410,F4E392E44540,1690104420,23-07-2023 12:27:00
27.56,22410,F4E392E44540,1690104480,23-07-2023 12:28:00
27.63,22410,F4E392E44540,1690104540,23-07-2023 12:29:00
27.69,22410,F4E392E44540,1690104600,23-07-2023 12:30:00
27.75,22410,F4E392E44540,1690104660,23-07-2023 12:31:00
27.81,22410,F4E392E44540,1690104720,23-07-2023 12:32:00
27.88,22410,F4E392E44540,1690104780,23-07-2023 12:33:00
27.94,22410,F4E392E44540,1690104840,23-07-2023 12:34:00
28,22400,F4E392E44540,1690104900,23-07-2023 12:35:00
28.06,22410,F4E392E44540,1690104960,23-07-2023 12:36:00
28.13,22410,F4E392E44540,1690105020,23-07-2023 12:37:00
28.19,22400,F4E392E44540,1690105080,23-07-2023 12:38:00
28.25,22410,F4E392E44540,1690105140,23-07-2023 12:39:00
28.25,22400,F4E392E44540,1690105200,23-07-2023 12:40:00
28.31,22400,F4E392E44540,1690105260,23-07-2023 12:41:00
28.38,22400,F4E392E44540,1690105320,23-07-2023 12:42:00
28.44,22400,F4E392E44540,1690105380,23-07-2023 12:43:00
28.5,22400,F4E392E44540,1690105440,23-07-2023 12:44:00
28.5,22400,F4E392E44540,1690105500,23-07-2023 12:45:00
28.56,22390,F4E392E44540,1690105560,23-07-2023 12:46:00
28.63,22400,F4E392E44540,1690105620,23-07-2023 12:47:00
28.69,22400,F4E392E44540,1690105680,23-07-2023 12:48:00
28.69,22400,F4E392E44540,1690105740,23-07-2023 12:49:00
28.75,22400,F4E392E44540,1690105800,23-07-2023 12:50:00
28.75,22240,F4E392E44540,1690105860,23-07-2023 12:51:00
28.81,21900,F4E392E44540,1690105920,23-07-2023 12:52:00
28.88,21570,F4E392E44540,1690105980,23-07-2023 12:53:00
28.88,21230,F4E392E44540,1690106040,23-07-2023 12:54:00
28.94,20880,F4E392E44540,1690106100,23-07-2023 12:55:00
28.94,20540,F4E392E44540,1690106160,23-07-2023 12:56:00
28.94,20190,F4E392E44540,1690106220,23-07-2023 12:57:00
29,19850,F4E392E44540,1690106280,23-07-2023 12:58:00
29,19510,F4E392E44540,1690106340,23-07-2023 12:59:00
29.06,19160,F4E392E44540,1690106400,23-07-2023 13:00:00
29.06,18820,F4E392E44540,1690106460,23-07-2023 13:01:00
29.06,18460,F4E392E44540,1690106520,23-07-2023 13:02:00
29.06,18120,F4E392E44540,1690106580,23-07-2023 13:03:00
29.06,17740,F4E392E44540,1690106640,23-07-2023 13:04:00
29.06,17390,F4E392E44540,1690106700,23-07-2023 13:05:00
29.06,17040,F4E392E44540,1690106760,23-07-2023 13:06:00
29.06,16660,F4E392E44540,1690106820,23-07-2023 13:07:00
29.06,16290,F4E392E44540,1690106880,23-07-2023 13:08:00
29,15930,F4E392E44540,1690106940,23-07-2023 13:09:00
29,15560,F4E392E44540,1690107000,23-07-2023 13:10:00
28.94,15200,F4E392E44540,1690107060,23-07-2023 13:11:00
28.94,14820,F4E392E44540,1690107120,23-07-2023 13:12:00
28.88,14440,F4E392E44540,1690107180,23-07-2023 13:13:00
28.81,14060,F4E392E44540,1690107240,23-07-2023 13:14:00
28.81,13670,F4E392E44540,1690107300,23-07-2023 13:15:00
28.75,13270,F4E392E44540,1690107360,23-07-2023 13:16:00
28.69,12900,F4E392E44540,1690107420,23-07-2023 13:17:00
28.63,12500,F4E392E44540,1690107480,23-07-2023 13:18:00
28.56,12120,F4E392E44540,1690107540,23-07-2023 13:19:00
28.56,11710,F4E392E44540,1690107600,23-07-2023 13:20:00
28.5,11330,F4E392E44540,1690107660,23-07-2023 13:21:00
28.44,10920,F4E392E44540,1690107720,23-07-2023 13:22:00
28.38,10510,F4E392E44540,1690107780,23-07-2023 13:23:00
28.25,10100,F4E392E44540,1690107840,23-07-2023 13:24:00
28.25,9690,F4E392E44540,1690107900,23-07-2023 13:25:00
28.13,9290,F4E392E44540,1690107960,23-07-2023 13:26:00
28.06,8860,F4E392E44540,1690108020,23-07-2023 13:27:00
27.94,8430,F4E392E44540,1690108080,23-07-2023 13:28:00
27.88,7980,F4E392E44540,1690108140,23-07-2023 13:29:00
27.75,7570,F4E392E44540,1690108200,23-07-2023 13:30:00
27.63,7180,F4E392E44540,1690108260,23-07-2023 13:31:00
27.5,6760,F4E392E44540,1690108320,23-07-2023 13:32:00
27.38,6310,F4E392E44540,1690108380,23-07-2023 13:33:00
27.31,5870,F4E392E44540,1690108440,23-07-2023 13:34:00
27.19,5430,F4E392E44540,1690108500,23-07-2023 13:35:00
27.06,5000,F4E392E44540,1690108560,23-07-2023 13:36:00
26.88,4540,F4E392E44540,1690108620,23-07-2023 13:37:00
26.81,4090,F4E392E44540,1690108680,23-07-2023 13:38:00
26.69,3630,F4E392E44540,1690108740,23-07-2023 13:39:00
26.56,3160,F4E392E44540,1690108800,23-07-2023 13:40:00
26.44,2760,F4E392E44540,1690108860,23-07-2023 13:41:00
26.38,2390,F4E392E44540,1690108920,23-07-2023 13:42:00
26.25,2070,F4E392E44540,1690108980,23-07-2023 13:43:00
26.13,1800,F4E392E44540,1690109040,23-07-2023 13:44:00
26,1520,F4E392E44540,1690109100,23-07-2023 13:45:00
25.88,1240,F4E392E44540,1690109160,23-07-2023 13:46:00
25.81,960,F4E392E44540,1690109220,23-07-2023 13:47:00
25.69,700,F4E392E44540,1690109280,23-07-2023 13:48:00
25.56,540,F4E392E44540,1690109340,23-07-2023 13:49:00
25.5,200,F4E392E44540,1690109400,23-07-2023 13:50:00
25.38,0,F4E392E44540,1690109460,23-07-2023 13:51:00
25.25,0,F4E392E44540,1690109520,23-07-2023 13:52:00
25.19,0,F4E392E44540,1690109580,23-07-2023 13:53:00
25.06,0,F4E392E44540,1690109640,23-07-2023 13:54:00
25,0,F4E392E44540,1690109700,23-07-2023 13:55:00
24.94,0,F4E392E44540,1690109760,23-07-2023 13:56:00
24.81,0,F4E392E44540,1690109820,23-07-2023 13:57:00
24.75,0,F4E392E44540,1690109880,23-07-2023 13:58:00
24.69,0,F4E392E44540,1690109940,23-07-2023 13:59:00
24.56,0,F4E392E44540,1690110000,23-07-2023 14:00:00
