"data2","data1","loggerUid","logDateTime","dateTime"
21.19,0,"F4E392E44540",1690099620,"23-07-2023 11:07:00"
21.13,580,"F4E392E44540",1690099920,"23-07-2023 11:12:00"
21.19,2730,"F4E392E44540",1690100220,"23-07-2023 11:17:00"
21.25,4670,"F4E392E44540",1690100520,"23-07-2023 11:22:00"
21.44,6510,"F4E392E44540",1690100820,"23-07-2023 11:27:00"
21.69,8260,"F4E392E44540",1690101120,"23-07-2023 11:32:00"
21.94,10020,"F4E392E44540",1690101420,"23-07-2023 11:37:00"
22.25,12020,"F4E392E44540",1690101720,"23-07-2023 11:42:00"
22.63,13930,"F4E392E44540",1690102020,"23-07-2023 11:47:00"
23,15760,"F4E392E44540",1690102320,"23-07-2023 11:52:00"
23.5,17570,"F4E392E44540",1690102620,"23-07-2023 11:57:00"
24.44,19510,"F4E392E44540",1690102920,"23-07-2023 12:02:00"
25.25,21240,"F4E392E44540",1690103220,"23-07-2023 12:07:00"
25.94,22470,"F4E392E44540",1690103520,"23-07-2023 12:12:00"
26.56,22440,"F4E392E44540",1690103820,"23-07-2023 12:17:00"
27.06,22430,"F4E392E44540",1690104120,"23-07-2023 12:22:00"
27.5,22410,"F4E392E44540",1690104420,"23-07-2023 12:27:00"
27.81,22410,"F4E392E44540",1690104720,"23-07-2023 12:32:00"
28.13,22410,"F4E392E44540",1690105020,"23-07-2023 12:37:00"
28.38,22400,"F4E392E44540",1690105320,"23-07-2023 12:42:00"
28.63,22400,"F4E392E44540",1690105620,"23-07-2023 12:47:00"
28.81,21900,"F4E392E44540",1690105920,"23-07-2023 12:52:00"
28.94,20190,"F4E392E44540",1690106220,"23-07-2023 12:57:00"
29.06,18460,"F4E392E44540",1690106520,"23-07-2023 13:02:00"
29.06,16660,"F4E392E44540",1690106820,"23-07-2023 13:07:00"
28.94,14820,"F4E392E44540",1690107120,"23-07-2023 13:12:00"
28.69,12900,"F4E392E44540",1690107420,"23-07-2023 13:17:00"
28.44,10920,"F4E392E44540",1690107720,"23-07-2023 13:22:00"
28.06,8860,"F4E392E44540",1690108020,"23-07-2023 13:27:00"
27.5,6760,"F4E392E44540",1690108320,"23-07-2023 13:32:00"
26.88,4540,"F4E392E44540",1690108620,"23-07-2023 13:37:00"
26.38,2390,"F4E392E44540",1690108920,"23-07-2023 13:42:00"
25.81,960,"F4E392E44540",1690109220,"23-07-2023 13:47:00"
25.25,0,"F4E392E44540",1690109520,"23-07-2023 13:52:00"
24.81,0,"F4E392E44540",1690109820,"23-07-2023 13:57:00"
