data2,data1,loggerUid,logDateTime,dateTime
20.88,655350,CBB9B630C491,1690099200,23-07-2023 11:00:00
20.88,10,CBB9B630C491,1690099260,23-07-2023 11:01:00
20.88,0,CBB9B630C491,1690099320,23-07-2023 11:02:00
20.88,0,CBB9B630C491,1690099380,23-07-2023 11:03:00
20.88,0,CBB9B630C491,1690099440,23-07-2023 11:04:00
20.88,0,CBB9B630C491,1690099500,23-07-2023 11:05:00
20.88,0,CBB9B630C491,1690099560,23-07-2023 11:06:00
20.88,0,CBB9B630C491,1690099620,23-07-2023 11:07:00
20.88,0,CBB9B630C491,1690099680,23-07-2023 11:08:00
20.88,0,CBB9B630C491,1690099740,23-07-2023 11:09:00
20.88,0,CBB9B630C491,1690099800,23-07-2023 11:10:00
20.88,120,CBB9B630C491,1690099860,23-07-2023 11:11:00
20.88,510,CBB9B630C491,1690099920,23-07-2023 11:12:00
20.88,890,CBB9B630C491,1690099980,23-07-2023 11:13:00
20.88,1270,CBB9B630C491,1690100040,23-07-2023 11:14:00
20.88,1640,CBB9B630C491,1690100100,23-07-2023 11:15:00
20.88,2000,CBB9B630C491,1690100160,23-07-2023 11:16:00
20.88,2390,CBB9B630C491,1690100220,23-07-2023 11:17:00
20.88,2740,CBB9B630C491,1690100280,23-07-2023 11:18:00
20.94,3110,CBB9B630C491,1690100340,23-07-2023 11:19:00
20.94,3510,CBB9B630C491,1690100400,23-07-2023 11:20:00
21,3840,CBB9B630C491,1690100460,23-07-2023 11:21:00
21,4090,CBB9B630C491,1690100520,23-07-2023 11:22:00
21,4380,CBB9B630C491,1690100580,23-07-2023 11:23:00
21,4680,CBB9B630C491,1690100640,23-07-2023 11:24:00
21.06,4960,CBB9B630C491,1690100700,23-07-2023 11:25:00
21.13,5250,CBB9B630C491,1690100760,23-07-2023 11:26:00
21.13,5530,CBB9B630C491,1690100820,23-07-2023 11:27:00
21.19,5810,CBB9B630C491,1690100880,23-07-2023 11:28:00
21.25,6100,CBB9B630C491,1690100940,23-07-2023 11:29:00
21.31,6370,CBB9B630C491,1690101000,23-07-2023 11:30:00
21.31,6620,CBB9B630C491,1690101060,23-07-2023 11:31:00
21.38,6880,CBB9B630C491,1690101120,23-07-2023 11:32:00
21.44,7140,CBB9B630C491,1690101180,23-07-2023 11:33:00
21.5,7400,CBB9B630C491,1690101240,23-07-2023 11:34:00
21.5,7670,CBB9B630C491,1690101300,23-07-2023 11:35:00
21.63,7930,CBB9B630C491,1690101360,23-07-2023 11:36:00
21.63,8250,CBB9B630C491,1690101420,23-07-2023 11:37:00
21.69,8570,CBB9B630C491,1690101480,23-07-2023 11:38:00
21.75,8910,CBB9B630C491,1690101540,23-07-2023 11:39:00
21.81,9230,CBB9B630C491,1690101600,23-07-2023 11:40:00
21.88,9550,CBB9B630C491,1690101660,23-07-2023 11:41:00
21.94,9860,CBB9B630C491,1690101720,23-07-2023 11:42:00
22,10180,CBB9B630C491,1690101780,23-07-2023 11:43:00
22.13,10490,CBB9B630C491,1690101840,23-07-2023 11:44:00
22.19,10790,CBB9B630C491,1690101900,23-07-2023 11:45:00
22.25,11090,CBB9B630C491,1690101960,23-07-2023 11:46:00
22.31,11410,CBB9B630C491,1690102020,23-07-2023 11:47:00
22.38,11710,CBB9B630C491,1690102080,23-07-2023 11:48:00
22.5,12000,CBB9B630C491,1690102140,23-07-2023 11:49:00
22.56,12290,CBB9B630C491,1690102200,23-07-2023 11:50:00
22.63,12580,CBB9B630C491,1690102260,23-07-2023 11:51:00
22.75,12860,CBB9B630C491,1690102320,23-07-2023 11:52:00
22.81,13130,CBB9B630C491,1690102380,23-07-2023 11:53:00
22.88,13420,CBB9B630C491,1690102440,23-07-2023 11:54:00
23,13700,CBB9B630C491,1690102500,23-07-2023 11:55:00
23.06,13970,CBB9B630C491,1690102560,23-07-2023 11:56:00
23.19,14280,CBB9B630C491,1690102620,23-07-2023 11:57:00
23.38,14640,CBB9B630C491,1690102680,23-07-2023 11:58:00
23.63,15000,CBB9B630C491,1690102740,23-07-2023 11:59:00
23.88,15320,CBB9B630C491,1690102800,23-07-2023 12:00:00
24.13,15630,CBB9B630C491,1690102860,23-07-2023 12:01:00
24.31,15920,CBB9B630C491,1690102920,23-07-2023 12:02:00
24.5,16210,CBB9B630C491,1690102980,23-07-2023 12:03:00
24.69,16490,CBB9B630C491,1690103040,23-07-2023 12:04:00
24.88,16770,CBB9B630C491,1690103100,23-07-2023 12:05:00
25.06,17050,CBB9B630C491,1690103160,23-07-2023 12:06:00
25.25,17330,CBB9B630C491,1690103220,23-07-2023 12:07:00
25.38,17610,CBB9B630C491,1690103280,23-07-2023 12:08:00
25.56,17880,CBB9B630C491,1690103340,23-07-2023 12:09:00
25.69,18140,CBB9B630C491,1690103400,23-07-2023 12:10:00
25.88,18330,CBB9B630C491,1690103460,23-07-2023 12:11:00
26,18310,CBB9B630C491,1690103520,23-07-2023 12:12:00
26.13,18310,CBB9B630C491,1690103580,23-07-2023 12:13:00
26.25,18300,CBB9B630C491,1690103640,23-07-2023 12:14:00
26.38,18300,CBB9B630C491,1690103700,23-07-2023 12:15:00
26.5,18290,CBB9B630C491,1690103760,23-07-2023 12:16:00
26.63,18280,CBB9B630C491,1690103820,23-07-2023 12:17:00
26.75,18280,CBB9B630C491,1690103880,23-07-2023 12:18:00
26.88,18260,CBB9B630C491,1690103940,23-07-2023 12:19:00
26.94,18270,CBB9B630C491,1690104000,23-07-2023 12:20:00
27.06,18260,CBB9B630C491,1690104060,23-07-2023 12:21:00
27.13,18260,CBB9B630C491,1690104120,23-07-2023 12:22:00
27.25,18250,CBB9B630C491,1690104180,23-07-2023 12:23:00
27.31,18250,CBB9B630C491,1690104240,23-07-2023 12:24:00
27.38,18250,CBB9B630C491,1690104300,23-07-2023 12:25:00
