"data2","data1","loggerUid","logDateTime","dateTime"
20.88,0,"CBB9B630C491",1690099620,"23-07-2023 11:07:00"
20.88,510,"CBB9B630C491",1690099920,"23-07-2023 11:12:00"
20.88,2390,"CBB9B630C491",1690100220,"23-07-2023 11:17:00"
21,4090,"CBB9B630C491",1690100520,"23-07-2023 11:22:00"
21.13,5530,"CBB9B630C491",1690100820,"23-07-2023 11:27:00"
21.38,6880,"CBB9B630C491",1690101120,"23-07-2023 11:32:00"
21.63,8250,"CBB9B630C491",1690101420,"23-07-2023 11:37:00"
21.94,9860,"CBB9B630C491",1690101720,"23-07-2023 11:42:00"
22.31,11410,"CBB9B630C491",1690102020,"23-07-2023 11:47:00"
22.75,12860,"CBB9B630C491",1690102320,"23-07-2023 11:52:00"
23.19,14280,"CBB9B630C491",1690102620,"23-07-2023 11:57:00"
24.31,15920,"CBB9B630C491",1690102920,"23-07-2023 12:02:00"
25.25,17330,"CBB9B630C491",1690103220,"23-07-2023 12:07:00"
26,18310,"CBB9B630C491",1690103520,"23-07-2023 12:12:00"
26.63,18280,"CBB9B630C491",1690103820,"23-07-2023 12:17:00"
27.13,18260,"CBB9B630C491",1690104120,"23-07-2023 12:22:00"
27.5,18240,"CBB9B630C491",1690104420,"23-07-2023 12:27:00"
27.81,18230,"CBB9B630C491",1690104720,"23-07-2023 12:32:00"
28.06,18220,"CBB9B630C491",1690105020,"23-07-2023 12:37:00"
28.31,18210,"CBB9B630C491",1690105320,"23-07-2023 12:42:00"
28.5,18200,"CBB9B630C491",1690105620,"23-07-2023 12:47:00"
28.69,17800,"CBB9B630C491",1690105920,"23-07-2023 12:52:00"
28.81,16410,"CBB9B630C491",1690106220,"23-07-2023 12:57:00"
28.81,15010,"CBB9B630C491",1690106520,"23-07-2023 13:02:00"
28.75,13550,"CBB9B630C491",1690106820,"23-07-2023 13:07:00"
28.56,12070,"CBB9B630C491",1690107120,"23-07-2023 13:12:00"
28.25,10530,"CBB9B630C491",1690107420,"23-07-2023 13:17:00"
27.81,8930,"CBB9B630C491",1690107720,"23-07-2023 13:22:00"
27.31,7250,"CBB9B630C491",1690108020,"23-07-2023 13:27:00"
26.63,5530,"CBB9B630C491",1690108320,"23-07-2023 13:32:00"
25.88,3700,"CBB9B630C491",1690108620,"23-07-2023 13:37:00"
25.19,1940,"CBB9B630C491",1690108920,"23-07-2023 13:42:00"
24.63,780,"CBB9B630C491",1690109220,"23-07-2023 13:47:00"
24.13,0,"CBB9B630C491",1690109520,"23-07-2023 13:52:00"
23.75,0,"CBB9B630C491",1690109820,"23-07-2023 13:57:00"
