data2,data1,loggerUid,logDateTime,dateTime
21,6553.5,DED5F6C0D093,1690098602,23-07-2023 10:50:02
21.44,13,DED5F6C0D093,1690099200,23-07-2023 11:00:00
21.44,0,DED5F6C0D093,1690099260,23-07-2023 11:01:00
21.44,0,DED5F6C0D093,1690099320,23-07-2023 11:02:00
21.44,0,DED5F6C0D093,1690099380,23-07-2023 11:03:00
21.38,0,DED5F6C0D093,1690099440,23-07-2023 11:04:00
21.38,0,DED5F6C0D093,1690099500,23-07-2023 11:05:00
21.38,0,DED5F6C0D093,1690099560,23-07-2023 11:06:00
21.38,0,DED5F6C0D093,1690099620,23-07-2023 11:07:00
21.38,0,DED5F6C0D093,1690099680,23-07-2023 11:08:00
21.38,0,DED5F6C0D093,1690099740,23-07-2023 11:09:00
21.31,0,DED5F6C0D093,1690099800,23-07-2023 11:10:00
21.31,1.3,DED5F6C0D093,1690099860,23-07-2023 11:11:00
21.31,5.2,DED5F6C0D093,1690099920,23-07-2023 11:12:00
21.31,9.3,DED5F6C0D093,1690099980,23-07-2023 11:13:00
21.31,13.1,DED5F6C0D093,1690100040,23-07-2023 11:14:00
21.31,16.9,DED5F6C0D093,1690100100,23-07-2023 11:15:00
21.31,20.8,DED5F6C0D093,1690100160,23-07-2023 11:16:00
21.31,24.7,DED5F6C0D093,1690100220,23-07-2023 11:17:00
21.31,28.4,DED5F6C0D093,1690100280,23-07-2023 11:18:00
21.31,32.2,DED5F6C0D093,1690100340,23-07-2023 11:19:00
21.38,36.3,DED5F6C0D093,1690100400,23-07-2023 11:20:00
21.38,39.9,DED5F6C0D093,1690100460,23-07-2023 11:21:00
21.38,42.4,DED5F6C0D093,1690100520,23-07-2023 11:22:00
21.38,45.3,DED5F6C0D093,1690100580,23-07-2023 11:23:00
21.44,48.4,DED5F6C0D093,1690100640,23-07-2023 11:24:00
21.44,51.4,DED5F6C0D093,1690100700,23-07-2023 11:25:00
21.5,54.2,DED5F6C0D093,1690100760,23-07-2023 11:26:00
21.5,57.2,DED5F6C0D093,1690100820,23-07-2023 11:27:00
21.56,60,DED5F6C0D093,1690100880,23-07-2023 11:28:00
21.56,63.1,DED5F6C0D093,1690100940,23-07-2023 11:29:00
21.63,65.8,DED5F6C0D093,1690101000,23-07-2023 11:30:00
21.63,68.4,DED5F6C0D093,1690101060,23-07-2023 11:31:00
21.69,71.1,DED5F6C0D093,1690101120,23-07-2023 11:32:00
21.75,73.8,DED5F6C0D093,1690101180,23-07-2023 11:33:00
21.75,76.6,DED5F6C0D093,1690101240,23-07-2023 11:34:00
21.88,79.3,DED5F6C0D093,1690101300,23-07-2023 11:35:00
21.88,82,DED5F6C0D093,1690101360,23-07-2023 11:36:00
21.94,85.2,DED5F6C0D093,1690101420,23-07-2023 11:37:00
22,88.7,DED5F6C0D093,1690101480,23-07-2023 11:38:00
22.06,92.1,DED5F6C0D093,1690101540,23-07-2023 11:39:00
22.13,95.6,DED5F6C0D093,1690101600,23-07-2023 11:40:00
22.19,98.9,DED5F6C0D093,1690101660,23-07-2023 11:41:00
22.19,102.2,DED5F6C0D093,1690101720,23-07-2023 11:42:00
22.25,105.5,DED5F6C0D093,1690101780,23-07-2023 11:43:00
22.38,108.8,DED5F6C0D093,1690101840,23-07-2023 11:44:00
