"data2","data1","loggerUid","logDateTime","dateTime"
21.38,0,"DED5F6C0D093",1690099620,"23-07-2023 11:07:00"
21.31,5.2,"DED5F6C0D093",1690099920,"23-07-2023 11:12:00"
21.31,24.7,"DED5F6C0D093",1690100220,"23-07-2023 11:17:00"
21.38,42.4,"DED5F6C0D093",1690100520,"23-07-2023 11:22:00"
21.5,57.2,"DED5F6C0D093",1690100820,"23-07-2023 11:27:00"
21.69,71.1,"DED5F6C0D093",1690101120,"23-07-2023 11:32:00"
21.94,85.2,"DED5F6C0D093",1690101420,"23-07-2023 11:37:00"
22.19,102.2,"DED5F6C0D093",1690101720,"23-07-2023 11:42:00"
22.56,118.5,"DED5F6C0D093",1690102020,"23-07-2023 11:47:00"
22.94,133.9,"DED5F6C0D093",1690102320,"23-07-2023 11:52:00"
23.31,149,"DED5F6C0D093",1690102620,"23-07-2023 11:57:00"
24.38,165.9,"DED5F6C0D093",1690102920,"23-07-2023 12:02:00"
25.19,180.8,"DED5F6C0D093",1690103220,"23-07-2023 12:07:00"
25.88,191.1,"DED5F6C0D093",1690103520,"23-07-2023 12:12:00"
26.5,190.9,"DED5F6C0D093",1690103820,"23-07-2023 12:17:00"
26.94,190.8,"DED5F6C0D093",1690104120,"23-07-2023 12:22:00"
27.38,190.7,"DED5F6C0D093",1690104420,"23-07-2023 12:27:00"
27.69,190.7,"DED5F6C0D093",1690104720,"23-07-2023 12:32:00"
28,190.6,"DED5F6C0D093",1690105020,"23-07-2023 12:37:00"
28.25,190.6,"DED5F6C0D093",1690105320,"23-07-2023 12:42:00"
28.5,190.6,"DED5F6C0D093",1690105620,"23-07-2023 12:47:00"
28.69,186.4,"DED5F6C0D093",1690105920,"23-07-2023 12:52:00"
28.88,171.8,"DED5F6C0D093",1690106220,"23-07-2023 12:57:00"
28.94,157.2,"DED5F6C0D093",1690106520,"23-07-2023 13:02:00"
29,141.9,"DED5F6C0D093",1690106820,"23-07-2023 13:07:00"
28.88,126.2,"DED5F6C0D093",1690107120,"23-07-2023 13:12:00"
28.63,109.9,"DED5F6C0D093",1690107420,"23-07-2023 13:17:00"
28.31,93,"DED5F6C0D093",1690107720,"23-07-2023 13:22:00"
27.94,75.4,"DED5F6C0D093",1690108020,"23-07-2023 13:27:00"
27.38,57.5,"DED5F6C0D093",1690108320,"23-07-2023 13:32:00"
26.69,38.5,"DED5F6C0D093",1690108620,"23-07-2023 13:37:00"
26.13,20.1,"DED5F6C0D093",1690108920,"23-07-2023 13:42:00"
25.56,8.1,"DED5F6C0D093",1690109220,"23-07-2023 13:47:00"
25.13,0,"DED5F6C0D093",1690109520,"23-07-2023 13:52:00"
24.69,0,"DED5F6C0D093",1690109820,"23-07-2023 13:57:00"
