data2,data1,loggerUid,logDateTime,dateTime
21.19,655350,E02997A896B6,1690099200,23-07-2023 11:00:00
21.19,0,E02997A896B6,1690099260,23-07-2023 11:01:00
21.19,0,E02997A896B6,1690099320,23-07-2023 11:02:00
21.19,0,E02997A896B6,1690099380,23-07-2023 11:03:00
21.19,0,E02997A896B6,1690099440,23-07-2023 11:04:00
21.19,0,E02997A896B6,1690099500,23-07-2023 11:05:00
21.19,0,E02997A896B6,1690099560,23-07-2023 11:06:00
21.13,0,E02997A896B6,1690099620,23-07-2023 11:07:00
21.19,0,E02997A896B6,1690099680,23-07-2023 11:08:00
21.13,0,E02997A896B6,1690099740,23-07-2023 11:09:00
21.19,0,E02997A896B6,1690099800,23-07-2023 11:10:00
21.13,230,E02997A896B6,1690099860,23-07-2023 11:11:00
21.13,930,E02997A896B6,1690099920,23-07-2023 11:12:00
21.13,1620,E02997A896B6,1690099980,23-07-2023 11:13:00
21.19,2310,E02997A896B6,1690100040,23-07-2023 11:14:00
21.19,2970,E02997A896B6,1690100100,23-07-2023 11:15:00
21.19,3640,E02997A896B6,1690100160,23-07-2023 11:16:00
21.19,4330,E02997A896B6,1690100220,23-07-2023 11:17:00
21.19,4990,E02997A896B6,1690100280,23-07-2023 11:18:00
21.19,5640,E02997A896B6,1690100340,23-07-2023 11:19:00
21.25,6280,E02997A896B6,1690100400,23-07-2023 11:20:00
21.25,6840,E02997A896B6,1690100460,23-07-2023 11:21:00
21.31,7330,E02997A896B6,1690100520,23-07-2023 11:22:00
21.31,7910,E02997A896B6,1690100580,23-07-2023 11:23:00
21.38,8550,E02997A896B6,1690100640,23-07-2023 11:24:00
21.38,9140,E02997A896B6,1690100700,23-07-2023 11:25:00
21.44,9750,E02997A896B6,1690100760,23-07-2023 11:26:00
21.5,10340,E02997A896B6,1690100820,23-07-2023 11:27:00
21.56,10950,E02997A896B6,1690100880,23-07-2023 11:28:00
21.63,11560,E02997A896B6,1690100940,23-07-2023 11:29:00
21.69,12120,E02997A896B6,1690101000,23-07-2023 11:30:00
21.69,12680,E02997A896B6,1690101060,23-07-2023 11:31:00
21.75,13240,E02997A896B6,1690101120,23-07-2023 11:32:00
21.81,13790,E02997A896B6,1690101180,23-07-2023 11:33:00
21.88,14370,E02997A896B6,1690101240,23-07-2023 11:34:00
21.94,14930,E02997A896B6,1690101300,23-07-2023 11:35:00
22,15490,E02997A896B6,1690101360,23-07-2023 11:36:00
22.13,16100,E02997A896B6,1690101420,23-07-2023 11:37:00
22.19,16770,E02997A896B6,1690101480,23-07-2023 11:38:00
22.25,17420,E02997A896B6,1690101540,23-07-2023 11:39:00
22.31,18060,E02997A896B6,1690101600,23-07-2023 11:40:00
22.38,18680,E02997A896B6,1690101660,23-07-2023 11:41:00
22.44,19310,E02997A896B6,1690101720,23-07-2023 11:42:00
22.56,19930,E02997A896B6,1690101780,23-07-2023 11:43:00
22.63,20550,E02997A896B6,1690101840,23-07-2023 11:44:00
22.69,21150,E02997A896B6,1690101900,23-07-2023 11:45:00
22.81,21760,E02997A896B6,1690101960,23-07-2023 11:46:00
22.88,22380,E02997A896B6,1690102020,23-07-2023 11:47:00
23,23000,E02997A896B6,1690102080,23-07-2023 11:48:00
23.06,23580,E02997A896B6,1690102140,23-07-2023 11:49:00
23.19,24150,E02997A896B6,1690102200,23-07-2023 11:50:00
23.25,24740,E02997A896B6,1690102260,23-07-2023 11:51:00
23.31,25310,E02997A896B6,1690102320,23-07-2023 11:52:00
23.44,25860,E02997A896B6,1690102380,23-07-2023 11:53:00
23.56,26440,E02997A896B6,1690102440,23-07-2023 11:54:00
23.69,27020,E02997A896B6,1690102500,23-07-2023 11:55:00
23.75,27560,E02997A896B6,1690102560,23-07-2023 11:56:00
23.88,28190,E02997A896B6,1690102620,23-07-2023 11:57:00
24.06,28900,E02997A896B6,1690102680,23-07-2023 11:58:00
24.25,29570,E02997A896B6,1690102740,23-07-2023 11:59:00
24.44,30180,E02997A896B6,1690102800,23-07-2023 12:00:00
24.69,30770,E02997A896B6,1690102860,23-07-2023 12:01:00
24.88,31330,E02997A896B6,1690102920,23-07-2023 12:02:00
25.06,31910,E02997A896B6,1690102980,23-07-2023 12:03:00
25.25,32440,E02997A896B6,1690103040,23-07-2023 12:04:00
25.44,33020,E02997A896B6,1690103100,23-07-2023 12:05:00
25.63,33570,E02997A896B6,1690103160,23-07-2023 12:06:00
25.75,34140,E02997A896B6,1690103220,23-07-2023 12:07:00
25.94,34680,E02997A896B6,1690103280,23-07-2023 12:08:00
26.06,35220,E02997A896B6,1690103340,23-07-2023 12:09:00
26.25,35740,E02997A896B6,1690103400,23-07-2023 12:10:00
26.38,36120,E02997A896B6,1690103460,23-07-2023 12:11:00
26.56,36110,E02997A896B6,1690103520,23-07-2023 12:12:00
26.69,36110,E02997A896B6,1690103580,23-07-2023 12:13:00
26.81,36110,E02997A896B6,1690103640,23-07-2023 12:14:00
26.94,36100,E02997A896B6,1690103700,23-07-2023 12:15:00
27.06,36100,E02997A896B6,1690103760,23-07-2023 12:16:00
27.19,36090,E02997A896B6,1690103820,23-07-2023 12:17:00
27.31,36090,E02997A896B6,1690103880,23-07-2023 12:18:00
27.44,36090,E02997A896B6,1690103940,23-07-2023 12:19:00
27.5,36090,E02997A896B6,1690104000,23-07-2023 12:20:00
27.63,36080,E02997A896B6,1690104060,23-07-2023 12:21:00
27.75,36090,E02997A896B6,1690104120,23-07-2023 12:22:00
27.81,36080,E02997A896B6,1690104180,23-07-2023 12:23:00
27.88,36090,E02997A896B6,1690104240,23-07-2023 12:24:00
27.94,36080,E02997A896B6,1690104300,23-07-2023 12:25:00
28.06,36080,E02997A896B6,1690104360,23-07-2023 12:26:00
28.13,36080,E02997A896B6,1690104420,23-07-2023 12:27:00
28.19,36080,E02997A896B6,1690104480,23-07-2023 12:28:00
28.25,36090,E02997A896B6,1690104540,23-07-2023 12:29:00
28.31,36080,E02997A896B6,1690104600,23-07-2023 12:30:00
28.38,36080,E02997A896B6,1690104660,23-07-2023 12:31:00
28.44,36090,E02997A896B6,1690104720,23-07-2023 12:32:00
28.5,36090,E02997A896B6,1690104780,23-07-2023 12:33:00
28.56,36080,E02997A896B6,1690104840,23-07-2023 12:34:00
28.56,36090,E02997A896B6,1690104900,23-07-2023 12:35:00
28.63,36100,E02997A896B6,1690104960,23-07-2023 12:36:00
28.69,36090,E02997A896B6,1690105020,23-07-2023 12:37:00
28.75,36090,E02997A896B6,1690105080,23-07-2023 12:38:00
28.75,36090,E02997A896B6,1690105140,23-07-2023 12:39:00
28.81,36090,E02997A896B6,1690105200,23-07-2023 12:40:00
28.81,36100,E02997A896B6,1690105260,23-07-2023 12:41:00
28.88,36090,E02997A896B6,1690105320,23-07-2023 12:42:00
28.94,36090,E02997A896B6,1690105380,23-07-2023 12:43:00
29,36100,E02997A896B6,1690105440,23-07-2023 12:44:00
29,36090,E02997A896B6,1690105500,23-07-2023 12:45:00
29.06,36100,E02997A896B6,1690105560,23-07-2023 12:46:00
29.13,36090,E02997A896B6,1690105620,23-07-2023 12:47:00
29.13,36100,E02997A896B6,1690105680,23-07-2023 12:48:00
29.19,36100,E02997A896B6,1690105740,23-07-2023 12:49:00
29.19,36100,E02997A896B6,1690105800,23-07-2023 12:50:00
29.25,35830,E02997A896B6,1690105860,23-07-2023 12:51:00
29.25,35300,E02997A896B6,1690105920,23-07-2023 12:52:00
29.31,34760,E02997A896B6,1690105980,23-07-2023 12:53:00
29.31,34210,E02997A896B6,1690106040,23-07-2023 12:54:00
29.38,33660,E02997A896B6,1690106100,23-07-2023 12:55:00
29.38,33110,E02997A896B6,1690106160,23-07-2023 12:56:00
29.38,32550,E02997A896B6,1690106220,23-07-2023 12:57:00
29.44,32000,E02997A896B6,1690106280,23-07-2023 12:58:00
29.44,31450,E02997A896B6,1690106340,23-07-2023 12:59:00
29.44,30890,E02997A896B6,1690106400,23-07-2023 13:00:00
29.44,30340,E02997A896B6,1690106460,23-07-2023 13:01:00
29.44,29780,E02997A896B6,1690106520,23-07-2023 13:02:00
29.44,29210,E02997A896B6,1690106580,23-07-2023 13:03:00
29.44,28620,E02997A896B6,1690106640,23-07-2023 13:04:00
29.38,28050,E02997A896B6,1690106700,23-07-2023 13:05:00
29.38,27480,E02997A896B6,1690106760,23-07-2023 13:06:00
29.31,26880,E02997A896B6,1690106820,23-07-2023 13:07:00
29.31,26280,E02997A896B6,1690106880,23-07-2023 13:08:00
29.31,25710,E02997A896B6,1690106940,23-07-2023 13:09:00
29.25,25110,E02997A896B6,1690107000,23-07-2023 13:10:00
29.19,24530,E02997A896B6,1690107060,23-07-2023 13:11:00
29.13,23920,E02997A896B6,1690107120,23-07-2023 13:12:00
29.13,23330,E02997A896B6,1690107180,23-07-2023 13:13:00
29.06,22690,E02997A896B6,1690107240,23-07-2023 13:14:00
29,22070,E02997A896B6,1690107300,23-07-2023 13:15:00
28.94,21440,E02997A896B6,1690107360,23-07-2023 13:16:00
28.81,20840,E02997A896B6,1690107420,23-07-2023 13:17:00
28.75,20200,E02997A896B6,1690107480,23-07-2023 13:18:00
28.69,19570,E02997A896B6,1690107540,23-07-2023 13:19:00
28.56,18930,E02997A896B6,1690107600,23-07-2023 13:20:00
28.5,18300,E02997A896B6,1690107660,23-07-2023 13:21:00
28.44,17650,E02997A896B6,1690107720,23-07-2023 13:22:00
28.31,17000,E02997A896B6,1690107780,23-07-2023 13:23:00
28.25,16330,E02997A896B6,1690107840,23-07-2023 13:24:00
28.19,15680,E02997A896B6,1690107900,23-07-2023 13:25:00
28.06,15010,E02997A896B6,1690107960,23-07-2023 13:26:00
28,14340,E02997A896B6,1690108020,23-07-2023 13:27:00
27.88,13630,E02997A896B6,1690108080,23-07-2023 13:28:00
27.75,12930,E02997A896B6,1690108140,23-07-2023 13:29:00
27.63,12260,E02997A896B6,1690108200,23-07-2023 13:30:00
27.5,11620,E02997A896B6,1690108260,23-07-2023 13:31:00
27.31,10940,E02997A896B6,1690108320,23-07-2023 13:32:00
27.19,10230,E02997A896B6,1690108380,23-07-2023 13:33:00
27.06,9510,E02997A896B6,1690108440,23-07-2023 13:34:00
26.94,8800,E02997A896B6,1690108500,23-07-2023 13:35:00
26.81,8090,E02997A896B6,1690108560,23-07-2023 13:36:00
26.69,7370,E02997A896B6,1690108620,23-07-2023 13:37:00
26.56,6630,E02997A896B6,1690108680,23-07-2023 13:38:00
26.38,5890,E02997A896B6,1690108740,23-07-2023 13:39:00
26.31,5140,E02997A896B6,1690108800,23-07-2023 13:40:00
26.19,4480,E02997A896B6,1690108860,23-07-2023 13:41:00
26,3880,E02997A896B6,1690108920,23-07-2023 13:42:00
25.94,3380,E02997A896B6,1690108980,23-07-2023 13:43:00
25.81,2920,E02997A896B6,1690109040,23-07-2023 13:44:00
25.69,2480,E02997A896B6,1690109100,23-07-2023 13:45:00
25.56,2010,E02997A896B6,1690109160,23-07-2023 13:46:00
25.44,1580,E02997A896B6,1690109220,23-07-2023 13:47:00
25.31,1120,E02997A896B6,1690109280,23-07-2023 13:48:00
25.25,870,E02997A896B6,1690109340,23-07-2023 13:49:00
25.13,300,E02997A896B6,1690109400,23-07-2023 13:50:00
25,0,E02997A896B6,1690109460,23-07-2023 13:51:00
24.94,0,E02997A896B6,1690109520,23-07-2023 13:52:00
24.81,0,E02997A896B6,1690109580,23-07-2023 13:53:00
24.75,0,E02997A896B6,1690109640,23-07-2023 13:54:00
24.63,0,E02997A896B6,1690109700,23-07-2023 13:55:00
24.56,0,E02997A896B6,1690109760,23-07-2023 13:56:00
24.44,0,E02997A896B6,1690109820,23-07-2023 13:57:00
24.38,0,E02997A896B6,1690109880,23-07-2023 13:58:00
24.31,0,E02997A896B6,1690109940,23-07-2023 13:59:00
24.25,0,E02997A896B6,1690110000,23-07-2023 14:00:00
22.06,1520,E02997A896B6,1690113242,23-07-2023 14:54:02
