"data2","data1","loggerUid","logDateTime","dateTime"
21.13,0,"E02997A896B6",1690099620,"23-07-2023 11:07:00"
21.13,930,"E02997A896B6",1690099920,"23-07-2023 11:12:00"
21.19,4330,"E02997A896B6",1690100220,"23-07-2023 11:17:00"
21.31,7330,"E02997A896B6",1690100520,"23-07-2023 11:22:00"
21.5,10340,"E02997A896B6",1690100820,"23-07-2023 11:27:00"
21.75,13240,"E02997A896B6",1690101120,"23-07-2023 11:32:00"
22.13,16100,"E02997A896B6",1690101420,"23-07-2023 11:37:00"
22.44,19310,"E02997A896B6",1690101720,"23-07-2023 11:42:00"
22.88,22380,"E02997A896B6",1690102020,"23-07-2023 11:47:00"
23.31,25310,"E02997A896B6",1690102320,"23-07-2023 11:52:00"
23.88,28190,"E02997A896B6",1690102620,"23-07-2023 11:57:00"
24.88,31330,"E02997A896B6",1690102920,"23-07-2023 12:02:00"
25.75,34140,"E02997A896B6",1690103220,"23-07-2023 12:07:00"
26.56,36110,"E02997A896B6",1690103520,"23-07-2023 12:12:00"
27.19,36090,"E02997A896B6",1690103820,"23-07-2023 12:17:00"
27.75,36090,"E02997A896B6",1690104120,"23-07-2023 12:22:00"
28.13,36080,"E02997A896B6",1690104420,"23-07-2023 12:27:00"
28.44,36090,"E02997A896B6",1690104720,"23-07-2023 12:32:00"
28.69,36090,"E02997A896B6",1690105020,"23-07-2023 12:37:00"
28.88,36090,"E02997A896B6",1690105320,"23-07-2023 12:42:00"
29.13,36090,"E02997A896B6",1690105620,"23-07-2023 12:47:00"
29.25,35300,"E02997A896B6",1690105920,"23-07-2023 12:52:00"
29.38,32550,"E02997A896B6",1690106220,"23-07-2023 12:57:00"
29.44,29780,"E02997A896B6",1690106520,"23-07-2023 13:02:00"
29.31,26880,"E02997A896B6",1690106820,"23-07-2023 13:07:00"
29.13,23920,"E02997A896B6",1690107120,"23-07-2023 13:12:00"
28.81,20840,"E02997A896B6",1690107420,"23-07-2023 13:17:00"
28.44,17650,"E02997A896B6",1690107720,"23-07-2023 13:22:00"
28,14340,"E02997A896B6",1690108020,"23-07-2023 13:27:00"
27.31,10940,"E02997A896B6",1690108320,"23-07-2023 13:32:00"
26.69,7370,"E02997A896B6",1690108620,"23-07-2023 13:37:00"
26,3880,"E02997A896B6",1690108920,"23-07-2023 13:42:00"
25.44,1580,"E02997A896B6",1690109220,"23-07-2023 13:47:00"
24.94,0,"E02997A896B6",1690109520,"23-07-2023 13:52:00"
24.44,0,"E02997A896B6",1690109820,"23-07-2023 13:57:00"
