Plot Title: 21661325,,,,,,,
#,"Date Time, GMT+03:00","DO conc, mg/L (LGR S/N: 21661325, SEN S/N: 21661325)","Temp, °C (LGR S/N: 21661325, SEN S/N: 21661325)",,,Stopped (LGR S/N: 21661325),End Of File (LGR S/N: 21661325)
1,7/25/2023 10:00,8.48,25.14,21661325,control,,
2,7/25/2023 10:05,8.33,25.86,21661325,control,,
3,7/25/2023 10:10,8.1,27,21661325,control,,
4,7/25/2023 10:15,8.62,30.5,21661325,control,,
5,7/25/2023 10:20,7.82,32.96,21661325,control,,
6,7/25/2023 10:25,7.59,33.7,21661325,control,,
7,7/25/2023 10:30,7.33,33.9,21661325,control,,
8,7/25/2023 10:35,7.42,33.96,21661325,control,,
9,7/25/2023 10:40,7.51,34.04,21661325,control,,
10,7/25/2023 10:45,7.95,34.08,21661325,control,,
11,7/25/2023 10:50,7.76,34.14,21661325,control,,
12,7/25/2023 10:55,8.14,34.16,21661325,control,,
13,7/25/2023 11:00,8,34.2,21661325,control,,
14,7/25/2023 11:05,8.11,34.24,21661325,control,,
15,7/25/2023 11:10,8.43,34.28,21661325,control,,
16,7/25/2023 11:15,8.6,34.36,21661325,control,,
17,7/25/2023 11:20,8.56,34.46,21661325,control,,
18,7/25/2023 11:25,8.69,34.56,21661325,control,,
19,7/25/2023 11:30,8.68,34.66,21661325,control,,
20,7/25/2023 11:35,8.74,34.7,21661325,control,,
21,7/25/2023 11:40,8.81,34.66,21661325,control,,
22,7/25/2023 11:45,8.82,34.64,21661325,control,,
23,7/25/2023 11:50,8.82,34.66,21661325,control,,
24,7/25/2023 11:55,8.87,34.74,21661325,control,,
25,7/25/2023 12:00,8.96,34.8,21661325,control,,
26,7/25/2023 12:05,8.94,34.86,21661325,control,,
27,7/25/2023 12:10,9.61,34.96,21661325,control,,
28,7/25/2023 12:15,9.42,34.98,21661325,control,,
29,7/25/2023 12:20,9.36,35.04,21661325,control,,
30,7/25/2023 12:25,8.87,35,21661325,control,,
31,7/25/2023 12:30,8.75,34.94,21661325,control,,
32,7/25/2023 12:35,8.67,34.86,21661325,control,,
33,7/25/2023 12:40,8.71,34.82,21661325,control,,
34,7/25/2023 12:45,8.71,34.86,21661325,control,,
35,7/25/2023 12:50,8.67,34.88,21661325,control,,
36,7/25/2023 12:55,8.6,34.86,21661325,control,,
37,7/25/2023 13:00,8.56,34.88,21661325,control,,
38,7/25/2023 13:05,8.58,34.9,21661325,control,,
39,7/25/2023 13:10,8.48,34.88,21661325,control,,
40,7/25/2023 13:15,8.44,34.88,21661325,control,,
41,7/25/2023 13:20,8.46,34.9,21661325,control,,
42,7/25/2023 13:25,8.49,34.9,21661325,control,,
43,7/25/2023 13:30,8.45,34.96,21661325,control,,
44,7/25/2023 13:35,8.44,35.02,21661325,control,,
45,7/25/2023 13:40,8.41,35.06,21661325,control,,
46,7/25/2023 13:45,8.85,35.14,21661325,control,,
47,7/25/2023 13:50,8.56,35.26,21661325,control,,
48,7/25/2023 13:55,9.04,35.34,21661325,control,,
49,7/25/2023 14:00,9,35.42,21661325,control,,
50,7/25/2023 14:05,9.13,35.46,21661325,control,,
51,7/25/2023 14:10,9.14,35.5,21661325,control,,
52,7/25/2023 14:15,9.12,35.52,21661325,control,,
53,7/25/2023 14:20,9.13,35.56,21661325,control,,
54,7/25/2023 14:25,9.31,35.6,21661325,control,,
55,7/25/2023 14:30,9.25,35.64,21661325,control,,
56,7/25/2023 14:35,9.49,35.68,21661325,control,,
57,7/25/2023 14:40,9.8,35.82,21661325,control,,
58,7/25/2023 14:45,9.5,35.88,21661325,control,,
59,7/25/2023 14:50,9.71,35.88,21661325,control,,
60,7/25/2023 14:55,9.84,36,21661325,control,,
61,7/25/2023 15:00,10.01,36,21661325,control,,
62,7/25/2023 15:05,10.01,36.04,21661325,control,,
63,7/25/2023 15:10,9.87,36.06,21661325,control,,
64,7/25/2023 15:15,9.52,36,21661325,control,,
65,7/25/2023 15:20,9.94,36.06,21661325,control,,
66,7/25/2023 15:25,10.17,36.14,21661325,control,,
67,7/25/2023 15:30,10.23,36.18,21661325,control,,
68,7/25/2023 15:35,10.24,36.2,21661325,control,,
69,7/25/2023 15:40,10.12,36.24,21661325,control,,
70,7/25/2023 15:45,10.06,36.22,21661325,control,,
71,7/25/2023 15:50,10.2,36.26,21661325,control,,
72,7/25/2023 15:55,10.15,36.28,21661325,control,,
73,7/25/2023 16:00,9.99,36.28,21661325,control,,
74,7/25/2023 16:05,9.99,36.2,21661325,control,,
75,7/25/2023 16:10,9.51,36.12,21661325,control,,
76,7/25/2023 16:15,9.7,36.02,21661325,control,,
77,7/25/2023 16:20,9.48,35.98,21661325,control,,
78,7/25/2023 16:25,9.45,35.9,21661325,control,,
79,7/25/2023 16:30,9.58,35.9,21661325,control,,
80,7/25/2023 16:35,9.52,35.88,21661325,control,,
81,7/25/2023 16:40,9.58,35.88,21661325,control,,
82,7/25/2023 16:45,9.36,35.88,21661325,control,,
83,7/25/2023 16:50,9.32,35.84,21661325,control,,
84,7/25/2023 16:55,9.31,35.88,21661325,control,,
85,7/25/2023 17:00,9.09,35.8,21661325,control,,
86,7/25/2023 17:05,9.17,35.8,21661325,control,,
87,7/25/2023 17:10,9.08,35.74,21661325,control,,
88,7/25/2023 17:15,9.22,35.74,21661325,control,,
89,7/25/2023 17:20,9.29,35.72,21661325,control,,
90,7/25/2023 17:25,9.36,35.76,21661325,control,,
91,7/25/2023 17:30,9.23,35.66,21661325,control,,
92,7/25/2023 17:35,9.27,35.62,21661325,control,,
93,7/25/2023 17:40,9.28,35.66,21661325,control,,
94,7/25/2023 17:45,9.26,35.62,21661325,control,,
95,7/25/2023 17:50,8.96,35.56,21661325,control,,
96,7/25/2023 17:55,8.82,35.44,21661325,control,,
97,7/25/2023 18:00,8.85,35.4,21661325,control,,
98,7/25/2023 18:05,8.78,35.34,21661325,control,,
99,7/25/2023 18:10,8.88,35.3,21661325,control,,
100,7/25/2023 18:15,8.96,35.3,21661325,control,,
