Plot Title: 21661326,,,,,,,
#,"Date Time, GMT+03:00","DO conc, mg/L (LGR S/N: 21661326, SEN S/N: 21661326)","Temp, °C (LGR S/N: 21661326, SEN S/N: 21661326)",,,Stopped (LGR S/N: 21661326),End Of File (LGR S/N: 21661326)
1,7/25/2023 10:00,6.89,32.9,21661326,copper,,
2,7/25/2023 10:05,6.89,33.24,21661326,copper,,
3,7/25/2023 10:10,6.97,33.2,21661326,copper,,
4,7/25/2023 10:15,7.91,33.52,21661326,copper,,
5,7/25/2023 10:20,7.53,33.82,21661326,copper,,
6,7/25/2023 10:25,7.59,33.98,21661326,copper,,
7,7/25/2023 10:30,7.26,33.98,21661326,copper,,
8,7/25/2023 10:35,7.44,33.98,21661326,copper,,
9,7/25/2023 10:40,7.53,34.02,21661326,copper,,
10,7/25/2023 10:45,8.05,34.04,21661326,copper,,
11,7/25/2023 10:50,8.01,34.08,21661326,copper,,
12,7/25/2023 10:55,8.1,34.14,21661326,copper,,
13,7/25/2023 11:00,8.14,34.18,21661326,copper,,
14,7/25/2023 11:05,8.4,34.22,21661326,copper,,
15,7/25/2023 11:10,8.4,34.28,21661326,copper,,
16,7/25/2023 11:15,8.54,34.36,21661326,copper,,
17,7/25/2023 11:20,8.6,34.42,21661326,copper,,
18,7/25/2023 11:25,8.64,34.54,21661326,copper,,
19,7/25/2023 11:30,8.67,34.6,21661326,copper,,
20,7/25/2023 11:35,8.68,34.66,21661326,copper,,
21,7/25/2023 11:40,8.77,34.68,21661326,copper,,
22,7/25/2023 11:45,8.78,34.66,21661326,copper,,
23,7/25/2023 11:50,8.76,34.76,21661326,copper,,
24,7/25/2023 11:55,8.78,34.82,21661326,copper,,
25,7/25/2023 12:00,8.77,34.88,21661326,copper,,
26,7/25/2023 12:05,8.93,34.92,21661326,copper,,
27,7/25/2023 12:10,8.92,34.98,21661326,copper,,
28,7/25/2023 12:15,8.96,35,21661326,copper,,
29,7/25/2023 12:20,9.1,35.06,21661326,copper,,
30,7/25/2023 12:25,8.84,34.98,21661326,copper,,
