Plot Title: 21661329,,,,,,,,
#,"Date Time, GMT+03:00","DO conc, mg/L (LGR S/N: 21661329, SEN S/N: 21661329)","Temp, °C (LGR S/N: 21661329, SEN S/N: 21661329)",Sensor Data Error (LGR S/N: 21661329),Coupler Attached (LGR S/N: 21661329),Host Connected (LGR S/N: 21661329),Stopped (LGR S/N: 21661329),End Of File (LGR S/N: 21661329)
1,7/25/2023 10:00,8.4,25.52,21661329,copper,,,
2,7/25/2023 10:05,8.96,29.14,21661329,copper,,,
3,7/25/2023 10:10,8.09,32.74,21661329,copper,,,
4,7/25/2023 10:15,7.9,33.56,21661329,copper,,,
5,7/25/2023 10:20,7.51,33.82,21661329,copper,,,
6,7/25/2023 10:25,7.47,33.94,21661329,copper,,,
7,7/25/2023 10:30,7.42,33.88,21661329,copper,,,
8,7/25/2023 10:35,7.47,33.9,21661329,copper,,,
9,7/25/2023 10:40,7.6,33.92,21661329,copper,,,
10,7/25/2023 10:45,8.2,33.98,21661329,copper,,,
11,7/25/2023 10:50,8.13,34.02,21661329,copper,,,
12,7/25/2023 10:55,8.31,34.12,21661329,copper,,,
13,7/25/2023 11:00,8.37,34.16,21661329,copper,,,
14,7/25/2023 11:05,8.3,34.2,21661329,copper,,,
15,7/25/2023 11:10,8.42,34.26,21661329,copper,,,
16,7/25/2023 11:15,8.56,34.36,21661329,copper,,,
17,7/25/2023 11:20,8.64,34.4,21661329,copper,,,
18,7/25/2023 11:25,8.67,34.52,21661329,copper,,,
19,7/25/2023 11:30,8.59,34.62,21661329,copper,,,
20,7/25/2023 11:35,8.69,34.64,21661329,copper,,,
21,7/25/2023 11:40,8.79,34.7,21661329,copper,,,
22,7/25/2023 11:45,8.76,34.7,21661329,copper,,,
23,7/25/2023 11:50,8.69,34.8,21661329,copper,,,
24,7/25/2023 11:55,8.78,34.84,21661329,copper,,,
25,7/25/2023 12:00,8.76,34.9,21661329,copper,,,
26,7/25/2023 12:05,8.9,34.98,21661329,copper,,,
27,7/25/2023 12:10,9,35.02,21661329,copper,,,
28,7/25/2023 12:15,9,35.04,21661329,copper,,,
29,7/25/2023 12:20,9.12,35.1,21661329,copper,,,
30,7/25/2023 12:25,8.89,35.02,21661329,copper,,,
31,7/25/2023 12:30,8.81,34.92,21661329,copper,,,
32,7/25/2023 12:35,8.73,34.76,21661329,copper,,,
33,7/25/2023 12:40,8.84,34.76,21661329,copper,,,
34,7/25/2023 12:45,8.82,34.76,21661329,copper,,,
35,7/25/2023 12:50,8.79,34.72,21661329,copper,,,
36,7/25/2023 12:55,8.7,34.7,21661329,copper,,,
37,7/25/2023 13:00,8.7,34.66,21661329,copper,,,
38,7/25/2023 13:05,8.89,34.74,21661329,copper,,,
39,7/25/2023 13:10,8.7,34.76,21661329,copper,,,
40,7/25/2023 13:15,8.62,34.7,21661329,copper,,,
41,7/25/2023 13:20,8.7,34.68,21661329,copper,,,
42,7/25/2023 13:25,8.84,34.74,21661329,copper,,,
43,7/25/2023 13:30,8.87,34.82,21661329,copper,,,
44,7/25/2023 13:35,8.79,34.86,21661329,copper,,,
45,7/25/2023 13:40,8.89,34.92,21661329,copper,,,
46,7/25/2023 13:45,8.96,35,21661329,copper,,,
47,7/25/2023 13:50,8.97,35.1,21661329,copper,,,
48,7/25/2023 13:55,9.19,35.2,21661329,copper,,,
49,7/25/2023 14:00,9.02,35.28,21661329,copper,,,
50,7/25/2023 14:05,9.46,35.34,21661329,copper,,,
51,7/25/2023 14:10,9.47,35.42,21661329,copper,,,
52,7/25/2023 14:15,9.46,35.42,21661329,copper,,,
53,7/25/2023 14:20,9.47,35.42,21661329,copper,,,
54,7/25/2023 14:25,9.81,35.54,21661329,copper,,,
55,7/25/2023 14:30,9.82,35.6,21661329,copper,,,
56,7/25/2023 14:35,9.74,35.64,21661329,copper,,,
