#,date_time,temp,mV,pH,serial,brand,model,treatment,day
1,07/25/2023 10:00:00,44.35,197.32,3.49,21657439,HOBO,HOBO pH,copper,4
2,07/25/2023 10:10:00,50.40,200.47,3.51,21657439,HOBO,HOBO pH,copper,4
3,07/25/2023 10:20:00,55.60,202.55,3.53,21657439,HOBO,HOBO pH,copper,4
4,07/25/2023 10:30:00,60.18,203.29,3.57,21657439,HOBO,HOBO pH,copper,4
5,07/25/2023 10:40:00,64.12,203.13,3.61,21657439,HOBO,HOBO pH,copper,4
6,07/25/2023 10:50:00,-84.01,-0.31,6.48,21657439,HOBO,HOBO pH,copper,4
7,07/25/2023 11:00:00,37.18,-76.21,7.94,21657439,HOBO,HOBO pH,copper,4
8,07/25/2023 11:10:00,35.26,-79.03,7.99,21657439,HOBO,HOBO pH,copper,4
9,07/25/2023 11:20:00,34.94,-79.91,8.01,21657439,HOBO,HOBO pH,copper,4
10,07/25/2023 11:30:00,34.78,-80.42,8.02,21657439,HOBO,HOBO pH,copper,4
11,07/25/2023 11:40:00,34.76,-80.05,8.01,21657439,HOBO,HOBO pH,copper,4
12,07/25/2023 11:50:00,34.86,-80.55,8.02,21657439,HOBO,HOBO pH,copper,4
13,07/25/2023 12:00:00,35.02,-80.60,8.02,21657439,HOBO,HOBO pH,copper,4
14,07/25/2023 12:10:00,35.10,-80.56,8.02,21657439,HOBO,HOBO pH,copper,4
15,07/25/2023 12:20:00,35.16,-80.91,8.03,21657439,HOBO,HOBO pH,copper,4
16,07/25/2023 12:30:00,34.76,-79.64,8.01,21657439,HOBO,HOBO pH,copper,4
17,07/25/2023 12:40:00,34.65,-79.52,8.00,21657439,HOBO,HOBO pH,copper,4
18,07/25/2023 12:50:00,34.65,-79.66,8.01,21657439,HOBO,HOBO pH,copper,4
19,07/25/2023 13:00:00,34.60,-79.58,8.01,21657439,HOBO,HOBO pH,copper,4
20,07/25/2023 13:10:00,34.65,-79.80,8.01,21657439,HOBO,HOBO pH,copper,4
21,07/25/2023 13:20:00,34.62,-79.55,8.01,21657439,HOBO,HOBO pH,copper,4
22,07/25/2023 13:30:00,34.60,-79.11,8.00,21657439,HOBO,HOBO pH,copper,4
23,07/25/2023 13:40:00,34.70,-79.61,8.01,21657439,HOBO,HOBO pH,copper,4
24,07/25/2023 13:50:00,34.92,-80.19,8.01,21657439,HOBO,HOBO pH,copper,4
25,07/25/2023 14:00:00,35.10,-80.31,8.02,21657439,HOBO,HOBO pH,copper,4
26,07/25/2023 14:10:00,35.18,-80.24,8.01,21657439,HOBO,HOBO pH,copper,4
27,07/25/2023 14:20:00,35.29,-81.66,8.04,21657439,HOBO,HOBO pH,copper,4
28,07/25/2023 14:30:00,35.50,-82.11,8.04,21657439,HOBO,HOBO pH,copper,4
29,07/25/2023 14:40:00,35.64,-82.36,8.05,21657439,HOBO,HOBO pH,copper,4
30,07/25/2023 14:50:00,35.61,-81.78,8.04,21657439,HOBO,HOBO pH,copper,4
31,07/25/2023 15:00:00,35.69,-81.64,8.04,21657439,HOBO,HOBO pH,copper,4
32,07/25/2023 15:10:00,35.72,-82.05,8.04,21657439,HOBO,HOBO pH,copper,4
33,07/25/2023 15:20:00,35.74,-82.61,8.05,21657439,HOBO,HOBO pH,copper,4
34,07/25/2023 15:30:00,35.96,-83.52,8.07,21657439,HOBO,HOBO pH,copper,4
35,07/25/2023 15:40:00,36.04,-83.55,8.07,21657439,HOBO,HOBO pH,copper,4
36,07/25/2023 15:50:00,35.88,-82.25,8.05,21657439,HOBO,HOBO pH,copper,4
37,07/25/2023 16:00:00,35.93,-83.00,8.06,21657439,HOBO,HOBO pH,copper,4
38,07/25/2023 16:10:00,35.82,-82.41,8.05,21657439,HOBO,HOBO pH,copper,4
39,07/25/2023 16:20:00,35.74,-81.81,8.04,21657439,HOBO,HOBO pH,copper,4
40,07/25/2023 16:30:00,35.69,-82.16,8.05,21657439,HOBO,HOBO pH,copper,4
41,07/25/2023 16:40:00,35.66,-81.96,8.04,21657439,HOBO,HOBO pH,copper,4
42,07/25/2023 16:50:00,35.53,-81.38,8.03,21657439,HOBO,HOBO pH,copper,4
43,07/25/2023 17:00:00,35.48,-81.30,8.03,21657439,HOBO,HOBO pH,copper,4
44,07/25/2023 17:10:00,35.42,-81.21,8.03,21657439,HOBO,HOBO pH,copper,4
45,07/25/2023 17:20:00,35.34,-80.91,8.03,21657439,HOBO,HOBO pH,copper,4
46,07/25/2023 17:30:00,35.18,-80.11,8.01,21657439,HOBO,HOBO pH,copper,4
47,07/25/2023 17:40:00,35.26,-80.88,8.03,21657439,HOBO,HOBO pH,copper,4
48,07/25/2023 17:50:00,35.00,-79.27,8.00,21657439,HOBO,HOBO pH,copper,4
49,07/25/2023 18:00:00,34.92,-79.11,8.00,21657439,HOBO,HOBO pH,copper,4
50,07/25/2023 18:10:00,35.16,-80.86,8.03,21657439,HOBO,HOBO pH,copper,4
51,07/25/2023 18:20:00,35.13,-80.27,8.02,21657439,HOBO,HOBO pH,copper,4
52,07/25/2023 18:30:00,35.02,-79.67,8.01,21657439,HOBO,HOBO pH,copper,4
53,07/25/2023 18:40:00,35.02,-80.10,8.01,21657439,HOBO,HOBO pH,copper,4
54,07/25/2023 18:50:00,34.84,-78.39,7.99,21657439,HOBO,HOBO pH,copper,4
55,07/25/2023 19:00:00,34.70,-77.72,7.97,21657439,HOBO,HOBO pH,copper,4
56,07/25/2023 19:10:00,34.76,-79.89,8.01,21657439,HOBO,HOBO pH,copper,4
57,07/25/2023 19:20:00,34.68,-80.92,8.03,21657439,HOBO,HOBO pH,copper,4
58,07/25/2023 19:30:00,34.55,-79.78,8.01,21657439,HOBO,HOBO pH,copper,4
