#,date_time,temp,mV_RAW,pH_RAW,serial,brand,model,treatment,day,pH1,mV,pH2
1,7/25/2023 10:00,49.11,198.94,3.62,21657438,HOBO,HOBO pH,control,4,6.029114,89.2357,5.438297165
2,7/25/2023 10:10,53.85,201.08,3.63,21657438,HOBO,HOBO pH,control,4,6.033111,90.1452,5.422380119
3,7/25/2023 10:20,56.42,202.6,3.63,21657438,HOBO,HOBO pH,control,4,6.033111,90.7912,5.411074554
4,7/25/2023 10:30,59.58,204.1,3.64,21657438,HOBO,HOBO pH,control,4,6.037108,91.4287,5.399917746
5,7/25/2023 10:40,62.49,204.69,3.66,21657438,HOBO,HOBO pH,control,4,6.045102,91.67945,5.395529401
6,7/25/2023 10:50,64.5,204.69,3.68,21657438,HOBO,HOBO pH,control,4,6.053096,91.67945,5.395529401
7,7/25/2023 11:00,40.49,-68.86,7.9,21657438,HOBO,HOBO pH,control,4,7.73983,-24.5793,7.430159258
8,7/25/2023 11:10,35.64,-72.53,7.98,21657438,HOBO,HOBO pH,control,4,7.771806,-26.13905,7.457456248
9,7/25/2023 11:20,35,-73.88,8,21657438,HOBO,HOBO pH,control,4,7.7798,-26.7128,7.467497375
10,7/25/2023 11:30,34.76,-74.74,8.02,21657438,HOBO,HOBO pH,control,4,7.787794,-27.0783,7.473893945
11,7/25/2023 11:40,34.73,-74.71,8.02,21657438,HOBO,HOBO pH,control,4,7.787794,-27.06555,7.473670809
12,7/25/2023 11:50,34.7,-75.22,8.03,21657438,HOBO,HOBO pH,control,4,7.791791,-27.2823,7.477464123
13,7/25/2023 12:00,34.84,-75.28,8.03,21657438,HOBO,HOBO pH,control,4,7.791791,-27.3078,7.477910396
14,7/25/2023 12:10,34.94,-75.39,8.03,21657438,HOBO,HOBO pH,control,4,7.791791,-27.35455,7.478728561
15,7/25/2023 12:20,35.02,-75.74,8.03,21657438,HOBO,HOBO pH,control,4,7.791791,-27.5033,7.481331817
16,7/25/2023 12:30,34.78,-74.5,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-26.9763,7.472108855
17,7/25/2023 12:40,34.65,-74.3,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-26.8913,7.470621281
18,7/25/2023 12:50,34.68,-74.56,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-27.0018,7.472555128
19,7/25/2023 13:00,34.62,-74.49,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-26.97205,7.472034477
20,7/25/2023 13:10,34.65,-74.56,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-27.0018,7.472555128
21,7/25/2023 13:20,34.65,-74.21,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-26.85305,7.469951873
22,7/25/2023 13:30,34.6,-73.83,8,21657438,HOBO,HOBO pH,control,4,7.7798,-26.69155,7.467125481
23,7/25/2023 13:40,34.73,-74.13,8.01,21657438,HOBO,HOBO pH,control,4,7.783797,-26.81905,7.469356843
24,7/25/2023 13:50,35,-75.42,8.03,21657438,HOBO,HOBO pH,control,4,7.791791,-27.3673,7.478951698
25,7/25/2023 14:00,35.16,-74.81,8.02,21657438,HOBO,HOBO pH,control,4,7.787794,-27.10805,7.474414596
26,7/25/2023 14:10,35.23,-75.02,8.02,21657438,HOBO,HOBO pH,control,4,7.787794,-27.1973,7.475976549
27,7/25/2023 14:20,35.31,-76.05,8.04,21657438,HOBO,HOBO pH,control,4,7.795788,-27.63505,7.483637557
28,7/25/2023 14:30,35.5,-76.49,8.04,21657438,HOBO,HOBO pH,control,4,7.795788,-27.82205,7.486910221
29,7/25/2023 14:40,35.61,-76.66,8.05,21657438,HOBO,HOBO pH,control,4,7.799785,-27.8943,7.488174659
30,7/25/2023 14:50,35.64,-76.11,8.04,21657438,HOBO,HOBO pH,control,4,7.795788,-27.66055,7.484083829
31,7/25/2023 15:00,35.74,-76.92,8.05,21657438,HOBO,HOBO pH,control,4,7.799785,-28.0048,7.490108505
