7450-243487
OS REV: 1.05 Sensor Cal: 1677879675
"Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()"
"1690187460,+3.52,+22.016, +8.492,+0.907"
"1690188060,+3.52,+23.079, +8.324,+0.906"
"1690188660,+3.52,+24.520, +8.133,+0.906"
"1690189260,+3.51,+25.310, +8.023,+0.907"
"1690189860,+3.52,+25.959, +7.924,+0.906"
"1690190460,+3.52,+26.584, +7.846,+0.907"
"1690191060,+3.52,+27.161, +7.772,+0.907"
"1690191660,+3.52,+27.738, +7.691,+0.907"
"1690192260,+3.52,+29.233, +7.482,+0.907"
"1690192860,+3.52,+31.011, +7.289,+0.906"
"1690193460,+3.52,+29.792, +7.435,+0.907"
"1690194060,+3.52,+28.232, +7.615,+0.908"
"1690194660,+3.52,+26.864, +7.795,+0.908"
"1690195260,+3.53,+25.833, +7.935,+0.908"
"1690195860,+3.53,+24.856, +8.072,+0.909"
"1690196460,+3.52,+24.210, +8.158,+0.908"
"1690197060,+3.53,+23.506, +8.266,+0.909"
"1690197660,+3.53,+23.053, +8.329,+0.908"
"1690198260,+3.53,+22.535, +8.408,+0.909"
"1690198860,+3.53,+22.209, +8.456,+0.908"
"1690199460,+3.53,+21.824, +8.511,+0.908"
"1690200060,+3.53,+21.581, +8.548,+0.908"
"1690200660,+3.53,+21.297, +8.593,+0.908"
"1690201260,+3.53,+21.063, +8.625,+0.908"
"1690201860,+3.53,+20.862, +8.659,+0.908"
"1690202460,+3.53,+20.661, +8.700,+0.909"
"1690203060,+3.53,+20.536, +8.709,+0.908"
"1690203660,+3.53,+20.310, +8.745,+0.908"
"1690204260,+3.54,+20.218, +8.752,+0.907"
"1690204860,+3.53,+20.075, +8.789,+0.908"
"1690205460,+3.53,+19.866, +8.819,+0.908"
"1690206060,+3.53,+19.724, +8.829,+0.907"
"1690206660,+3.53,+19.598, +8.860,+0.908"
"1690207260,+3.53,+19.556, +8.865,+0.908"
"1690207860,+3.53,+19.430, +8.883,+0.908"
"1690208460,+3.53,+19.388, +8.903,+0.908"
"1690209060,+3.54,+19.304, +8.909,+0.908"
"1690209660,+3.54,+19.262, +8.922,+0.908"
"1690210260,+3.54,+19.204, +8.931,+0.908"
"1690210860,+3.54,+19.170, +8.928,+0.908"
"1690211460,+3.54,+19.262, +8.924,+0.908"
"1690212060,+3.53,+19.346, +8.891,+0.907"
"1690212660,+3.53,+19.397, +8.887,+0.907"
"1690213260,+3.53,+19.371, +8.887,+0.907"
"1690213860,+3.53,+19.287, +8.904,+0.907"
"1690214460,+3.54,+19.212, +8.913,+0.907"
"1690215060,+3.54,+19.128, +8.932,+0.907"
"1690215660,+3.54,+19.019, +8.951,+0.907"
"1690216260,+3.53,+18.977, +8.962,+0.907"
"1690216860,+3.53,+18.943, +8.966,+0.907"
"1690217460,+3.53,+18.851, +8.983,+0.907"
"1690218060,+3.53,+18.800, +8.997,+0.908"
"1690218660,+3.53,+18.691, +9.015,+0.908"
"1690219260,+3.53,+18.607, +9.027,+0.907"
"1690219860,+3.53,+18.590, +9.032,+0.907"
"1690220460,+3.53,+18.556, +9.038,+0.907"
"1690221060,+3.53,+18.590, +9.024,+0.907"
"1690221660,+3.53,+18.540, +9.030,+0.907"
"1690222260,+3.53,+18.556, +9.043,+0.908"
"1690222860,+3.53,+18.523, +9.040,+0.907"
"1690223460,+3.53,+18.489, +9.060,+0.908"
"1690224060,+3.53,+18.447, +9.060,+0.908"
"1690224660,+3.53,+18.422, +9.065,+0.908"
"1690225260,+3.53,+18.439, +9.054,+0.907"
"1690225860,+3.53,+18.380, +9.066,+0.907"
"1690226460,+3.53,+18.405, +9.061,+0.908"
"1690227060,+3.53,+18.363, +9.062,+0.907"
"1690227660,+3.53,+18.397, +9.060,+0.907"
"1690228260,+3.53,+18.388, +9.062,+0.907"
"1690228860,+3.53,+18.397, +9.063,+0.908"
"1690229460,+3.53,+18.380, +9.056,+0.907"
"1690230060,+3.53,+18.388, +9.066,+0.908"
"1690230660,+3.53,+18.397, +9.059,+0.907"
"1690231260,+3.53,+18.380, +9.061,+0.907"
"1690231860,+3.53,+18.405, +9.059,+0.907"
"1690232460,+3.53,+18.380, +9.068,+0.908"
"1690233060,+3.53,+18.405, +9.055,+0.907"
"1690233660,+3.53,+18.397, +9.047,+0.907"
"1690234260,+3.53,+18.405, +9.046,+0.907"
"1690234860,+3.53,+18.413, +9.046,+0.907"
"1690235460,+3.53,+18.405, +9.044,+0.907"
"1690236060,+3.53,+18.439, +9.039,+0.907"
"1690236660,+3.53,+18.413, +9.046,+0.907"
"1690237260,+3.53,+18.439, +9.041,+0.907"
"1690237860,+3.53,+18.371, +9.043,+0.907"
"1690238460,+3.53,+18.388, +9.056,+0.907"
"1690239060,+3.53,+18.321, +9.051,+0.907"
"1690239660,+3.53,+18.363, +9.052,+0.907"
"1690240260,+3.53,+18.329, +9.053,+0.907"
"1690240860,+3.53,+18.346, +9.058,+0.907"
"1690241460,+3.53,+18.304, +9.059,+0.907"
"1690242060,+3.53,+18.346, +9.065,+0.908"
"1690242660,+3.53,+18.329, +9.067,+0.908"
"1690243260,+3.53,+18.338, +9.063,+0.907"
"1690243860,+3.53,+18.363, +9.055,+0.907"
"1690244460,+3.53,+18.354, +9.062,+0.907"
"1690245060,+3.53,+18.388, +9.051,+0.907"
"1690245660,+3.53,+18.363, +9.054,+0.907"
"1690246260,+3.53,+18.388, +9.052,+0.907"
"1690246860,+3.53,+18.354, +9.064,+0.907"
"1690247460,+3.53,+18.380, +9.047,+0.907"
"1690248060,+3.53,+18.312, +9.068,+0.908"
"1690248660,+3.53,+18.329, +9.064,+0.907"
"1690249260,+3.53,+18.321, +9.059,+0.907"
"1690249860,+3.53,+18.338, +9.061,+0.907"
"1690250460,+3.53,+18.346, +9.056,+0.907"
"1690251060,+3.53,+18.354, +9.059,+0.907"
"1690251660,+3.53,+18.321, +9.066,+0.907"
"1690252260,+3.53,+18.312, +9.083,+0.908"
"1690252860,+3.53,+18.296, +9.073,+0.907"
"1690253460,+3.53,+18.321, +9.070,+0.907"
"1690254060,+3.53,+18.329, +9.061,+0.907"
"1690254660,+3.53,+18.329, +9.071,+0.907"
"1690255260,+3.53,+18.312, +9.059,+0.907"
"1690255860,+3.53,+18.321, +9.064,+0.907"
"1690256460,+3.53,+18.312, +9.076,+0.907"
"1690257060,+3.53,+18.321, +9.067,+0.907"
"1690257660,+3.53,+18.354, +9.057,+0.907"
"1690258260,+3.53,+18.304, +9.077,+0.907"
"1690258860,+3.53,+18.354, +9.069,+0.907"
"1690259460,+3.53,+18.304, +9.067,+0.907"
"1690260060,+3.53,+18.321, +9.063,+0.907"
"1690260660,+3.53,+18.287, +9.087,+0.908"
"1690261260,+3.53,+18.354, +9.075,+0.908"
"1690261860,+3.53,+18.346, +9.052,+0.907"
"1690262460,+3.53,+18.363, +9.066,+0.907"
"1690263060,+3.53,+18.363, +9.058,+0.907"
"1690263660,+3.53,+18.363, +9.066,+0.907"
"1690264260,+3.53,+19.145, +8.930,+0.907"
"1690264860,+3.53,+21.188, +8.593,+0.907"
"1690265460,+3.52,+22.886, +8.341,+0.906"
