7450-243487
OS REV: 1.05 Sensor Cal: 1677879675
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1684406460,+3.54,+22.284, +8.476,+0.913
1684407060,+3.54,+22.585, +8.438,+0.917
1684407660,+3.54,+25.782, +7.912,+0.915
1684408260,+3.54,+23.782, +8.174,+0.914
1684408860,+3.54,+23.095, +8.279,+0.914
1684409460,+3.53,+30.976, +7.806,+0.918
1684410060,+3.53,+32.301, +7.519,+0.915
1684410660,+3.53,+32.564, +7.553,+0.916
1684411260,+3.53,+32.643, +7.506,+0.916
1684411860,+3.53,+32.669, +7.567,+0.916
1684412460,+3.53,+32.678, +7.501,+0.917
1684413060,+3.53,+32.730, +7.531,+0.917
1684413660,+3.53,+32.730, +7.590,+0.917
1684414260,+3.53,+32.730, +7.576,+0.918
1684414860,+3.53,+32.730, +7.566,+0.917
1684415460,+3.54,+32.134, +7.075,+0.916
1684416060,+3.54,+27.415, +7.314,+0.917
1684416660,+3.54,+25.277, +7.727,+0.920
1684417260,+3.55,+24.856, +7.849,+0.922
1684417860,+3.55,+23.707, +8.132,+0.919
1684418460,+3.55,+22.894, +8.228,+0.917
