7450-389989
OS REV: 1.05 Sensor Cal: 1652986391
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1676619480,+3.50,+22.612, +5.466,+0.869
1676619780,+3.50,+22.696, +5.769,+0.877
1676620080,+3.50,+22.712, +5.741,+0.880
1676620380,+3.50,+22.746, +5.730,+0.882
1676620680,+3.50,+22.771, +5.440,+0.886
1676620980,+3.50,+22.771, +5.309,+0.886
1676621280,+3.50,+22.746, +5.535,+0.881
1676621580,+3.50,+22.771, +5.585,+0.884
1676621880,+3.50,+22.779, +5.337,+0.888
1676622180,+3.50,+22.796, +5.239,+0.889
1676622480,+3.50,+22.796, +5.285,+0.890
1676622780,+3.50,+22.754, +5.259,+0.890
1676623080,+3.50,+22.738, +5.834,+0.884
1676623380,+3.50,+22.754, +6.177,+0.888
1676623680,+3.50,+22.771, +6.016,+0.893
1676623980,+3.50,+22.763, +5.735,+0.895
1676624280,+3.50,+22.738, +5.753,+0.894
1676624580,+3.50,+22.738, +6.077,+0.891
1676624880,+3.50,+22.738, +5.730,+0.898
1676625180,+3.50,+22.738, +5.575,+0.898
1676625480,+3.50,+23.910, +8.942,+0.937
1676625780,+3.50,+24.473, +8.631,+0.934
1676626080,+3.51,+23.282, +8.969,+0.935
1676626380,+3.51,+23.290, +8.947,+0.936
1676626680,+3.50,+25.676, +8.537,+0.936
1676626980,+3.50,+27.174, +8.282,+0.935
1676627280,+3.50,+27.055, +8.289,+0.935
1676627580,+3.50,+26.767, +8.334,+0.935
1676627880,+3.50,+26.623, +8.343,+0.935
1676628180,+3.50,+26.352, +8.374,+0.935
1676628480,+3.50,+25.921, +8.437,+0.935
1676628780,+3.50,+25.331, +8.584,+0.935
1676629080,+3.50,+25.803, +8.568,+0.936
1676629380,+3.50,+26.538, +8.440,+0.935
1676629680,+3.50,+27.030, +8.371,+0.935
1676629980,+3.50,+27.310, +8.320,+0.935
1676630280,+3.50,+27.463, +8.312,+0.936
1676630580,+3.50,+27.608, +8.271,+0.935
1676630880,+3.50,+27.659, +8.263,+0.935
1676631180,+3.50,+27.659, +8.261,+0.935
1676631480,+3.50,+27.693, +8.255,+0.935
1676631780,+3.50,+27.727, +8.244,+0.935
1676632080,+3.50,+27.701, +8.249,+0.935
1676632380,+3.50,+27.701, +8.237,+0.934
1676632680,+3.50,+27.676, +8.255,+0.936
1676632980,+3.50,+27.676, +8.259,+0.936
1676633280,+3.50,+27.667, +8.246,+0.935
1676633580,+3.50,+27.667, +8.239,+0.935
1676633880,+3.50,+27.659, +8.239,+0.935
1676634180,+3.50,+27.625, +8.249,+0.936
1676634480,+3.50,+27.625, +8.242,+0.935
1676634780,+3.50,+27.591, +8.243,+0.935
1676635080,+3.50,+27.557, +8.248,+0.936
1676635380,+3.50,+27.540, +8.254,+0.936
1676635680,+3.50,+27.514, +8.241,+0.935
1676635980,+3.50,+27.489, +8.253,+0.936
1676636280,+3.50,+27.429, +8.226,+0.936
1676636580,+3.50,+27.429, +8.213,+0.935
1676636880,+3.51,+26.597, +8.244,+0.934
