7450-389989				
OS REV: 1.05 Sensor Cal: 1652986391				
Time (sec)	  BV (Volts)	  T (deg C)	  DO (mg/l)	  Q ()
1690622460	3.54	21.567	7.798	0.95
1690623060	3.54	21.516	7.706	0.949
1690623660	3.54	21.441	7.673	0.949
1690624260	3.54	21.357	7.788	0.949
1690624860	3.54	21.257	7.694	0.949
1690625460	3.54	21.199	7.669	0.949
1690626060	3.54	21.165	7.619	0.949
1690626660	3.54	21.132	7.581	0.948
1690627260	3.54	21.081	7.631	0.949
1690627860	3.53	21.015	7.645	0.948
1690628460	3.53	20.948	7.639	0.949
1690629060	3.53	20.922	7.623	0.949
1690629660	3.53	20.881	7.588	0.949
1690630260	3.53	20.864	7.61	0.948
1690630860	3.53	20.822	7.538	0.948
1690631460	3.53	20.78	7.598	0.948
1690632060	3.53	20.722	7.68	0.949
1690632660	3.53	20.697	7.685	0.949
1690633260	3.53	20.655	7.649	0.949
1690633860	3.53	20.638	7.666	0.949
1690634460	3.53	20.613	7.625	0.949
1690635060	3.53	20.605	7.625	0.948
1690635660	3.53	20.596	7.601	0.948
1690636260	3.53	20.571	7.66	0.949
1690636860	3.53	20.571	7.707	0.948
1690637460	3.53	20.521	7.771	0.948
1690638060	3.53	20.496	7.792	0.949
1690638660	3.53	20.479	7.771	0.949
1690639260	3.53	20.446	7.759	0.948
1690639860	3.53	20.454	7.737	0.948
1690640460	3.53	20.437	7.785	0.949
1690641060	3.53	20.42	7.816	0.949
1690641660	3.53	20.42	7.815	0.949
1690642260	3.53	20.42	7.847	0.949
1690642860	3.53	20.387	7.863	0.949
1690643460	3.53	20.345	7.849	0.949
1690644060	3.53	20.337	7.857	0.949
1690644660	3.53	20.32	7.818	0.949
1690645260	3.53	20.337	7.816	0.949
1690645860	3.53	20.328	7.844	0.949
1690646460	3.53	20.312	7.883	0.949
1690647060	3.53	20.32	7.825	0.949
1690647660	3.53	20.278	7.902	0.949
1690648260	3.53	20.261	7.906	0.949
1690648860	3.53	20.228	7.895	0.948
1690649460	3.53	20.211	7.846	0.949
1690650060	3.53	20.228	7.843	0.949
1690650660	3.53	20.219	7.881	0.949
1690651260	3.53	20.219	7.836	0.949
1690651860	3.53	20.228	7.824	0.949
1690652460	3.53	20.219	7.937	0.949
1690653060	3.53	20.194	7.975	0.95
1690653660	3.53	20.169	7.999	0.949
1690654260	3.53	20.144	7.963	0.949
1690654860	3.53	20.144	7.873	0.949
1690655460	3.53	20.144	7.964	0.949
1690656060	3.53	20.153	7.978	0.949
1690656660	3.53	20.169	7.878	0.949
1690657260	3.53	20.186	8.007	0.949
1690657860	3.53	20.169	7.987	0.949
1690658460	3.53	20.119	8.165	0.95
1690659060	3.53	20.111	8.153	0.95
1690659660	3.53	20.102	8.14	0.949
1690660260	3.53	20.102	8.082	0.949
1690660860	3.53	20.102	8.093	0.949
1690661460	3.53	20.094	8.144	0.95
1690662060	3.53	20.136	8.116	0.95
1690662660	3.53	20.119	8.175	0.949
1690663260	3.53	20.102	8.243	0.95
1690663860	3.53	20.069	8.235	0.95
1690664460	3.53	20.052	8.187	0.95
1690665060	3.53	20.069	8.164	0.95
1690665660	3.53	20.06	8.214	0.95
1690666260	3.53	20.077	8.218	0.949
1690666860	3.53	20.094	8.222	0.95
1690667460	3.53	20.094	8.256	0.95
1690668060	3.53	20.077	8.264	0.95
1690668660	3.53	20.086	8.263	0.95
1690669260	3.53	20.077	8.224	0.95
1690669860	3.53	20.086	8.209	0.949
1690670460	3.53	20.086	8.258	0.95
1690671060	3.53	20.094	8.271	0.949
1690671660	3.53	20.094	8.329	0.95
1690672260	3.53	20.077	8.36	0.95
1690672860	3.53	20.06	8.287	0.95
1690673460	3.53	20.086	8.268	0.95
1690674060	3.53	20.086	8.31	0.95
1690674660	3.53	20.111	8.318	0.949
1690675260	3.53	20.127	8.351	0.95
1690675860	3.53	20.136	8.329	0.95
1690676460	3.53	20.111	8.431	0.951
1690677060	3.53	20.102	8.433	0.95
1690677660	3.53	20.086	8.37	0.951
1690678260	3.53	20.102	8.351	0.95
1690678860	3.52	20.119	8.372	0.95
1690679460	3.52	20.119	8.371	0.95
1690680060	3.52	20.119	8.408	0.951
1690680660	3.52	20.161	8.422	0.95
1690681260	3.52	20.127	8.402	0.95
1690681860	3.52	20.111	8.447	0.951
1690682460	3.52	20.094	8.448	0.95
1690683060	3.52	20.111	8.42	0.95
1690683660	3.52	20.102	8.447	0.95
1690684260	3.52	20.111	8.457	0.95
1690684860	3.52	20.119	8.462	0.95
1690685460	3.52	20.153	8.481	0.951
1690686060	3.52	20.153	8.522	0.95
1690686660	3.52	20.102	8.535	0.95
1690687260	3.52	20.094	8.502	0.95
1690687860	3.52	20.077	8.497	0.95
1690688460	3.52	20.077	8.494	0.951
1690689060	3.52	20.111	8.477	0.95
1690689660	3.52	20.127	8.494	0.95
1690690260	3.52	20.136	8.521	0.95
1690690860	3.52	20.119	8.534	0.95
1690691460	3.52	20.094	8.558	0.95
1690692060	3.52	20.111	8.522	0.951
1690692660	3.52	20.077	8.494	0.95
1690693260	3.52	20.119	8.509	0.951
1690693860	3.52	20.102	8.53	0.95
1690694460	3.52	20.094	8.551	0.95
1690695060	3.52	20.127	8.557	0.951
1690695660	3.52	20.127	8.558	0.951
1690696260	3.52	20.102	8.61	0.951
1690696860	3.52	20.094	8.603	0.951
1690697460	3.52	20.094	8.763	0.951
1690698060	3.52	20.286	9.194	0.952
1690698660	3.52	20.153	9.253	0.953
