MiniDOT Logger Concatenated Data File
Sensor:             7450-389989
Concatenation Date: 2023Feb17 23:26:34 AST

DO concentration compensated for salinity: 41.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405680,           2023-02-03 06:28:00,           2023-02-03 09:28:00,      3.490000,     22.696000,          7.042664,                   103.495335,      0.938000
                1675405980,           2023-02-03 06:33:00,           2023-02-03 09:33:00,      3.490000,     22.930000,          7.019472,                   103.572835,      0.938000
                1675406280,           2023-02-03 06:38:00,           2023-02-03 09:38:00,      3.490000,     22.897000,          7.022229,                   103.554479,      0.938000
                1675406580,           2023-02-03 06:43:00,           2023-02-03 09:43:00,      3.490000,     23.031000,          7.044369,                   104.121465,      0.939000
                1675406880,           2023-02-03 06:48:00,           2023-02-03 09:48:00,      3.490000,     23.776000,          6.954561,                   104.115688,      0.938000
                1675407180,           2023-02-03 06:53:00,           2023-02-03 09:53:00,      3.490000,     25.339000,          6.719995,                   103.292470,      0.939000
                1675407480,           2023-02-03 06:58:00,           2023-02-03 09:58:00,      3.490000,     25.550000,          6.600270,                   101.809632,      0.938000
                1675407780,           2023-02-03 07:03:00,           2023-02-03 10:03:00,      3.490000,     25.642000,          6.599678,                   101.956412,      0.939000
                1675408080,           2023-02-03 07:08:00,           2023-02-03 10:08:00,      3.490000,     25.693000,          6.559006,                   101.414001,      0.938000
                1675408380,           2023-02-03 07:13:00,           2023-02-03 10:13:00,      3.490000,     25.600000,          6.544535,                   101.033939,      0.938000
                1675408680,           2023-02-03 07:18:00,           2023-02-03 10:18:00,      3.490000,     25.592000,          6.560302,                   101.263860,      0.939000
                1675408980,           2023-02-03 07:23:00,           2023-02-03 10:23:00,      3.490000,     25.609000,          6.536706,                   100.928170,      0.938000
                1675409280,           2023-02-03 07:28:00,           2023-02-03 10:28:00,      3.490000,     25.381000,          6.455032,                    99.289304,      0.938000
                1675409580,           2023-02-03 07:33:00,           2023-02-03 10:33:00,      3.490000,     25.179000,          6.376849,                    97.756281,      0.937000
                1675409880,           2023-02-03 07:38:00,           2023-02-03 10:38:00,      3.490000,     25.229000,          6.531046,                   100.203854,      0.939000
                1675410180,           2023-02-03 07:43:00,           2023-02-03 10:43:00,      3.490000,     25.322000,          6.548683,                   100.630680,      0.938000
                1675410480,           2023-02-03 07:48:00,           2023-02-03 10:48:00,      3.490000,     25.423000,          6.628215,                   102.024590,      0.939000
                1675410780,           2023-02-03 07:53:00,           2023-02-03 10:53:00,      3.490000,     25.617000,          6.662819,                   102.889072,      0.939000
                1675411080,           2023-02-03 07:58:00,           2023-02-03 10:58:00,      3.490000,     25.642000,          6.582240,                   101.687010,      0.939000
                1675411380,           2023-02-03 08:03:00,           2023-02-03 11:03:00,      3.490000,     25.659000,          6.572118,                   101.559333,      0.939000
                1675411680,           2023-02-03 08:08:00,           2023-02-03 11:08:00,      3.490000,     25.685000,          6.568433,                   101.546261,      0.939000
                1675411980,           2023-02-03 08:13:00,           2023-02-03 11:13:00,      3.490000,     25.710000,          6.577421,                   101.727456,      0.939000
                1675412280,           2023-02-03 08:18:00,           2023-02-03 11:18:00,      3.490000,     25.727000,          6.547479,                   101.292950,      0.939000
                1675412580,           2023-02-03 08:23:00,           2023-02-03 11:23:00,      3.490000,     25.735000,          6.507132,                   100.682145,      0.939000
                1675412880,           2023-02-03 08:28:00,           2023-02-03 11:28:00,      3.490000,     25.735000,          6.477007,                   100.216024,      0.939000
                1675413180,           2023-02-03 08:33:00,           2023-02-03 11:33:00,      3.490000,     25.744000,          6.483444,                   100.330618,      0.939000
                1675413480,           2023-02-03 08:38:00,           2023-02-03 11:38:00,      3.490000,     25.777000,          6.564662,                   101.643114,      0.939000
                1675413780,           2023-02-03 08:43:00,           2023-02-03 11:43:00,      3.500000,     25.786000,          6.637700,                   102.789339,      0.939000
                1675414080,           2023-02-03 08:48:00,           2023-02-03 11:48:00,      3.500000,     25.626000,          6.675599,                   103.101857,      0.939000
                1675414380,           2023-02-03 08:53:00,           2023-02-03 11:53:00,      3.500000,     25.769000,          6.692221,                   103.604401,      0.940000
                1675414680,           2023-02-03 08:58:00,           2023-02-03 11:58:00,      3.490000,     25.811000,          6.660964,                   103.192384,      0.939000
                1675414980,           2023-02-03 09:03:00,           2023-02-03 12:03:00,      3.500000,     25.820000,          6.665026,                   103.270728,      0.940000
