time,battery,temp,DO,Q,serial,brand,model,treatment,day
1690274460,3.5,34.638,8.468,0.934,625887,pme,miniDOT,control,4
1690275060,3.5,34.763,8.444,0.933,625887,pme,miniDOT,control,4
1690275660,3.5,34.844,8.505,0.934,625887,pme,miniDOT,control,4
1690276260,3.5,35.005,8.728,0.932,625887,pme,miniDOT,control,4
1690276860,3.5,35.122,8.825,0.932,625887,pme,miniDOT,control,4
1690277460,3.5,34.826,8.478,0.932,625887,pme,miniDOT,control,4
1690278060,3.5,34.665,8.464,0.933,625887,pme,miniDOT,control,4
1690278660,3.5,34.638,8.454,0.933,625887,pme,miniDOT,control,4
1690279260,3.51,34.612,8.46,0.933,625887,pme,miniDOT,control,4
1690279860,3.51,34.674,8.537,0.934,625887,pme,miniDOT,control,4
1690280460,3.51,34.665,8.431,0.934,625887,pme,miniDOT,control,4
1690281060,3.51,34.603,8.364,0.933,625887,pme,miniDOT,control,4
1690281660,3.51,34.728,8.349,0.933,625887,pme,miniDOT,control,4
1690282260,3.51,34.844,8.472,0.932,625887,pme,miniDOT,control,4
1690282860,3.5,35.023,8.615,0.933,625887,pme,miniDOT,control,4
1690283460,3.51,35.175,8.891,0.932,625887,pme,miniDOT,control,4
1690284060,3.51,35.175,8.885,0.932,625887,pme,miniDOT,control,4
1690284660,3.51,35.454,9.364,0.931,625887,pme,miniDOT,control,4
1690285260,3.51,35.553,9.343,0.931,625887,pme,miniDOT,control,4
1690285860,3.51,35.571,9.463,0.93,625887,pme,miniDOT,control,4
1690286460,3.51,35.634,9.515,0.93,625887,pme,miniDOT,control,4
1690287060,3.51,35.787,9.855,0.93,625887,pme,miniDOT,control,4
1690287660,3.51,35.778,9.874,0.929,625887,pme,miniDOT,control,4
1690288260,3.51,35.814,9.81,0.928,625887,pme,miniDOT,control,4
1690288860,3.51,35.895,9.808,0.929,625887,pme,miniDOT,control,4
1690289460,3.51,36.039,10.022,0.928,625887,pme,miniDOT,control,4
1690290060,3.51,35.886,9.79,0.929,625887,pme,miniDOT,control,4
1690290660,3.52,35.742,9.633,0.929,625887,pme,miniDOT,control,4
1690291260,3.52,35.625,9.512,0.93,625887,pme,miniDOT,control,4
1690291860,3.52,35.463,9.163,0.93,625887,pme,miniDOT,control,4
1690292460,3.52,35.4,9.201,0.932,625887,pme,miniDOT,control,4
