time,battery,temp,DO,Q,serial,brand,model,treatment,day
1690274460,3.53,34.604,8.42,0.903,243487,pme,miniDOT,wiper,4
1690275060,3.53,34.64,8.521,0.904,243487,pme,miniDOT,wiper,4
1690275660,3.53,34.738,8.515,0.902,243487,pme,miniDOT,wiper,4
1690276260,3.53,34.854,8.654,0.902,243487,pme,miniDOT,wiper,4
1690276860,3.53,34.961,8.723,0.902,243487,pme,miniDOT,wiper,4
1690277460,3.53,34.711,8.473,0.903,243487,pme,miniDOT,wiper,4
1690278060,3.54,34.56,8.399,0.903,243487,pme,miniDOT,wiper,4
1690278660,3.54,34.542,8.402,0.903,243487,pme,miniDOT,wiper,4
1690279260,3.54,34.506,8.388,0.904,243487,pme,miniDOT,wiper,4
1690279860,3.54,34.595,8.468,0.904,243487,pme,miniDOT,wiper,4
1690280460,3.54,34.586,8.393,0.904,243487,pme,miniDOT,wiper,4
1690281060,3.54,34.551,8.222,0.904,243487,pme,miniDOT,wiper,4
1690281660,3.54,34.622,8.224,0.904,243487,pme,miniDOT,wiper,4
1690282260,3.54,34.8,8.465,0.903,243487,pme,miniDOT,wiper,4
1690282860,3.54,34.996,8.697,0.903,243487,pme,miniDOT,wiper,4
1690283460,3.54,35.068,8.779,0.902,243487,pme,miniDOT,wiper,4
1690284060,3.54,35.032,8.726,0.903,243487,pme,miniDOT,wiper,4
1690284660,3.54,35.273,9.066,0.902,243487,pme,miniDOT,wiper,4
1690285260,3.54,35.381,9.195,0.901,243487,pme,miniDOT,wiper,4
1690285860,3.54,35.408,9.234,0.902,243487,pme,miniDOT,wiper,4
1690286460,3.55,35.542,9.436,0.901,243487,pme,miniDOT,wiper,4
1690287060,3.55,35.587,9.505,0.902,243487,pme,miniDOT,wiper,4
1690287660,3.55,35.614,9.662,0.901,243487,pme,miniDOT,wiper,4
1690288260,3.55,35.64,9.564,0.902,243487,pme,miniDOT,wiper,4
1690288860,3.55,35.748,9.622,0.9,243487,pme,miniDOT,wiper,4
1690289460,3.55,35.775,9.629,0.9,243487,pme,miniDOT,wiper,4
1690290060,3.55,35.694,9.478,0.9,243487,pme,miniDOT,wiper,4
1690290660,3.55,35.596,9.478,0.902,243487,pme,miniDOT,wiper,4
