data2,data1,loggerUid,logDateTime,dateTime,PAR,wiper
33.31,6553.5,F4AD9E891947,1690268400,25-07-2023 10:00:00,,
33.38,3964.2,F4AD9E891947,1690269000,25-07-2023 10:10:00,,
33.5,4162.7,F4AD9E891947,1690269600,25-07-2023 10:20:00,,
33.63,4309.1,F4AD9E891947,1690270200,25-07-2023 10:30:00,,
33.63,4246.4,F4AD9E891947,1690270800,25-07-2023 10:40:00,,
33.69,4454.6,F4AD9E891947,1690271400,25-07-2023 10:50:00,,
33.75,4497.8,F4AD9E891947,1690272000,25-07-2023 11:00:00,,
33.88,4671.6,F4AD9E891947,1690272600,25-07-2023 11:10:00,,
34,4720.5,F4AD9E891947,1690273200,25-07-2023 11:20:00,,
34.19,4854.3,F4AD9E891947,1690273800,25-07-2023 11:30:00,,
34.25,4639,F4AD9E891947,1690274400,25-07-2023 11:40:00,,
34.31,4493.1,F4AD9E891947,1690275000,25-07-2023 11:50:00,,
34.44,4558.9,F4AD9E891947,1690275600,25-07-2023 12:00:00,,
34.63,4678.4,F4AD9E891947,1690276200,25-07-2023 12:10:00,,
34.69,4643.8,F4AD9E891947,1690276800,25-07-2023 12:20:00,,
34.38,4630.6,F4AD9E891947,1690277400,25-07-2023 12:30:00,,
34.19,4557.5,F4AD9E891947,1690278000,25-07-2023 12:40:00,,
34.25,4607.5,F4AD9E891947,1690278600,25-07-2023 12:50:00,,
34.25,4561.4,F4AD9E891947,1690279200,25-07-2023 13:00:00,,
34.25,4536.9,F4AD9E891947,1690279800,25-07-2023 13:10:00,,
34.19,4529.1,F4AD9E891947,1690280400,25-07-2023 13:20:00,,
34.13,4394.2,F4AD9E891947,1690281000,25-07-2023 13:30:00,,
34.25,4184.3,F4AD9E891947,1690281600,25-07-2023 13:40:00,,
34.38,4153.2,F4AD9E891947,1690282200,25-07-2023 13:50:00,,
34.56,4140.8,F4AD9E891947,1690282800,25-07-2023 14:00:00,,
34.75,4153,F4AD9E891947,1690283400,25-07-2023 14:10:00,,
34.75,4009.7,F4AD9E891947,1690284000,25-07-2023 14:20:00,,
35,3947.3,F4AD9E891947,1690284600,25-07-2023 14:30:00,,
35.06,3640.3,F4AD9E891947,1690285200,25-07-2023 14:40:00,,
35.19,3388.9,F4AD9E891947,1690285800,25-07-2023 14:50:00,,
35.38,3410.5,F4AD9E891947,1690286400,25-07-2023 15:00:00,,
35.31,3393.4,F4AD9E891947,1690287000,25-07-2023 15:10:00,,
35.31,3173.5,F4AD9E891947,1690287600,25-07-2023 15:20:00,,
35.5,3246.1,F4AD9E891947,1690288200,25-07-2023 15:30:00,,
35.63,3076.6,F4AD9E891947,1690288800,25-07-2023 15:40:00,,
35.63,2832.9,F4AD9E891947,1690289400,25-07-2023 15:50:00,,
35.56,2653.6,F4AD9E891947,1690290000,25-07-2023 16:00:00,,
35.25,2366.9,F4AD9E891947,1690290600,25-07-2023 16:10:00,,
35.19,2186,F4AD9E891947,1690291200,25-07-2023 16:20:00,,
35,2121.2,F4AD9E891947,1690291800,25-07-2023 16:30:00,,
34.88,1914.4,F4AD9E891947,1690292400,25-07-2023 16:40:00,,
34.81,1676.3,F4AD9E891947,1690293000,25-07-2023 16:50:00,,
34.75,1483.8,F4AD9E891947,1690293600,25-07-2023 17:00:00,,
34.75,1291.8,F4AD9E891947,1690294200,25-07-2023 17:10:00,,
34.69,1113.8,F4AD9E891947,1690294800,25-07-2023 17:20:00,,
34.69,987.7,F4AD9E891947,1690295400,25-07-2023 17:30:00,,
34.75,925.9,F4AD9E891947,1690296000,25-07-2023 17:40:00,,
34.56,804.9,F4AD9E891947,1690296600,25-07-2023 17:50:00,,
34.38,676.4,F4AD9E891947,1690297200,25-07-2023 18:00:00,,
34.44,531.2,F4AD9E891947,1690297800,25-07-2023 18:10:00,,
34.31,397.4,F4AD9E891947,1690298400,25-07-2023 18:20:00,,
34.38,291,F4AD9E891947,1690299000,25-07-2023 18:30:00,,
34.38,204.5,F4AD9E891947,1690299600,25-07-2023 18:40:00,,
34.25,124.5,F4AD9E891947,1690300200,25-07-2023 18:50:00,,
34.13,60.3,F4AD9E891947,1690300800,25-07-2023 19:00:00,,
34,20,F4AD9E891947,1690301400,25-07-2023 19:10:00,,
34.06,5.3,F4AD9E891947,1690302000,25-07-2023 19:20:00,,
34,0.7,F4AD9E891947,1690302600,25-07-2023 19:30:00,,
33.75,0.1,F4AD9E891947,1690303200,25-07-2023 19:40:00,,
33.63,0,F4AD9E891947,1690303800,25-07-2023 19:50:00,,
33.56,0,F4AD9E891947,1690304400,25-07-2023 20:00:00,,
33.5,0,F4AD9E891947,1690305000,25-07-2023 20:10:00,,
33.5,0,F4AD9E891947,1690305600,25-07-2023 20:20:00,,
33.44,0,F4AD9E891947,1690306200,25-07-2023 20:30:00,,
33.38,0,F4AD9E891947,1690306800,25-07-2023 20:40:00,,
33.25,0,F4AD9E891947,1690307400,25-07-2023 20:50:00,,
33.25,0,F4AD9E891947,1690308000,25-07-2023 21:00:00,,
33.19,0,F4AD9E891947,1690308600,25-07-2023 21:10:00,,
33.19,0,F4AD9E891947,1690309200,25-07-2023 21:20:00,,
33.19,0,F4AD9E891947,1690309800,25-07-2023 21:30:00,,
33.19,0,F4AD9E891947,1690310400,25-07-2023 21:40:00,,
33.25,0,F4AD9E891947,1690311000,25-07-2023 21:50:00,,
33.25,0,F4AD9E891947,1690311600,25-07-2023 22:00:00,,
33.25,0,F4AD9E891947,1690312200,25-07-2023 22:10:00,,
33.25,0,F4AD9E891947,1690312800,25-07-2023 22:20:00,,
33.25,0,F4AD9E891947,1690313400,25-07-2023 22:30:00,,
33.19,0,F4AD9E891947,1690314000,25-07-2023 22:40:00,,
33.19,0,F4AD9E891947,1690314600,25-07-2023 22:50:00,,
33.13,0,F4AD9E891947,1690315200,25-07-2023 23:00:00,,
33.13,0,F4AD9E891947,1690315800,25-07-2023 23:10:00,,
33.13,0,F4AD9E891947,1690316400,25-07-2023 23:20:00,,
33.13,0,F4AD9E891947,1690317000,25-07-2023 23:30:00,,
33.19,0,F4AD9E891947,1690317600,25-07-2023 23:40:00,,
33.25,0,F4AD9E891947,1690318200,25-07-2023 23:50:00,,
33.25,0,F4AD9E891947,1690318800,26-07-2023 00:00:00,,
33.25,0,F4AD9E891947,1690319400,26-07-2023 00:10:00,,
33.38,0,F4AD9E891947,1690320000,26-07-2023 00:20:00,,
33.31,0,F4AD9E891947,1690320600,26-07-2023 00:30:00,,
33.25,0,F4AD9E891947,1690321200,26-07-2023 00:40:00,,
33.06,0,F4AD9E891947,1690321800,26-07-2023 00:50:00,,
33.06,0,F4AD9E891947,1690322400,26-07-2023 01:00:00,,
