data2,data1,loggerUid,logDateTime,dateTime,PAR old,PAR,wiper
42.13,65535,CAD4A7D9D5D4,1690268400,25-07-2023 10:00:00,1271.8663,1589.5851,
36.25,16992,CAD4A7D9D5D4,1690269000,25-07-2023 10:10:00,330.1321,409.9902,
33.88,17074,CAD4A7D9D5D4,1690269600,25-07-2023 10:20:00,331.7229,411.9828,
33.69,32425,CAD4A7D9D5D4,1690270200,25-07-2023 10:30:00,629.5323,785.0121,
33.63,34123,CAD4A7D9D5D4,1690270800,25-07-2023 10:40:00,662.4735,826.2735,
33.69,36684,CAD4A7D9D5D4,1690271400,25-07-2023 10:50:00,712.1569,888.5058,
33.75,40129,CAD4A7D9D5D4,1690272000,25-07-2023 11:00:00,778.9899,972.2193,
33.81,41567,CAD4A7D9D5D4,1690272600,25-07-2023 11:10:00,806.8871,1007.1627,
33.94,37921,CAD4A7D9D5D4,1690273200,25-07-2023 11:20:00,736.1547,918.5649,
34.13,42656,CAD4A7D9D5D4,1690273800,25-07-2023 11:30:00,828.0137,1033.6254,
34.25,41862,CAD4A7D9D5D4,1690274400,25-07-2023 11:40:00,812.6101,1014.3312,
34.25,40359,CAD4A7D9D5D4,1690275000,25-07-2023 11:50:00,783.4519,977.8083,
34.44,44004,CAD4A7D9D5D4,1690275600,25-07-2023 12:00:00,854.1649,1066.3818,
34.56,45155,CAD4A7D9D5D4,1690276200,25-07-2023 12:10:00,876.4943,1094.3511,
34.69,44835,CAD4A7D9D5D4,1690276800,25-07-2023 12:20:00,870.2863,1086.5751,
34.5,44797,CAD4A7D9D5D4,1690277400,25-07-2023 12:30:00,869.5491,1085.6517,
34.19,44282,CAD4A7D9D5D4,1690278000,25-07-2023 12:40:00,859.5581,1073.1372,
34.31,45065,CAD4A7D9D5D4,1690278600,25-07-2023 12:50:00,874.7483,1092.1641,
34.31,44829,CAD4A7D9D5D4,1690279200,25-07-2023 13:00:00,870.1699,1086.4293,
34.25,44532,CAD4A7D9D5D4,1690279800,25-07-2023 13:10:00,864.4081,1079.2122,
34.31,44527,CAD4A7D9D5D4,1690280400,25-07-2023 13:20:00,864.3111,1079.0907,
34.25,43264,CAD4A7D9D5D4,1690281000,25-07-2023 13:30:00,839.8089,1048.3998,
34.31,41401,CAD4A7D9D5D4,1690281600,25-07-2023 13:40:00,803.6667,1003.1289,
34.5,41078,CAD4A7D9D5D4,1690282200,25-07-2023 13:50:00,797.4005,995.28,
