data2,data1,loggerUid,logDateTime,dateTime,PAR,wiper
41.63,6553.5,F5ADC5509F33,1690268400,25-07-2023 10:00:00,,
39,444.1,F5ADC5509F33,1690269000,25-07-2023 10:10:00,,
38.19,322.5,F5ADC5509F33,1690269600,25-07-2023 10:20:00,,
35.44,2063.1,F5ADC5509F33,1690270200,25-07-2023 10:30:00,,
33.81,3061.9,F5ADC5509F33,1690270800,25-07-2023 10:40:00,,
33.75,4003.6,F5ADC5509F33,1690271400,25-07-2023 10:50:00,,
33.81,4014.3,F5ADC5509F33,1690272000,25-07-2023 11:00:00,,
33.81,4106.4,F5ADC5509F33,1690272600,25-07-2023 11:10:00,,
33.94,4100.9,F5ADC5509F33,1690273200,25-07-2023 11:20:00,,
34.13,4381.6,F5ADC5509F33,1690273800,25-07-2023 11:30:00,,
34.25,4421.9,F5ADC5509F33,1690274400,25-07-2023 11:40:00,,
34.25,3234.4,F5ADC5509F33,1690275000,25-07-2023 11:50:00,,
34.38,3268.2,F5ADC5509F33,1690275600,25-07-2023 12:00:00,,
34.56,3303.8,F5ADC5509F33,1690276200,25-07-2023 12:10:00,,
34.56,3274.5,F5ADC5509F33,1690276800,25-07-2023 12:20:00,,
34.31,3260,F5ADC5509F33,1690277400,25-07-2023 12:30:00,,
34.13,3173,F5ADC5509F33,1690278000,25-07-2023 12:40:00,,
34.13,3191.4,F5ADC5509F33,1690278600,25-07-2023 12:50:00,,
34.06,3112.6,F5ADC5509F33,1690279200,25-07-2023 13:00:00,,
34.06,3030.3,F5ADC5509F33,1690279800,25-07-2023 13:10:00,,
34.06,2931.1,F5ADC5509F33,1690280400,25-07-2023 13:20:00,,
34.06,2689.8,F5ADC5509F33,1690281000,25-07-2023 13:30:00,,
34.19,2372.8,F5ADC5509F33,1690281600,25-07-2023 13:40:00,,
34.31,2154.5,F5ADC5509F33,1690282200,25-07-2023 13:50:00,,
34.44,1942.4,F5ADC5509F33,1690282800,25-07-2023 14:00:00,,
34.56,1735.2,F5ADC5509F33,1690283400,25-07-2023 14:10:00,,
34.69,1462.4,F5ADC5509F33,1690284000,25-07-2023 14:20:00,,
34.88,1242.6,F5ADC5509F33,1690284600,25-07-2023 14:30:00,,
35,1006.9,F5ADC5509F33,1690285200,25-07-2023 14:40:00,,
35.06,835.8,F5ADC5509F33,1690285800,25-07-2023 14:50:00,,
35.19,753.6,F5ADC5509F33,1690286400,25-07-2023 15:00:00,,
35.31,701.1,F5ADC5509F33,1690287000,25-07-2023 15:10:00,,
35.31,645.8,F5ADC5509F33,1690287600,25-07-2023 15:20:00,,
35.31,641.1,F5ADC5509F33,1690288200,25-07-2023 15:30:00,,
35.38,622.2,F5ADC5509F33,1690288800,25-07-2023 15:40:00,,
35.44,595.4,F5ADC5509F33,1690289400,25-07-2023 15:50:00,,
35.44,582.2,F5ADC5509F33,1690290000,25-07-2023 16:00:00,,
35.25,1827.5,F5ADC5509F33,1690290600,25-07-2023 16:10:00,,
35.19,1697.5,F5ADC5509F33,1690291200,25-07-2023 16:20:00,,
35.13,1650.4,F5ADC5509F33,1690291800,25-07-2023 16:30:00,,
34.94,1494.9,F5ADC5509F33,1690292400,25-07-2023 16:40:00,,
34.75,1304,F5ADC5509F33,1690293000,25-07-2023 16:50:00,,
34.69,1154.9,F5ADC5509F33,1690293600,25-07-2023 17:00:00,,
34.56,1004.4,F5ADC5509F33,1690294200,25-07-2023 17:10:00,,
34.56,869.7,F5ADC5509F33,1690294800,25-07-2023 17:20:00,,
34.63,772.7,F5ADC5509F33,1690295400,25-07-2023 17:30:00,,
34.63,725.8,F5ADC5509F33,1690296000,25-07-2023 17:40:00,,
34.63,628.9,F5ADC5509F33,1690296600,25-07-2023 17:50:00,,
34.63,528.1,F5ADC5509F33,1690297200,25-07-2023 18:00:00,,
34.44,413.2,F5ADC5509F33,1690297800,25-07-2023 18:10:00,,
34.44,307.4,F5ADC5509F33,1690298400,25-07-2023 18:20:00,,
34.31,224.8,F5ADC5509F33,1690299000,25-07-2023 18:30:00,,
34.38,157.5,F5ADC5509F33,1690299600,25-07-2023 18:40:00,,
34.38,95.6,F5ADC5509F33,1690300200,25-07-2023 18:50:00,,
34.25,46.1,F5ADC5509F33,1690300800,25-07-2023 19:00:00,,
34.19,15.2,F5ADC5509F33,1690301400,25-07-2023 19:10:00,,
34.13,4,F5ADC5509F33,1690302000,25-07-2023 19:20:00,,
34.06,0.5,F5ADC5509F33,1690302600,25-07-2023 19:30:00,,
33.81,0,F5ADC5509F33,1690303200,25-07-2023 19:40:00,,
33.63,0,F5ADC5509F33,1690303800,25-07-2023 19:50:00,,
33.5,0,F5ADC5509F33,1690304400,25-07-2023 20:00:00,,
33.44,0,F5ADC5509F33,1690305000,25-07-2023 20:10:00,,
33.44,0,F5ADC5509F33,1690305600,25-07-2023 20:20:00,,
33.44,0,F5ADC5509F33,1690306200,25-07-2023 20:30:00,,
33.38,0,F5ADC5509F33,1690306800,25-07-2023 20:40:00,,
33.31,0,F5ADC5509F33,1690307400,25-07-2023 20:50:00,,
33.19,0,F5ADC5509F33,1690308000,25-07-2023 21:00:00,,
33.19,0,F5ADC5509F33,1690308600,25-07-2023 21:10:00,,
33.19,0,F5ADC5509F33,1690309200,25-07-2023 21:20:00,,
33.19,0,F5ADC5509F33,1690309800,25-07-2023 21:30:00,,
33.25,0,F5ADC5509F33,1690310400,25-07-2023 21:40:00,,
33.25,0,F5ADC5509F33,1690311000,25-07-2023 21:50:00,,
33.25,0,F5ADC5509F33,1690311600,25-07-2023 22:00:00,,
33.25,0,F5ADC5509F33,1690312200,25-07-2023 22:10:00,,
33.25,0,F5ADC5509F33,1690312800,25-07-2023 22:20:00,,
33.19,0,F5ADC5509F33,1690313400,25-07-2023 22:30:00,,
33.19,0,F5ADC5509F33,1690314000,25-07-2023 22:40:00,,
33.13,0,F5ADC5509F33,1690314600,25-07-2023 22:50:00,,
33.13,0,F5ADC5509F33,1690315200,25-07-2023 23:00:00,,
33.13,0,F5ADC5509F33,1690315800,25-07-2023 23:10:00,,
33.13,0,F5ADC5509F33,1690316400,25-07-2023 23:20:00,,
33.13,0,F5ADC5509F33,1690317000,25-07-2023 23:30:00,,
33.19,0,F5ADC5509F33,1690317600,25-07-2023 23:40:00,,
33.25,0,F5ADC5509F33,1690318200,25-07-2023 23:50:00,,
33.19,0,F5ADC5509F33,1690318800,26-07-2023 00:00:00,,
33.25,0,F5ADC5509F33,1690319400,26-07-2023 00:10:00,,
33.31,0,F5ADC5509F33,1690320000,26-07-2023 00:20:00,,
33.31,0,F5ADC5509F33,1690320600,26-07-2023 00:30:00,,
33.13,0,F5ADC5509F33,1690321200,26-07-2023 00:40:00,,
33.06,0,F5ADC5509F33,1690321800,26-07-2023 00:50:00,,
33,0,F5ADC5509F33,1690322400,26-07-2023 01:00:00,,
33.06,0,F5ADC5509F33,1690323000,26-07-2023 01:10:00,,
33,0,F5ADC5509F33,1690323600,26-07-2023 01:20:00,,
33,0,F5ADC5509F33,1690324200,26-07-2023 01:30:00,,
33,0,F5ADC5509F33,1690324800,26-07-2023 01:40:00,,
33,0,F5ADC5509F33,1690325400,26-07-2023 01:50:00,,
32.94,0,F5ADC5509F33,1690326000,26-07-2023 02:00:00,,
32.75,0,F5ADC5509F33,1690326600,26-07-2023 02:10:00,,
32.63,0,F5ADC5509F33,1690327200,26-07-2023 02:20:00,,
32.5,0,F5ADC5509F33,1690327800,26-07-2023 02:30:00,,
32.44,0,F5ADC5509F33,1690328400,26-07-2023 02:40:00,,
32.44,0,F5ADC5509F33,1690329000,26-07-2023 02:50:00,,
32.38,0,F5ADC5509F33,1690329600,26-07-2023 03:00:00,,
32.38,0,F5ADC5509F33,1690330200,26-07-2023 03:10:00,,
32.38,0,F5ADC5509F33,1690330800,26-07-2023 03:20:00,,
32.38,0,F5ADC5509F33,1690331400,26-07-2023 03:30:00,,
32.38,0,F5ADC5509F33,1690332000,26-07-2023 03:40:00,,
32.38,0,F5ADC5509F33,1690332600,26-07-2023 03:50:00,,
32.38,0,F5ADC5509F33,1690333200,26-07-2023 04:00:00,,
32.38,0,F5ADC5509F33,1690333800,26-07-2023 04:10:00,,
32.38,0,F5ADC5509F33,1690334400,26-07-2023 04:20:00,,
32.38,0,F5ADC5509F33,1690335000,26-07-2023 04:30:00,,
32.38,0,F5ADC5509F33,1690335600,26-07-2023 04:40:00,,
32.31,0,F5ADC5509F33,1690336200,26-07-2023 04:50:00,,
32.31,0,F5ADC5509F33,1690336800,26-07-2023 05:00:00,,
32.31,0,F5ADC5509F33,1690337400,26-07-2023 05:10:00,,
32.31,0,F5ADC5509F33,1690338000,26-07-2023 05:20:00,,
32.38,0,F5ADC5509F33,1690338600,26-07-2023 05:30:00,,
32.38,0.4,F5ADC5509F33,1690339200,26-07-2023 05:40:00,,
32.38,5.5,F5ADC5509F33,1690339800,26-07-2023 05:50:00,,
32.38,21.8,F5ADC5509F33,1690340400,26-07-2023 06:00:00,,
32.38,67.9,F5ADC5509F33,1690341000,26-07-2023 06:10:00,,
32.38,137.6,F5ADC5509F33,1690341600,26-07-2023 06:20:00,,
32.38,221.4,F5ADC5509F33,1690342200,26-07-2023 06:30:00,,
32.31,314.1,F5ADC5509F33,1690342800,26-07-2023 06:40:00,,
32.31,412.9,F5ADC5509F33,1690343400,26-07-2023 06:50:00,,
32.38,534.2,F5ADC5509F33,1690344000,26-07-2023 07:00:00,,
32.38,664.6,F5ADC5509F33,1690344600,26-07-2023 07:10:00,,
32.38,797.6,F5ADC5509F33,1690345200,26-07-2023 07:20:00,,
32.38,985,F5ADC5509F33,1690345800,26-07-2023 07:30:00,,
32.44,1137.6,F5ADC5509F33,1690346400,26-07-2023 07:40:00,,
32.5,1296,F5ADC5509F33,1690347000,26-07-2023 07:50:00,,
32.56,1549,F5ADC5509F33,1690347600,26-07-2023 08:00:00,,
