data2,data1,loggerUid,logDateTime,dateTime,PAR old,PAR,hand clean
38.88,1310.7,FFD81DD88948,1690268400,25-07-2023 10:00:00,1364.83032,2358.0254,
40.19,246.86,FFD81DD88948,1690269000,25-07-2023 10:10:00,256.734576,442.04956,
41.25,276.94,FFD81DD88948,1690269600,25-07-2023 10:20:00,288.065904,496.22364,
37.88,350.3,FFD81DD88948,1690270200,25-07-2023 10:30:00,364.47768,628.345,
34,597.88,FFD81DD88948,1690270800,25-07-2023 10:40:00,622.357008,1074.23658,
33.81,836.7,FFD81DD88948,1690271400,25-07-2023 10:50:00,871.11192,1504.3514,
33.88,843.58,FFD81DD88948,1690272000,25-07-2023 11:00:00,878.278128,1516.74228,
33.88,854.02,FFD81DD88948,1690272600,25-07-2023 11:10:00,889.152432,1535.54472,
34,848.04,FFD81DD88948,1690273200,25-07-2023 11:20:00,882.923664,1524.77474,
34.19,900.8,FFD81DD88948,1690273800,25-07-2023 11:30:00,937.87848,1619.7955,
34.31,915.86,FFD81DD88948,1690274400,25-07-2023 11:40:00,953.564976,1646.91856,
34.31,271.38,FFD81DD88948,1690275000,25-07-2023 11:50:00,282.274608,486.21008,
34.44,224.26,FFD81DD88948,1690275600,25-07-2023 12:00:00,233.194416,401.34696,
34.56,219.78,FFD81DD88948,1690276200,25-07-2023 12:10:00,228.528048,393.27848,
34.56,213.74,FFD81DD88948,1690276800,25-07-2023 12:20:00,222.236784,382.40044,
34.31,210.34,FFD81DD88948,1690277400,25-07-2023 12:30:00,218.695344,376.27704,
34.13,205.28,FFD81DD88948,1690278000,25-07-2023 12:40:00,213.424848,367.16398,
34.13,206.36,FFD81DD88948,1690278600,25-07-2023 12:50:00,214.549776,369.10906,
34.06,204.7,FFD81DD88948,1690279200,25-07-2023 13:00:00,212.82072,366.1194,
34.06,203.56,FFD81DD88948,1690279800,25-07-2023 13:10:00,211.633296,364.06626,
34.06,202.98,FFD81DD88948,1690280400,25-07-2023 13:20:00,211.029168,363.02168,
34.06,197.02,FFD81DD88948,1690281000,25-07-2023 13:30:00,204.821232,352.28772,
34.25,186.6,FFD81DD88948,1690281600,25-07-2023 13:40:00,193.96776,333.5213,
34.31,185.44,FFD81DD88948,1690282200,25-07-2023 13:50:00,192.759504,331.43214,
34.5,185.52,FFD81DD88948,1690282800,25-07-2023 14:00:00,192.842832,331.57622,
34.63,186.04,FFD81DD88948,1690283400,25-07-2023 14:10:00,193.384464,332.51274,
34.69,180.3,FFD81DD88948,1690284000,25-07-2023 14:20:00,187.40568,322.175,
34.94,177.16,FFD81DD88948,1690284600,25-07-2023 14:30:00,184.135056,316.51986,
35,162.66,FFD81DD88948,1690285200,25-07-2023 14:40:00,169.031856,290.40536,
35.06,150.24,FFD81DD88948,1690285800,25-07-2023 14:50:00,156.095184,268.03694,
35.13,153.74,FFD81DD88948,1690286400,25-07-2023 15:00:00,159.740784,274.34044,
35.31,156.58,FFD81DD88948,1690287000,25-07-2023 15:10:00,162.698928,279.45528,
35.31,148.8,FFD81DD88948,1690287600,25-07-2023 15:20:00,154.59528,265.4435,
35.25,153.76,FFD81DD88948,1690288200,25-07-2023 15:30:00,159.761616,274.37646,
35.38,147.1,FFD81DD88948,1690288800,25-07-2023 15:40:00,152.82456,262.3818,
35.44,135.68,FFD81DD88948,1690289400,25-07-2023 15:50:00,140.929488,241.81438,
35.44,131.6,FFD81DD88948,1690290000,25-07-2023 16:00:00,136.67976,234.4663,
35.31,399.86,FFD81DD88948,1690290600,25-07-2023 16:10:00,416.099376,717.60256,
35.19,368.62,FFD81DD88948,1690291200,25-07-2023 16:20:00,383.559792,661.33932,
35.13,356.6,FFD81DD88948,1690291800,25-07-2023 16:30:00,371.03976,639.6913,
34.94,320.42,FFD81DD88948,1690292400,25-07-2023 16:40:00,333.354672,574.53112,
34.75,278.22,FFD81DD88948,1690293000,25-07-2023 16:50:00,289.399152,498.52892,
34.69,244.64,FFD81DD88948,1690293600,25-07-2023 17:00:00,254.422224,438.05134,
34.63,213.18,FFD81DD88948,1690294200,25-07-2023 17:10:00,221.653488,381.39188,
34.63,180.76,FFD81DD88948,1690294800,25-07-2023 17:20:00,187.884816,323.00346,
34.69,158.14,FFD81DD88948,1690295400,25-07-2023 17:30:00,164.323824,282.26484,
34.63,146.64,FFD81DD88948,1690296000,25-07-2023 17:40:00,152.345424,261.55334,
34.56,124.5,FFD81DD88948,1690296600,25-07-2023 17:50:00,129.2844,221.6792,
34.56,102.44,FFD81DD88948,1690297200,25-07-2023 18:00:00,106.306704,181.94914,
34.44,77.98,FFD81DD88948,1690297800,25-07-2023 18:10:00,80.829168,137.89668,
34.44,56.06,FFD81DD88948,1690298400,25-07-2023 18:20:00,57.997296,98.41876,
34.31,39.9,FFD81DD88948,1690299000,25-07-2023 18:30:00,41.16504,69.3146,
34.38,27.38,FFD81DD88948,1690299600,25-07-2023 18:40:00,28.124208,46.76608,
34.38,16.36,FFD81DD88948,1690300200,25-07-2023 18:50:00,16.645776,26.91906,
34.25,7.8,FFD81DD88948,1690300800,25-07-2023 19:00:00,7.72968,11.5025,
34.19,2.5,FFD81DD88948,1690301400,25-07-2023 19:10:00,2.2092,1.9572,
34.19,0.66,FFD81DD88948,1690302000,25-07-2023 19:20:00,0.292656,-1.35664,
34.13,0.08,FFD81DD88948,1690302600,25-07-2023 19:30:00,-0.311472,-2.40122,
33.81,0.02,FFD81DD88948,1690303200,25-07-2023 19:40:00,-0.373968,-2.50928,
33.63,0,FFD81DD88948,1690303800,25-07-2023 19:50:00,-0.3948,-2.5453,
33.56,0,FFD81DD88948,1690304400,25-07-2023 20:00:00,-0.3948,-2.5453,
33.5,0,FFD81DD88948,1690305000,25-07-2023 20:10:00,-0.3948,-2.5453,
33.44,0,FFD81DD88948,1690305600,25-07-2023 20:20:00,-0.3948,-2.5453,
33.44,0,FFD81DD88948,1690306200,25-07-2023 20:30:00,-0.3948,-2.5453,
33.44,0,FFD81DD88948,1690306800,25-07-2023 20:40:00,-0.3948,-2.5453,
33.31,0,FFD81DD88948,1690307400,25-07-2023 20:50:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690308000,25-07-2023 21:00:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690308600,25-07-2023 21:10:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690309200,25-07-2023 21:20:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690309800,25-07-2023 21:30:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690310400,25-07-2023 21:40:00,-0.3948,-2.5453,
33.31,0,FFD81DD88948,1690311000,25-07-2023 21:50:00,-0.3948,-2.5453,
33.31,0,FFD81DD88948,1690311600,25-07-2023 22:00:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690312200,25-07-2023 22:10:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690312800,25-07-2023 22:20:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690313400,25-07-2023 22:30:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690314000,25-07-2023 22:40:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690314600,25-07-2023 22:50:00,-0.3948,-2.5453,
33.13,0,FFD81DD88948,1690315200,25-07-2023 23:00:00,-0.3948,-2.5453,
33.13,0,FFD81DD88948,1690315800,25-07-2023 23:10:00,-0.3948,-2.5453,
33.13,0,FFD81DD88948,1690316400,25-07-2023 23:20:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690317000,25-07-2023 23:30:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690317600,25-07-2023 23:40:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690318200,25-07-2023 23:50:00,-0.3948,-2.5453,
33.25,0,FFD81DD88948,1690318800,26-07-2023 00:00:00,-0.3948,-2.5453,
33.31,0,FFD81DD88948,1690319400,26-07-2023 00:10:00,-0.3948,-2.5453,
33.38,0,FFD81DD88948,1690320000,26-07-2023 00:20:00,-0.3948,-2.5453,
33.31,0,FFD81DD88948,1690320600,26-07-2023 00:30:00,-0.3948,-2.5453,
33.19,0,FFD81DD88948,1690321200,26-07-2023 00:40:00,-0.3948,-2.5453,
33.06,0,FFD81DD88948,1690321800,26-07-2023 00:50:00,-0.3948,-2.5453,
33.06,0,FFD81DD88948,1690322400,26-07-2023 01:00:00,-0.3948,-2.5453,
33.06,0,FFD81DD88948,1690323000,26-07-2023 01:10:00,-0.3948,-2.5453,
33.06,0,FFD81DD88948,1690323600,26-07-2023 01:20:00,-0.3948,-2.5453,
33,0,FFD81DD88948,1690324200,26-07-2023 01:30:00,-0.3948,-2.5453,
33,0,FFD81DD88948,1690324800,26-07-2023 01:40:00,-0.3948,-2.5453,
33,0,FFD81DD88948,1690325400,26-07-2023 01:50:00,-0.3948,-2.5453,
33,0,FFD81DD88948,1690326000,26-07-2023 02:00:00,-0.3948,-2.5453,
32.81,0,FFD81DD88948,1690326600,26-07-2023 02:10:00,-0.3948,-2.5453,
32.63,0,FFD81DD88948,1690327200,26-07-2023 02:20:00,-0.3948,-2.5453,
32.56,0,FFD81DD88948,1690327800,26-07-2023 02:30:00,-0.3948,-2.5453,
32.5,0,FFD81DD88948,1690328400,26-07-2023 02:40:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690329000,26-07-2023 02:50:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690329600,26-07-2023 03:00:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690330200,26-07-2023 03:10:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690330800,26-07-2023 03:20:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690331400,26-07-2023 03:30:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690332000,26-07-2023 03:40:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690332600,26-07-2023 03:50:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690333200,26-07-2023 04:00:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690333800,26-07-2023 04:10:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690334400,26-07-2023 04:20:00,-0.3948,-2.5453,
32.44,0,FFD81DD88948,1690335000,26-07-2023 04:30:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690335600,26-07-2023 04:40:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690336200,26-07-2023 04:50:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690336800,26-07-2023 05:00:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690337400,26-07-2023 05:10:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690338000,26-07-2023 05:20:00,-0.3948,-2.5453,
32.38,0,FFD81DD88948,1690338600,26-07-2023 05:30:00,-0.3948,-2.5453,
32.44,0.04,FFD81DD88948,1690339200,26-07-2023 05:40:00,-0.353136,-2.47326,
32.44,0.64,FFD81DD88948,1690339800,26-07-2023 05:50:00,0.271824,-1.39266,
32.44,2.58,FFD81DD88948,1690340400,26-07-2023 06:00:00,2.292528,2.10128,
32.38,8.08,FFD81DD88948,1690341000,26-07-2023 06:10:00,8.021328,12.00678,
32.38,16.48,FFD81DD88948,1690341600,26-07-2023 06:20:00,16.770768,27.13518,
32.38,26.78,FFD81DD88948,1690342200,26-07-2023 06:30:00,27.499248,45.68548,
32.38,37.92,FFD81DD88948,1690342800,26-07-2023 06:40:00,39.102672,65.74862,
32.38,49.96,FFD81DD88948,1690343400,26-07-2023 06:50:00,51.643536,87.43266,
