data2,data1,loggerUid,logDateTime,dateTime,PAR old,PAR,hand clean
33.31,65535,F4E392E44540,1690268400,25-07-2023 10:00:00,1441.9982,1642.0798,
33.31,32468,F4E392E44540,1690269000,25-07-2023 10:10:00,714.5242,812.0981,
33.44,28096,F4E392E44540,1690269600,25-07-2023 10:20:00,618.3402,702.3609,
33.63,37468,F4E392E44540,1690270200,25-07-2023 10:30:00,824.5242,937.5981,
33.56,38873,F4E392E44540,1690270800,25-07-2023 10:40:00,855.4342,972.8636,
33.69,40803,F4E392E44540,1690271400,25-07-2023 10:50:00,897.8942,1021.3066,
33.81,41973,F4E392E44540,1690272000,25-07-2023 11:00:00,923.6342,1050.6736,
33.81,43577,F4E392E44540,1690272600,25-07-2023 11:10:00,958.9222,1090.934,
33.94,42214,F4E392E44540,1690273200,25-07-2023 11:20:00,928.9362,1056.7227,
34.13,46348,F4E392E44540,1690273800,25-07-2023 11:30:00,1019.8842,1160.4861,
34.19,45502,F4E392E44540,1690274400,25-07-2023 11:40:00,1001.2722,1139.2515,
34.25,44469,F4E392E44540,1690275000,25-07-2023 11:50:00,978.5462,1113.3232,
34.38,47852,F4E392E44540,1690275600,25-07-2023 12:00:00,1052.9722,1198.2365,
34.5,49227,F4E392E44540,1690276200,25-07-2023 12:10:00,1083.2222,1232.749,
34.63,49198,F4E392E44540,1690276800,25-07-2023 12:20:00,1082.5842,1232.0211,
34.38,49312,F4E392E44540,1690277400,25-07-2023 12:30:00,1085.0922,1234.8825,
34.13,48799,F4E392E44540,1690278000,25-07-2023 12:40:00,1073.8062,1222.0062,
34.19,49674,F4E392E44540,1690278600,25-07-2023 12:50:00,1093.0562,1243.9687,
34.13,49645,F4E392E44540,1690279200,25-07-2023 13:00:00,1092.4182,1243.2408,
34.13,49556,F4E392E44540,1690279800,25-07-2023 13:10:00,1090.4602,1241.0069,
34.13,49970,F4E392E44540,1690280400,25-07-2023 13:20:00,1099.5682,1251.3983,
34.13,48576,F4E392E44540,1690281000,25-07-2023 13:30:00,1068.9002,1216.4089,
34.19,46462,F4E392E44540,1690281600,25-07-2023 13:40:00,1022.3922,1163.3475,
34.44,46394,F4E392E44540,1690282200,25-07-2023 13:50:00,1020.8962,1161.6407,
34.56,46603,F4E392E44540,1690282800,25-07-2023 14:00:00,1025.4942,1166.8866,
34.75,46970,F4E392E44540,1690283400,25-07-2023 14:10:00,1033.5682,1176.0983,
34.81,45770,F4E392E44540,1690284000,25-07-2023 14:20:00,1007.1682,1145.9783,
35.13,45475,F4E392E44540,1690284600,25-07-2023 14:30:00,1000.6782,1138.5738,
35.19,41981,F4E392E44540,1690285200,25-07-2023 14:40:00,923.8102,1050.8744,
