data2,data1,loggerUid,logDateTime,dateTime,PAR,control
33.31,65535,FA8B2BD07632,1690268400,25-07-2023 10:00:00,1839.6824,
33.38,31868,FA8B2BD07632,1690269000,25-07-2023 10:10:00,893.6397,
33.44,26553,FA8B2BD07632,1690269600,25-07-2023 10:20:00,744.2882,
33.63,28344,FA8B2BD07632,1690270200,25-07-2023 10:30:00,794.6153,
33.63,30693,FA8B2BD07632,1690270800,25-07-2023 10:40:00,860.6222,
33.69,36750,FA8B2BD07632,1690271400,25-07-2023 10:50:00,1030.8239,
33.75,41415,FA8B2BD07632,1690272000,25-07-2023 11:00:00,1161.9104,
33.81,43105,FA8B2BD07632,1690272600,25-07-2023 11:10:00,1209.3994,
33.88,41958,FA8B2BD07632,1690273200,25-07-2023 11:20:00,1177.1687,
34.06,46148,FA8B2BD07632,1690273800,25-07-2023 11:30:00,1294.9077,
34.13,45295,FA8B2BD07632,1690274400,25-07-2023 11:40:00,1270.9384,
34.25,44166,FA8B2BD07632,1690275000,25-07-2023 11:50:00,1239.2135,
34.31,47780,FA8B2BD07632,1690275600,25-07-2023 12:00:00,1340.7669,
34.5,48879,FA8B2BD07632,1690276200,25-07-2023 12:10:00,1371.6488,
34.56,49043,FA8B2BD07632,1690276800,25-07-2023 12:20:00,1376.2572,
34.31,49265,FA8B2BD07632,1690277400,25-07-2023 12:30:00,1382.4954,
34.13,48645,FA8B2BD07632,1690278000,25-07-2023 12:40:00,1365.0734,
34.19,49603,FA8B2BD07632,1690278600,25-07-2023 12:50:00,1391.9932,
34.13,49393,FA8B2BD07632,1690279200,25-07-2023 13:00:00,1386.0922,
34.13,49419,FA8B2BD07632,1690279800,25-07-2023 13:10:00,1386.8228,
34.13,49612,FA8B2BD07632,1690280400,25-07-2023 13:20:00,1392.2461,
34.13,48540,FA8B2BD07632,1690281000,25-07-2023 13:30:00,1362.1229,
34.19,46090,FA8B2BD07632,1690281600,25-07-2023 13:40:00,1293.2779,
34.44,46134,FA8B2BD07632,1690282200,25-07-2023 13:50:00,1294.5143,
34.56,46397,FA8B2BD07632,1690282800,25-07-2023 14:00:00,1301.9046,
34.75,46668,FA8B2BD07632,1690283400,25-07-2023 14:10:00,1309.5197,
34.75,45525,FA8B2BD07632,1690284000,25-07-2023 14:20:00,1277.4014,
35.06,45184,FA8B2BD07632,1690284600,25-07-2023 14:30:00,1267.8193,
35.19,41667,FA8B2BD07632,1690285200,25-07-2023 14:40:00,1168.9916,
35.25,38978,FA8B2BD07632,1690285800,25-07-2023 14:50:00,1093.4307,
35.38,39404,FA8B2BD07632,1690286400,25-07-2023 15:00:00,1105.4013,
35.44,39562,FA8B2BD07632,1690287000,25-07-2023 15:10:00,1109.8411,
35.56,37262,FA8B2BD07632,1690287600,25-07-2023 15:20:00,1045.2111,
35.75,38355,FA8B2BD07632,1690288200,25-07-2023 15:30:00,1075.9244,
35.75,36749,FA8B2BD07632,1690288800,25-07-2023 15:40:00,1030.7958,
35.75,33593,FA8B2BD07632,1690289400,25-07-2023 15:50:00,942.1122,
35.69,31489,FA8B2BD07632,1690290000,25-07-2023 16:00:00,882.9898,
35.5,27498,FA8B2BD07632,1690290600,25-07-2023 16:10:00,770.8427,
35.38,25010,FA8B2BD07632,1690291200,25-07-2023 16:20:00,700.9299,
35.13,23559,FA8B2BD07632,1690291800,25-07-2023 16:30:00,660.1568,
35.06,20860,FA8B2BD07632,1690292400,25-07-2023 16:40:00,584.3149,
35,17715,FA8B2BD07632,1690293000,25-07-2023 16:50:00,495.9404,
