data2,data1,loggerUid,logDateTime,dateTime,PAR,hand cleaned
33.31,65535,C61B721D5ABA,1690268400,25-07-2023 10:00:00,1303.5988,
33.38,39438,C61B721D5ABA,1690269000,25-07-2023 10:10:00,784.2685,
33.44,41895,C61B721D5ABA,1690269600,25-07-2023 10:20:00,833.1628,
33.5,42785,C61B721D5ABA,1690270200,25-07-2023 10:30:00,850.8738,
33.5,42117,C61B721D5ABA,1690270800,25-07-2023 10:40:00,837.5806,
33.63,44364,C61B721D5ABA,1690271400,25-07-2023 10:50:00,882.2959,
33.69,45215,C61B721D5ABA,1690272000,25-07-2023 11:00:00,899.2308,
33.75,46783,C61B721D5ABA,1690272600,25-07-2023 11:10:00,930.434,
33.88,47479,C61B721D5ABA,1690273200,25-07-2023 11:20:00,944.2844,
34.06,48616,C61B721D5ABA,1690273800,25-07-2023 11:30:00,966.9107,
34.06,46792,C61B721D5ABA,1690274400,25-07-2023 11:40:00,930.6131,
34.19,46061,C61B721D5ABA,1690275000,25-07-2023 11:50:00,916.0662,
34.38,46964,C61B721D5ABA,1690275600,25-07-2023 12:00:00,934.0359,
34.38,48174,C61B721D5ABA,1690276200,25-07-2023 12:10:00,958.1149,
34.44,47774,C61B721D5ABA,1690276800,25-07-2023 12:20:00,950.1549,
34.06,47783,C61B721D5ABA,1690277400,25-07-2023 12:30:00,950.334,
33.94,46820,C61B721D5ABA,1690278000,25-07-2023 12:40:00,931.1703,
33.94,47358,C61B721D5ABA,1690278600,25-07-2023 12:50:00,941.8765,
33.94,47018,C61B721D5ABA,1690279200,25-07-2023 13:00:00,935.1105,
33.88,46830,C61B721D5ABA,1690279800,25-07-2023 13:10:00,931.3693,
33.88,46673,C61B721D5ABA,1690280400,25-07-2023 13:20:00,928.245,
33.88,45495,C61B721D5ABA,1690281000,25-07-2023 13:30:00,904.8028,
34,42999,C61B721D5ABA,1690281600,25-07-2023 13:40:00,855.1324,
34.13,42004,C61B721D5ABA,1690282200,25-07-2023 13:50:00,835.3319,
34.25,41351,C61B721D5ABA,1690282800,25-07-2023 14:00:00,822.3372,
34.44,41577,C61B721D5ABA,1690283400,25-07-2023 14:10:00,826.8346,
34.5,40427,C61B721D5ABA,1690284000,25-07-2023 14:20:00,803.9496,
34.75,40142,C61B721D5ABA,1690284600,25-07-2023 14:30:00,798.2781,
34.88,37250,C61B721D5ABA,1690285200,25-07-2023 14:40:00,740.7273,
34.94,34618,C61B721D5ABA,1690285800,25-07-2023 14:50:00,688.3505,
35.06,35115,C61B721D5ABA,1690286400,25-07-2023 15:00:00,698.2408,
35.13,35032,C61B721D5ABA,1690287000,25-07-2023 15:10:00,696.5891,
35.13,33032,C61B721D5ABA,1690287600,25-07-2023 15:20:00,656.7891,
35.31,33817,C61B721D5ABA,1690288200,25-07-2023 15:30:00,672.4106,
35.44,32244,C61B721D5ABA,1690288800,25-07-2023 15:40:00,641.1079,
35.38,29616,C61B721D5ABA,1690289400,25-07-2023 15:50:00,588.8107,
35.31,27857,C61B721D5ABA,1690290000,25-07-2023 16:00:00,553.8066,
35,24695,C61B721D5ABA,1690290600,25-07-2023 16:10:00,490.8828,
34.94,22916,C61B721D5ABA,1690291200,25-07-2023 16:20:00,455.4807,
34.75,22180,C61B721D5ABA,1690291800,25-07-2023 16:30:00,440.8343,
34.63,20036,C61B721D5ABA,1690292400,25-07-2023 16:40:00,398.1687,
34.56,17536,C61B721D5ABA,1690293000,25-07-2023 16:50:00,348.4187,
34.5,15606,C61B721D5ABA,1690293600,25-07-2023 17:00:00,310.0117,
34.44,13627,C61B721D5ABA,1690294200,25-07-2023 17:10:00,270.6296,
34.44,11756,C61B721D5ABA,1690294800,25-07-2023 17:20:00,233.3967,
34.5,10457,C61B721D5ABA,1690295400,25-07-2023 17:30:00,207.5466,
34.5,9817,C61B721D5ABA,1690296000,25-07-2023 17:40:00,194.8106,
34.38,8512,C61B721D5ABA,1690296600,25-07-2023 17:50:00,168.8411,
34.19,7117,C61B721D5ABA,1690297200,25-07-2023 18:00:00,141.0806,
34.25,5558,C61B721D5ABA,1690297800,25-07-2023 18:10:00,110.0565,
34.19,4125,C61B721D5ABA,1690298400,25-07-2023 18:20:00,81.5398,
34.19,3006,C61B721D5ABA,1690299000,25-07-2023 18:30:00,59.2717,
34.19,2110,C61B721D5ABA,1690299600,25-07-2023 18:40:00,41.4413,
34.06,1281,C61B721D5ABA,1690300200,25-07-2023 18:50:00,24.9442,
34,623,C61B721D5ABA,1690300800,25-07-2023 19:00:00,11.85,
33.94,206,C61B721D5ABA,1690301400,25-07-2023 19:10:00,3.5517,
34,54,C61B721D5ABA,1690302000,25-07-2023 19:20:00,0.5269,
33.94,8,C61B721D5ABA,1690302600,25-07-2023 19:30:00,-0.3885,
33.69,0,C61B721D5ABA,1690303200,25-07-2023 19:40:00,-0.5477,
33.56,0,C61B721D5ABA,1690303800,25-07-2023 19:50:00,-0.5477,
