data2,data1,loggerUid,logDateTime,dateTime,PAR,control
40.19,42467,CDFB19377155,1690268400,25-07-2023 10:00:00,794.8612,
41.13,22417,CDFB19377155,1690269000,25-07-2023 10:10:00,421.9312,
41.19,21933,CDFB19377155,1690269600,25-07-2023 10:20:00,412.9288,
40.19,31734,CDFB19377155,1690270200,25-07-2023 10:30:00,595.2274,
34.69,44149,CDFB19377155,1690270800,25-07-2023 10:40:00,826.1464,
33.81,62036,CDFB19377155,1690271400,25-07-2023 10:50:00,1158.8446,
33.81,62405,CDFB19377155,1690272000,25-07-2023 11:00:00,1165.708,
33.88,63294,CDFB19377155,1690272600,25-07-2023 11:10:00,1182.2434,
33.94,62651,CDFB19377155,1690273200,25-07-2023 11:20:00,1170.2836,
34.13,65535,CDFB19377155,1690273800,25-07-2023 11:30:00,1223.926,
34.19,65535,CDFB19377155,1690274400,25-07-2023 11:40:00,1223.926,
34.25,55652,CDFB19377155,1690275000,25-07-2023 11:50:00,1040.1022,
34.38,56826,CDFB19377155,1690275600,25-07-2023 12:00:00,1061.9386,
34.56,58144,CDFB19377155,1690276200,25-07-2023 12:10:00,1086.4534,
34.56,57601,CDFB19377155,1690276800,25-07-2023 12:20:00,1076.3536,
34.25,57574,CDFB19377155,1690277400,25-07-2023 12:30:00,1075.8514,
34.13,56394,CDFB19377155,1690278000,25-07-2023 12:40:00,1053.9034,
34.13,56936,CDFB19377155,1690278600,25-07-2023 12:50:00,1063.9846,
34.06,56379,CDFB19377155,1690279200,25-07-2023 13:00:00,1053.6244,
34.13,56036,CDFB19377155,1690279800,25-07-2023 13:10:00,1047.2446,
34.13,55812,CDFB19377155,1690280400,25-07-2023 13:20:00,1043.0782,
34.06,54028,CDFB19377155,1690281000,25-07-2023 13:30:00,1009.8958,
34.25,51283,CDFB19377155,1690281600,25-07-2023 13:40:00,958.8388,
34.38,50575,CDFB19377155,1690282200,25-07-2023 13:50:00,945.67,
34.5,50492,CDFB19377155,1690282800,25-07-2023 14:00:00,944.1262,
34.63,50616,CDFB19377155,1690283400,25-07-2023 14:10:00,946.4326,
34.69,48864,CDFB19377155,1690284000,25-07-2023 14:20:00,913.8454,
34.94,48163,CDFB19377155,1690284600,25-07-2023 14:30:00,900.8068,
35,44358,CDFB19377155,1690285200,25-07-2023 14:40:00,830.0338,
35.06,40931,CDFB19377155,1690285800,25-07-2023 14:50:00,766.2916,
35.13,41201,CDFB19377155,1690286400,25-07-2023 15:00:00,771.3136,
35.31,40904,CDFB19377155,1690287000,25-07-2023 15:10:00,765.7894,
35.25,38338,CDFB19377155,1690287600,25-07-2023 15:20:00,718.0618,
35.25,39190,CDFB19377155,1690288200,25-07-2023 15:30:00,733.909,
35.38,36606,CDFB19377155,1690288800,25-07-2023 15:40:00,685.8466,
35.38,33162,CDFB19377155,1690289400,25-07-2023 15:50:00,621.7882,
35.38,31156,CDFB19377155,1690290000,25-07-2023 16:00:00,584.4766,
35.19,27756,CDFB19377155,1690290600,25-07-2023 16:10:00,521.2366,
35.19,25505,CDFB19377155,1690291200,25-07-2023 16:20:00,479.368,
35.06,24719,CDFB19377155,1690291800,25-07-2023 16:30:00,464.7484,
34.88,22289,CDFB19377155,1690292400,25-07-2023 16:40:00,419.5504,
34.75,19486,CDFB19377155,1690293000,25-07-2023 16:50:00,367.4146,
34.69,17298,CDFB19377155,1690293600,25-07-2023 17:00:00,326.7178,
34.56,15043,CDFB19377155,1690294200,25-07-2023 17:10:00,284.7748,
34.56,12985,CDFB19377155,1690294800,25-07-2023 17:20:00,246.496,
34.63,11597,CDFB19377155,1690295400,25-07-2023 17:30:00,220.6792,
