data2,data1,loggerUid,logDateTime,dateTime,PAR,control
33.5,65535,ED7289BB7CC1,1690268400,25-07-2023 10:00:00,891.7858,
33.5,48003,ED7289BB7CC1,1690269000,25-07-2023 10:10:00,653.3506,
33.63,51060,ED7289BB7CC1,1690269600,25-07-2023 10:20:00,694.9258,
33.69,52596,ED7289BB7CC1,1690270200,25-07-2023 10:30:00,715.8154,
33.63,52189,ED7289BB7CC1,1690270800,25-07-2023 10:40:00,710.2802,
33.75,54970,ED7289BB7CC1,1690271400,25-07-2023 10:50:00,748.1018,
33.81,55672,ED7289BB7CC1,1690272000,25-07-2023 11:00:00,757.649,
33.94,58045,ED7289BB7CC1,1690272600,25-07-2023 11:10:00,789.9218,
34.06,58809,ED7289BB7CC1,1690273200,25-07-2023 11:20:00,800.3122,
34.19,60617,ED7289BB7CC1,1690273800,25-07-2023 11:30:00,824.901,
34.25,58445,ED7289BB7CC1,1690274400,25-07-2023 11:40:00,795.3618,
34.31,56313,ED7289BB7CC1,1690275000,25-07-2023 11:50:00,766.3666,
34.44,57391,ED7289BB7CC1,1690275600,25-07-2023 12:00:00,781.0274,
34.56,59190,ED7289BB7CC1,1690276200,25-07-2023 12:10:00,805.4938,
34.63,59147,ED7289BB7CC1,1690276800,25-07-2023 12:20:00,804.909,
34.25,59266,ED7289BB7CC1,1690277400,25-07-2023 12:30:00,806.5274,
34.13,58451,ED7289BB7CC1,1690278000,25-07-2023 12:40:00,795.4434,
34.13,59646,ED7289BB7CC1,1690278600,25-07-2023 12:50:00,811.6954,
34.13,59830,ED7289BB7CC1,1690279200,25-07-2023 13:00:00,814.1978,
34.13,59135,ED7289BB7CC1,1690279800,25-07-2023 13:10:00,804.7458,
34.06,59299,ED7289BB7CC1,1690280400,25-07-2023 13:20:00,806.9762,
34.06,57742,ED7289BB7CC1,1690281000,25-07-2023 13:30:00,785.801,
34.19,55269,ED7289BB7CC1,1690281600,25-07-2023 13:40:00,752.1682,
34.31,54853,ED7289BB7CC1,1690282200,25-07-2023 13:50:00,746.5106,
34.44,55303,ED7289BB7CC1,1690282800,25-07-2023 14:00:00,752.6306,
34.69,55898,ED7289BB7CC1,1690283400,25-07-2023 14:10:00,760.7226,
34.69,53821,ED7289BB7CC1,1690284000,25-07-2023 14:20:00,732.4754,
34.94,53432,ED7289BB7CC1,1690284600,25-07-2023 14:30:00,727.185,
35.06,49516,ED7289BB7CC1,1690285200,25-07-2023 14:40:00,673.9274,
35.13,46123,ED7289BB7CC1,1690285800,25-07-2023 14:50:00,627.7826,
35.25,46643,ED7289BB7CC1,1690286400,25-07-2023 15:00:00,634.8546,
35.25,46644,ED7289BB7CC1,1690287000,25-07-2023 15:10:00,634.8682,
35.31,44116,ED7289BB7CC1,1690287600,25-07-2023 15:20:00,600.4874,
35.5,45049,ED7289BB7CC1,1690288200,25-07-2023 15:30:00,613.1762,
