MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-296666,,,,,,,,,
Concatenation Date: 2023Aug09 10:54:55 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.48,22.12,6.52355,94.358894,0.914,296666,wiper
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.49,22.521,6.47328,94.289722,0.914,296666,wiper
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.49,23.786,6.349506,94.527464,0.914,296666,wiper
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.49,24.642,6.268487,94.688731,0.914,296666,wiper
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.48,25.24,6.220375,94.912037,0.915,296666,wiper
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.49,25.754,6.167284,94.913038,0.914,296666,wiper
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.48,26.193,6.131679,95.054915,0.914,296666,wiper
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.49,26.599,6.098864,95.18169,0.915,296666,wiper
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.49,27.652,6.008855,95.405076,0.915,296666,wiper
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.48,29.742,5.807138,95.344889,0.914,296666,wiper
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.48,28.437,5.95038,95.682803,0.915,296666,wiper
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.48,27.108,6.077331,95.640796,0.915,296666,wiper
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.49,26.058,6.179032,95.575116,0.916,296666,wiper
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.49,25.29,6.245573,95.376356,0.915,296666,wiper
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.49,24.525,6.326974,95.383355,0.916,296666,wiper
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.49,24.012,6.372546,95.237141,0.916,296666,wiper
