MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-616834,,,,,,,,,
Concatenation Date: 2023Aug09 10:55:24 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.51,22.011,6.745002,97.375818,0.936,616834,control
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.51,22.354,6.718822,97.581784,0.937,616834,control
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.51,23.123,6.654509,97.946311,0.937,616834,control
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.51,23.718,6.595147,98.070269,0.937,616834,control
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.51,24.221,6.548121,98.209747,0.938,616834,control
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.51,24.658,6.501854,98.240406,0.938,616834,control
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.51,25.061,6.461497,98.295527,0.938,616834,control
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.51,25.44,6.417616,98.24983,0.937,616834,control
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.51,26.318,6.333991,98.394298,0.937,616834,control
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.51,27.93,6.180214,98.569022,0.938,616834,control
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.51,27.046,6.256509,98.360778,0.938,616834,control
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.51,26.208,6.319329,97.988231,0.937,616834,control
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.52,25.491,6.393433,97.963022,0.937,616834,control
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.52,24.969,6.445407,97.899282,0.937,616834,control
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.52,24.456,6.489372,97.717405,0.936,616834,control
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.52,24.095,6.525297,97.657938,0.936,616834,control
1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,3.52,23.693,6.571034,97.669909,0.937,616834,control
1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,3.52,23.408,6.596518,97.570531,0.936,616834,control
1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,3.52,23.098,6.626445,97.491157,0.936,616834,control
1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,3.52,22.881,6.649425,97.462835,0.936,616834,control
1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,3.52,22.621,6.682997,97.513966,0.937,616834,control
1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,3.52,22.429,6.695096,97.364499,0.936,616834,control
1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,3.52,22.237,6.719862,97.397614,0.936,616834,control
