MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-244206,,,,,,,,,
Concatenation Date: 2023Aug09 10:54:42 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.51,22.477,6.631405,96.518977,0.952,244206,control
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.5,23.155,6.527834,96.134877,0.951,244206,control
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.51,24.387,6.401924,96.287969,0.95,244206,control
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.5,25.328,6.321648,96.599525,0.951,244206,control
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.5,26.197,6.233049,96.632767,0.951,244206,control
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.5,26.993,6.168917,96.899619,0.951,244206,control
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.5,27.784,6.091654,96.927072,0.951,244206,control
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.5,28.484,6.041281,97.217944,0.952,244206,control
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.5,29.075,5.995346,97.39644,0.952,244206,control
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.5,29.523,5.966453,97.620931,0.952,244206,control
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.5,29.136,6.019133,97.87811,0.954,244206,control
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.5,28.382,6.099594,97.995423,0.955,244206,control
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.5,27.503,6.188169,98.014469,0.956,244206,control
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.51,26.654,6.260677,97.795447,0.956,244206,control
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.51,25.876,6.327974,97.583766,0.955,244206,control
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.51,25.152,6.407482,97.622826,0.956,244206,control
