MiniDOT Logger Concatenated Data File
Sensor:             7450-244206
Concatenation Date: 2023Feb21 18:18:00 AST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1670482740,           2022-12-08 06:59:00,           2022-12-08 09:59:00,      3.510000,     28.364000,         10.601000,                   136.306640,      0.954000
                1670483640,           2022-12-08 07:14:00,           2022-12-08 10:14:00,      3.510000,     28.347000,          7.282000,                    93.603229,      0.952000
                1670484540,           2022-12-08 07:29:00,           2022-12-08 10:29:00,      3.510000,     28.373000,          7.285000,                    93.684676,      0.952000
                1670485440,           2022-12-08 07:44:00,           2022-12-08 10:44:00,      3.510000,     28.399000,          7.305000,                    93.984882,      0.952000
                1670486340,           2022-12-08 07:59:00,           2022-12-08 10:59:00,      3.510000,     28.356000,          7.411000,                    95.276503,      0.953000
                1670487240,           2022-12-08 08:14:00,           2022-12-08 11:14:00,      3.510000,     28.356000,          7.484000,                    96.214997,      0.953000
                1670488140,           2022-12-08 08:29:00,           2022-12-08 11:29:00,      3.510000,     28.339000,          7.382000,                    94.875264,      0.953000
                1670489040,           2022-12-08 08:44:00,           2022-12-08 11:44:00,      3.520000,     28.364000,          7.413000,                    95.315642,      0.953000
                1670489940,           2022-12-08 08:59:00,           2022-12-08 11:59:00,      3.520000,     28.356000,          7.396000,                    95.083661,      0.952000
                1670490840,           2022-12-08 09:14:00,           2022-12-08 12:14:00,      3.520000,     28.399000,          7.565000,                    97.329998,      0.953000
                1670491740,           2022-12-08 09:29:00,           2022-12-08 12:29:00,      3.520000,     28.407000,          7.480000,                    96.249954,      0.953000
                1670492640,           2022-12-08 09:44:00,           2022-12-08 12:44:00,      3.520000,     28.424000,          7.448000,                    95.866865,      0.953000
                1670493540,           2022-12-08 09:59:00,           2022-12-08 12:59:00,      3.520000,     28.484000,          7.478000,                    96.354643,      0.953000
                1670494440,           2022-12-08 10:14:00,           2022-12-08 13:14:00,      3.520000,     28.450000,          7.519000,                    96.825020,      0.953000
                1670495340,           2022-12-08 10:29:00,           2022-12-08 13:29:00,      3.520000,     28.441000,          7.547000,                    97.170201,      0.952000
                1670496240,           2022-12-08 10:44:00,           2022-12-08 13:44:00,      3.520000,     28.527000,          7.588000,                    97.845930,      0.953000
                1670497140,           2022-12-08 10:59:00,           2022-12-08 13:59:00,      3.520000,     28.510000,          7.658000,                    98.719069,      0.953000
                1670498040,           2022-12-08 11:14:00,           2022-12-08 14:14:00,      3.520000,     28.544000,          7.711000,                    99.461700,      0.953000
                1670498940,           2022-12-08 11:29:00,           2022-12-08 14:29:00,      3.520000,     28.553000,          7.641000,                    98.574377,      0.953000
                1670499840,           2022-12-08 11:44:00,           2022-12-08 14:44:00,      3.520000,     28.587000,          7.746000,                    99.988643,      0.954000
                1670500740,           2022-12-08 11:59:00,           2022-12-08 14:59:00,      3.520000,     28.587000,          7.711000,                    99.536849,      0.953000
                1670501640,           2022-12-08 12:14:00,           2022-12-08 15:14:00,      3.520000,     28.561000,          7.632000,                    98.472108,      0.953000
                1670502540,           2022-12-08 12:29:00,           2022-12-08 15:29:00,      3.520000,     28.570000,          7.664000,                    98.900622,      0.952000
                1670503440,           2022-12-08 12:44:00,           2022-12-08 15:44:00,      3.520000,     28.570000,          7.690000,                    99.236141,      0.953000
                1670504340,           2022-12-08 12:59:00,           2022-12-08 15:59:00,      3.520000,     28.553000,          7.664000,                    98.871093,      0.952000
                1670505240,           2022-12-08 13:14:00,           2022-12-08 16:14:00,      3.520000,     28.518000,          7.639000,                    98.487988,      0.953000
                1670506140,           2022-12-08 13:29:00,           2022-12-08 16:29:00,      3.530000,     28.510000,          7.627000,                    98.319449,      0.953000
                1670507040,           2022-12-08 13:44:00,           2022-12-08 16:44:00,      3.530000,     28.493000,          7.603000,                    97.980781,      0.953000
