7450-616834
OS REV: 1.05 Sensor Cal: 1677879726
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1691057460,+3.55,+36.223, +9.986,+0.917
1691058060,+3.54,+36.367,+10.345,+0.918
1691058660,+3.54,+36.412,+10.128,+0.918
1691059260,+3.54,+36.458,+10.557,+0.918
1691059860,+3.54,+36.467,+11.008,+0.917
1691060460,+3.54,+36.458,+11.161,+0.917
1691061060,+3.54,+36.476,+11.529,+0.918
1691061660,+3.54,+36.458,+11.441,+0.918
1691062260,+3.54,+36.458,+11.199,+0.917
1691062860,+3.54,+36.467,+11.267,+0.916
1691063460,+3.54,+36.449,+10.994,+0.917
1691064060,+3.54,+36.458,+10.809,+0.917
1691064660,+3.54,+36.467,+10.537,+0.917
1691065260,+3.54,+36.476,+10.404,+0.917
1691065860,+3.54,+36.458,+10.417,+0.916
1691066460,+3.55,+36.449,+10.415,+0.919
1691067060,+3.55,+36.376,+10.415,+0.917
1691067660,+3.55,+36.250,+10.341,+0.918
1691068260,+3.55,+36.106,+10.436,+0.919
1691068860,+3.55,+35.971,+10.185,+0.922
1691069460,+3.55,+35.827,+10.015,+0.921
1691070060,+3.55,+35.747, +9.878,+0.921
1691070660,+3.55,+35.684, +9.876,+0.922
1691071260,+3.55,+35.549, +9.769,+0.921
1691071860,+3.55,+35.370, +9.592,+0.922
1691072460,+3.55,+35.182, +9.443,+0.922
1691073060,+3.55,+35.075, +9.436,+0.925
1691073660,+3.55,+35.012, +9.350,+0.924
1691074260,+3.55,+34.843, +9.282,+0.926
1691074860,+3.56,+34.638, +9.045,+0.924
1691075460,+3.56,+34.389, +8.749,+0.926
1691076060,+3.55,+34.247, +8.549,+0.926
1691076660,+3.55,+34.069, +8.380,+0.925
1691077260,+3.55,+33.998, +8.168,+0.926
1691077860,+3.55,+33.830, +8.036,+0.926
1691078460,+3.55,+33.768, +7.827,+0.927
1691079060,+3.56,+33.697, +7.650,+0.927
1691079660,+3.56,+33.609, +7.481,+0.927
1691080260,+3.56,+33.520, +7.281,+0.926
1691080860,+3.56,+33.441, +7.131,+0.926
1691081460,+3.56,+33.361, +7.012,+0.927
1691082060,+3.56,+33.370, +6.849,+0.926
1691082660,+3.56,+33.326, +6.737,+0.927
1691083260,+3.56,+33.308, +6.569,+0.926
1691083860,+3.56,+33.282, +6.313,+0.927
1691084460,+3.56,+33.264, +6.165,+0.927
1691085060,+3.56,+33.220, +6.001,+0.926
1691085660,+3.56,+33.220, +5.882,+0.925
1691086260,+3.56,+33.194, +5.795,+0.926
1691086860,+3.56,+33.176, +5.767,+0.926
1691087460,+3.56,+33.132, +5.690,+0.926
1691088060,+3.56,+33.132, +5.641,+0.926
1691088660,+3.55,+33.088, +5.605,+0.926
1691089260,+3.55,+33.053, +5.623,+0.927
1691089860,+3.55,+33.035, +5.735,+0.927
1691090460,+3.55,+33.026, +5.609,+0.927
1691091060,+3.55,+32.991, +5.357,+0.925
1691091660,+3.55,+32.956, +5.260,+0.926
1691092260,+3.55,+32.938, +5.250,+0.926
1691092860,+3.55,+32.974, +5.279,+0.926
1691093460,+3.55,+33.026, +5.383,+0.926
1691094060,+3.55,+33.132, +5.499,+0.926
1691094660,+3.56,+33.282, +5.554,+0.926
1691095260,+3.56,+33.317, +5.391,+0.926
1691095860,+3.56,+33.308, +5.313,+0.925
1691096460,+3.56,+33.229, +5.293,+0.926
1691097060,+3.56,+33.282, +5.317,+0.925
1691097660,+3.56,+33.300, +5.238,+0.926
1691098260,+3.56,+33.291, +5.339,+0.926
1691098860,+3.56,+33.255, +5.229,+0.925
1691099460,+3.56,+33.158, +4.944,+0.925
1691100060,+3.55,+33.097, +4.769,+0.924
1691100660,+3.55,+33.062, +4.825,+0.926
1691101260,+3.55,+33.035, +4.766,+0.926
1691101860,+3.55,+33.035, +4.828,+0.925
1691102460,+3.55,+33.009, +4.811,+0.925
1691103060,+3.55,+32.982, +4.877,+0.926
1691103660,+3.55,+32.886, +4.852,+0.926
1691104260,+3.55,+32.815, +4.771,+0.926
1691104860,+3.55,+32.763, +4.840,+0.927
1691105460,+3.55,+32.719, +4.864,+0.927
1691106060,+3.55,+32.719, +4.975,+0.927
1691106660,+3.56,+32.359, +4.332,+0.926
1691107260,+3.56,+32.201, +4.231,+0.926
1691107860,+3.56,+32.201, +4.153,+0.926
1691108460,+3.56,+32.079, +3.867,+0.926
1691109060,+3.55,+31.773, +3.460,+0.925
1691109660,+3.55,+31.546, +3.301,+0.925
1691110260,+3.56,+31.372, +3.103,+0.925
1691110860,+3.56,+31.277, +2.893,+0.925
1691111460,+3.56,+31.216, +2.759,+0.925
1691112060,+3.56,+31.250, +2.828,+0.926
1691112660,+3.56,+31.259, +2.875,+0.926
1691113260,+3.56,+31.285, +2.694,+0.926
1691113860,+3.56,+31.294, +2.680,+0.927
1691114460,+3.56,+31.407, +2.621,+0.926
1691115060,+3.56,+31.372, +2.405,+0.926
1691115660,+3.56,+31.364, +2.512,+0.927
1691116260,+3.55,+31.459, +2.546,+0.927
1691116860,+3.55,+31.712, +2.975,+0.928
1691117460,+3.56,+32.228, +3.559,+0.928
1691118060,+3.55,+32.438, +3.616,+0.927
1691118660,+3.56,+32.420, +3.482,+0.927
1691119260,+3.55,+32.385, +3.602,+0.927
1691119860,+3.55,+32.438, +3.883,+0.928
1691120460,+3.55,+32.464, +4.082,+0.927
1691121060,+3.55,+32.561, +4.266,+0.927
1691121660,+3.55,+32.543, +4.205,+0.927
1691122260,+3.55,+32.464, +4.385,+0.928
1691122860,+3.55,+32.499, +4.703,+0.927
1691123460,+3.55,+32.561, +5.029,+0.927
1691124060,+3.55,+32.806, +5.888,+0.927
1691124660,+3.55,+32.903, +6.223,+0.927
1691125260,+3.55,+32.965, +6.381,+0.926
1691125860,+3.55,+33.026, +6.318,+0.926
1691126460,+3.55,+33.150, +6.740,+0.926
1691127060,+3.55,+33.273, +7.174,+0.927
1691127660,+3.55,+33.326, +7.375,+0.926
1691128260,+3.55,+33.317, +7.633,+0.927
1691128860,+3.55,+33.308, +7.504,+0.926
1691129460,+3.55,+33.432, +7.786,+0.926
1691130060,+3.55,+33.467, +8.194,+0.925
1691130660,+3.55,+33.609, +8.188,+0.926
1691131260,+3.55,+33.732, +8.498,+0.925
1691131860,+3.55,+33.803, +8.443,+0.925
1691132460,+3.55,+33.732, +8.348,+0.926
1691133060,+3.55,+33.724, +8.610,+0.925
1691133660,+3.55,+34.025, +9.031,+0.924
1691134260,+3.55,+34.282, +9.134,+0.924
1691134860,+3.55,+34.513, +9.486,+0.923
1691135460,+3.55,+34.620, +9.409,+0.924
1691136060,+3.55,+34.656, +9.313,+0.923
1691136660,+3.55,+34.754, +9.460,+0.924
1691137260,+3.55,+34.798, +9.452,+0.923
1691137860,+3.55,+34.807, +9.707,+0.923
1691138460,+3.55,+34.852,+10.221,+0.923
1691139060,+3.55,+34.861,+10.117,+0.924
1691139660,+3.55,+34.950,+10.160,+0.923
1691140260,+3.55,+35.012,+10.562,+0.923
1691140860,+3.55,+35.128,+10.577,+0.922
1691141460,+3.55,+35.164,+10.969,+0.922
1691142060,+3.55,+35.227,+11.542,+0.922
1691142660,+3.55,+35.289,+12.136,+0.923
1691143260,+3.55,+35.343,+12.541,+0.923
1691143860,+3.55,+35.460,+12.918,+0.921
