MiniDOT Logger Concatenated Data File
Sensor:             7450-616834
Concatenation Date: 2023Aug09 10:55:24 AST

DO concentration compensated for salinity: 40.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,      3.510000,     22.011000,          6.745002,                    97.375818,      0.936000
                1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,      3.510000,     22.354000,          6.718822,                    97.581784,      0.937000
                1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,      3.510000,     23.123000,          6.654509,                    97.946311,      0.937000
                1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,      3.510000,     23.718000,          6.595147,                    98.070269,      0.937000
                1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,      3.510000,     24.221000,          6.548121,                    98.209747,      0.938000
                1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,      3.510000,     24.658000,          6.501854,                    98.240406,      0.938000
                1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,      3.510000,     25.061000,          6.461497,                    98.295527,      0.938000
                1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,      3.510000,     25.440000,          6.417616,                    98.249830,      0.937000
                1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,      3.510000,     26.318000,          6.333991,                    98.394298,      0.937000
                1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,      3.510000,     27.930000,          6.180214,                    98.569022,      0.938000
                1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,      3.510000,     27.046000,          6.256509,                    98.360778,      0.938000
                1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,      3.510000,     26.208000,          6.319329,                    97.988231,      0.937000
                1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,      3.520000,     25.491000,          6.393433,                    97.963022,      0.937000
                1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,      3.520000,     24.969000,          6.445407,                    97.899282,      0.937000
                1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,      3.520000,     24.456000,          6.489372,                    97.717405,      0.936000
                1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,      3.520000,     24.095000,          6.525297,                    97.657938,      0.936000
                1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,      3.520000,     23.693000,          6.571034,                    97.669909,      0.937000
                1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,      3.520000,     23.408000,          6.596518,                    97.570531,      0.936000
                1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,      3.520000,     23.098000,          6.626445,                    97.491157,      0.936000
                1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,      3.520000,     22.881000,          6.649425,                    97.462835,      0.936000
                1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,      3.520000,     22.621000,          6.682997,                    97.513966,      0.937000
                1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,      3.520000,     22.429000,          6.695096,                    97.364499,      0.936000
                1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,      3.520000,     22.237000,          6.719862,                    97.397614,      0.936000
                1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,      3.520000,     22.053000,          6.740732,                    97.385879,      0.936000
                1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,      3.520000,     21.894000,          6.760286,                    97.396192,      0.936000
                1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,      3.520000,     21.760000,          6.767443,                    97.269740,      0.936000
                1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,      3.520000,     21.601000,          6.787760,                    97.288677,      0.936000
                1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,      3.520000,     21.442000,          6.805685,                    97.271901,      0.936000
                1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,      3.530000,     21.342000,          6.821919,                    97.331432,      0.936000
                1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,      3.530000,     21.233000,          6.833289,                    97.305380,      0.937000
                1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,      3.520000,     21.082000,          6.842568,                    97.176431,      0.936000
                1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,      3.520000,     20.974000,          6.865799,                    97.319038,      0.937000
                1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,      3.520000,     20.873000,          6.872494,                    97.238651,      0.937000
                1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,      3.520000,     20.790000,          6.880983,                    97.214569,      0.936000
                1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,      3.520000,     20.698000,          6.897265,                    97.284429,      0.936000
                1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,      3.520000,     20.622000,          6.901877,                    97.217100,      0.936000
                1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,      3.520000,     20.530000,          6.909453,                    97.163422,      0.936000
                1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,      3.530000,     20.472000,          6.919810,                    97.207823,      0.936000
                1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,      3.530000,     20.421000,          6.926299,                    97.209879,      0.936000
                1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,      3.530000,     20.388000,          6.927475,                    97.168734,      0.936000
                1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,      3.530000,     20.363000,          6.923218,                    97.065375,      0.936000
                1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,      3.530000,     20.296000,          6.935038,                    97.113929,      0.936000
                1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,      3.530000,     20.220000,          6.950692,                    97.199970,      0.937000
                1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,      3.530000,     20.162000,          6.964984,                    97.298004,      0.937000
                1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,      3.530000,     20.086000,          6.959305,                    97.085372,      0.936000
                1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,      3.520000,     19.994000,          6.971589,                    97.095129,      0.936000
                1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,      3.520000,     19.919000,          6.984078,                    97.137120,      0.936000
                1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,      3.520000,     19.844000,          6.989458,                    97.079915,      0.936000
                1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,      3.520000,     19.810000,          6.994559,                    97.090872,      0.936000
                1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,      3.520000,     19.760000,          7.013665,                    97.267786,      0.937000
                1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,      3.520000,     19.709000,          7.018549,                    97.245397,      0.937000
                1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,      3.520000,     19.718000,          7.016295,                    97.230058,      0.937000
                1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,      3.520000,     19.693000,          7.009667,                    97.094092,      0.936000
                1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,      3.520000,     19.684000,          7.005608,                    97.021996,      0.935000
                1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,      3.520000,     19.667000,          7.027491,                    97.294983,      0.937000
                1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,      3.520000,     19.642000,          7.026387,                    97.235477,      0.936000
                1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,      3.520000,     19.642000,          7.019284,                    97.137194,      0.936000
                1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,      3.520000,     19.651000,          7.020187,                    97.165587,      0.936000
                1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,      3.520000,     19.617000,          7.026071,                    97.186902,      0.936000
                1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,      3.520000,     19.609000,          7.018869,                    97.073140,      0.936000
                1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,      3.520000,     19.592000,          7.034436,                    97.258336,      0.937000
                1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,      3.530000,     19.592000,          7.022600,                    97.094694,      0.936000
                1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,      3.530000,     19.584000,          7.028811,                    97.166421,      0.936000
                1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,      3.520000,     19.558000,          7.030850,                    97.148598,      0.936000
                1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,      3.520000,     19.533000,          7.031323,                    97.110898,      0.936000
                1690226460,           2023-07-24 19:21:00,           2023-07-24 22:21:00,      3.520000,     19.550000,          7.029960,                    97.122146,      0.936000
                1690227060,           2023-07-24 19:31:00,           2023-07-24 22:31:00,      3.520000,     19.533000,          7.025011,                    97.023725,      0.936000
                1690227660,           2023-07-24 19:41:00,           2023-07-24 22:41:00,      3.520000,     19.558000,          7.034006,                    97.192207,      0.936000
