7450-925764
OS REV: 1.05 Sensor Cal: 1657225118
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1684406580,+3.53,+21.896, +8.432,+0.967
1684406880,+3.53,+21.804, +8.458,+0.968
1684407180,+3.53,+22.306, +8.406,+0.970
1684407480,+3.52,+28.109, +7.474,+0.970
1684407780,+3.52,+26.358, +7.763,+0.969
1684408080,+3.52,+24.957, +7.942,+0.969
1684408380,+3.52,+24.041, +8.072,+0.969
1684408680,+3.53,+23.471, +8.154,+0.969
1684408980,+3.53,+23.227, +8.193,+0.969
1684409280,+3.53,+23.798, +8.229,+0.972
1684409580,+3.52,+30.926, +7.698,+0.972
1684409880,+3.52,+32.158, +7.494,+0.969
1684410180,+3.52,+32.482, +7.423,+0.968
1684410480,+3.52,+32.641, +7.443,+0.968
1684410780,+3.52,+32.729, +7.462,+0.967
1684411080,+3.51,+32.738, +7.474,+0.968
1684411380,+3.52,+32.658, +7.419,+0.969
1684411680,+3.52,+32.738, +7.419,+0.968
1684411980,+3.52,+32.826, +7.506,+0.968
1684412280,+3.52,+32.870, +7.507,+0.968
1684412580,+3.52,+32.843, +7.391,+0.968
1684412880,+3.52,+32.861, +7.405,+0.969
1684413180,+3.52,+32.826, +7.461,+0.969
1684413480,+3.52,+32.905, +7.543,+0.969
1684413780,+3.52,+32.932, +7.533,+0.969
1684414080,+3.52,+32.932, +7.511,+0.968
1684414380,+3.52,+32.843, +7.520,+0.969
1684414680,+3.52,+32.843, +7.530,+0.970
1684414980,+3.52,+32.932, +7.517,+0.969
1684415280,+3.52,+32.887, +7.555,+0.969
1684415580,+3.53,+32.131, +7.063,+0.970
1684415880,+3.52,+31.659, +7.137,+0.969
1684416180,+3.53,+27.964, +7.230,+0.970
1684416480,+3.53,+25.910, +7.537,+0.972
1684416780,+3.53,+25.336, +7.653,+0.973
1684417080,+3.53,+25.067, +7.732,+0.974
1684417380,+3.53,+24.865, +7.761,+0.974
1684417680,+3.54,+24.562, +7.894,+0.974
1684417980,+3.54,+23.663, +8.053,+0.974
1684418280,+3.53,+23.219, +8.108,+0.973
