MiniDOT Logger Concatenated Data File
Sensor:             7450-925764
Concatenation Date: 2023Feb17 23:36:41 AST

DO concentration compensated for salinity: 41.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405800,           2023-02-03 06:30:00,           2023-02-03 09:30:00,      3.520000,     23.303000,          6.584972,                    97.787793,      0.967000
                1675406100,           2023-02-03 06:35:00,           2023-02-03 09:35:00,      3.520000,     23.378000,          6.576340,                    97.785406,      0.966000
                1675406400,           2023-02-03 06:40:00,           2023-02-03 09:40:00,      3.510000,     23.236000,          6.592111,                    97.781191,      0.966000
                1675406700,           2023-02-03 06:45:00,           2023-02-03 09:45:00,      3.510000,     23.127000,          6.608244,                    97.836867,      0.967000
                1675407000,           2023-02-03 06:50:00,           2023-02-03 09:50:00,      3.520000,     23.378000,          6.572392,                    97.726698,      0.966000
                1675407300,           2023-02-03 06:55:00,           2023-02-03 09:55:00,      3.510000,     25.260000,          6.338092,                    97.293813,      0.969000
                1675407600,           2023-02-03 07:00:00,           2023-02-03 10:00:00,      3.510000,     25.555000,          6.216732,                    95.901507,      0.967000
                1675407900,           2023-02-03 07:05:00,           2023-02-03 10:05:00,      3.510000,     25.674000,          6.224283,                    96.208206,      0.968000
                1675408200,           2023-02-03 07:10:00,           2023-02-03 10:10:00,      3.510000,     25.682000,          6.198998,                    95.830110,      0.967000
                1675408500,           2023-02-03 07:15:00,           2023-02-03 10:15:00,      3.510000,     25.589000,          6.175863,                    95.324966,      0.968000
                1675408800,           2023-02-03 07:20:00,           2023-02-03 10:20:00,      3.520000,     25.581000,          6.168649,                    95.200945,      0.968000
                1675409100,           2023-02-03 07:25:00,           2023-02-03 10:25:00,      3.510000,     25.581000,          6.150420,                    94.919611,      0.968000
                1675409400,           2023-02-03 07:30:00,           2023-02-03 10:30:00,      3.510000,     25.361000,          6.060257,                    93.185903,      0.967000
                1675409700,           2023-02-03 07:35:00,           2023-02-03 10:35:00,      3.510000,     25.201000,          6.018266,                    92.293198,      0.968000
