MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-715405,,,,,,,,,
Concatenation Date: 2023Aug09 10:55:31 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.51,22.326,6.825535,99.083201,0.918,715405,copper
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.51,22.586,6.796027,99.102888,0.917,715405,copper
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.51,23.164,6.739126,99.261958,0.918,715405,copper
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.51,23.398,6.713166,99.278826,0.918,715405,copper
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.51,23.616,6.689379,99.297906,0.918,715405,copper
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.51,23.876,6.658077,99.273795,0.917,715405,copper
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.51,24.136,6.63866,99.423885,0.918,715405,copper
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.51,24.329,6.621668,99.495108,0.918,715405,copper
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.51,25.086,6.55574,99.771088,0.917,715405,copper
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.51,26.605,6.411093,100.064355,0.918,715405,copper
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.51,26.25,6.427471,99.734321,0.917,715405,copper
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.51,25.752,6.477421,99.682664,0.917,715405,copper
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.51,25.364,6.510064,99.538593,0.916,715405,copper
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.51,25.061,6.533176,99.38595,0.915,715405,copper
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.51,24.724,6.577375,99.49229,0.916,715405,copper
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.52,24.464,6.60642,99.493396,0.916,715405,copper
1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,3.51,24.178,6.634346,99.430272,0.916,715405,copper
1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,3.51,23.91,6.659245,99.348861,0.915,715405,copper
1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,3.52,23.641,6.690451,99.35637,0.916,715405,copper
1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,3.52,23.407,6.704529,99.166445,0.915,715405,copper
1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,3.51,23.138,6.730893,99.096239,0.915,715405,copper
1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,3.52,22.912,6.764054,99.196219,0.915,715405,copper
1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,3.52,22.686,6.780517,99.048725,0.915,715405,copper
1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,3.52,22.494,6.807656,99.113632,0.915,715405,copper
1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,3.52,22.268,6.82169,98.927103,0.915,715405,copper
1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,3.52,22.084,6.852833,99.059259,0.915,715405,copper
1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,3.52,21.933,6.860569,98.908722,0.915,715405,copper
1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,3.52,21.757,6.881465,98.903382,0.915,715405,copper
1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,3.52,21.581,6.904716,98.930064,0.915,715405,copper
1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,3.52,21.456,6.921432,98.950739,0.916,715405,copper
1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,3.52,21.263,6.930986,98.749133,0.915,715405,copper
1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,3.52,21.104,6.954386,98.803089,0.915,715405,copper
1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,3.52,20.962,6.9669,98.730971,0.915,715405,copper
1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,3.52,20.845,6.984453,98.773365,0.915,715405,copper
1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,3.52,20.719,6.991606,98.652137,0.914,715405,copper
1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,3.52,20.635,7.008755,98.745536,0.915,715405,copper
1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,3.52,20.518,7.023909,98.751678,0.916,715405,copper
1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,3.52,20.443,7.028511,98.683411,0.917,715405,copper
1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,3.52,20.325,7.050747,98.785801,0.917,715405,copper
1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,3.52,20.317,7.042746,98.659501,0.915,715405,copper
1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,3.52,20.275,7.049333,98.677116,0.917,715405,copper
1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,3.53,20.216,7.047015,98.539863,0.916,715405,copper
1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,3.53,20.141,7.062663,98.625161,0.917,715405,copper
1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,3.52,20.082,7.072979,98.664046,0.917,715405,copper
1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,3.52,20.007,7.077562,98.59423,0.917,715405,copper
1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,3.52,19.931,7.100289,98.77489,0.918,715405,copper
