MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,      3.490000,     22.102000,          6.522528,                    94.589823,      0.959000"
"                1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,      3.500000,     22.378000,          6.501127,                    94.734943,      0.960000"
"                1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,      3.500000,     23.307000,          6.398992,                    94.758135,      0.960000"
"                1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,      3.490000,     24.019000,          6.335290,                    94.964385,      0.960000"
"                1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,      3.500000,     24.540000,          6.279665,                    94.965905,      0.960000"
"                1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,      3.490000,     24.994000,          6.228763,                    94.919181,      0.959000"
"                1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,      3.500000,     25.423000,          6.194971,                    95.084722,      0.960000"
"                1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,      3.500000,     25.786000,          6.155669,                    95.054355,      0.959000"
"                1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,      3.500000,     26.572000,          6.083791,                    95.172743,      0.960000"
"                1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,      3.490000,     27.821000,          5.983229,                    95.526161,      0.959000"
"                1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,      3.500000,     26.860000,          6.067445,                    95.366737,      0.958000"
"                1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,      3.500000,     25.997000,          6.156960,                    95.407668,      0.959000"
"                1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,      3.500000,     25.356000,          6.218135,                    95.333513,      0.959000"
"                1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,      3.500000,     24.842000,          6.265319,                    95.232643,      0.959000"
"                1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,      3.500000,     24.372000,          6.306480,                    95.100776,      0.959000"
"                1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,      3.500000,     23.986000,          6.350004,                    95.131487,      0.960000"
"                1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,      3.500000,     23.642000,          6.377250,                    94.980338,      0.959000"
"                1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,      3.510000,     23.332000,          6.414308,                    95.025768,      0.960000"
"                1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,      3.500000,     23.047000,          6.447622,                    95.051621,      0.960000"
"                1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,      3.500000,     22.796000,          6.466228,                    94.913155,      0.960000"
"                1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,      3.500000,     22.595000,          6.484569,                    94.851093,      0.960000"
"                1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,      3.510000,     22.369000,          6.514466,                    94.914436,      0.960000"
"                1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,      3.510000,     22.177000,          6.524164,                    94.737729,      0.960000"
"                1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,      3.500000,     22.026000,          6.536682,                    94.669035,      0.960000"
"                1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,      3.500000,     21.867000,          6.560155,                    94.744419,      0.960000"
"                1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,      3.500000,     21.700000,          6.579569,                    94.746214,      0.960000"
