MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Feb17 20:02:38 AST

DO concentration compensated for salinity: 41.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405620,           2023-02-03 06:27:00,           2023-02-03 09:27:00,      3.500000,     23.098000,          6.611861,                    97.841551,      0.956000
                1675405920,           2023-02-03 06:32:00,           2023-02-03 09:32:00,      3.500000,     23.173000,          6.614291,                    98.003958,      0.957000
                1675406220,           2023-02-03 06:37:00,           2023-02-03 09:37:00,      3.500000,     23.198000,          6.611417,                    98.003509,      0.957000
                1675406520,           2023-02-03 06:42:00,           2023-02-03 09:42:00,      3.500000,     23.575000,          6.578549,                    98.148916,      0.957000
                1675406820,           2023-02-03 06:47:00,           2023-02-03 09:47:00,      3.500000,     25.508000,          6.343844,                    97.785829,      0.957000
                1675407120,           2023-02-03 06:52:00,           2023-02-03 09:52:00,      3.500000,     26.547000,          6.150529,                    96.449373,      0.958000
                1675407420,           2023-02-03 06:57:00,           2023-02-03 09:57:00,      3.500000,     25.643000,          6.319087,                    97.623272,      0.957000
                1675407720,           2023-02-03 07:02:00,           2023-02-03 10:02:00,      3.500000,     25.567000,          6.185152,                    95.433395,      0.957000
                1675408020,           2023-02-03 07:07:00,           2023-02-03 10:07:00,      3.500000,     25.567000,          6.171678,                    95.225505,      0.958000
                1675408320,           2023-02-03 07:12:00,           2023-02-03 10:12:00,      3.500000,     25.617000,          6.173768,                    95.337019,      0.958000
                1675408620,           2023-02-03 07:17:00,           2023-02-03 10:17:00,      3.500000,     25.617000,          6.179317,                    95.422699,      0.958000
                1675408920,           2023-02-03 07:22:00,           2023-02-03 10:22:00,      3.500000,     25.693000,          6.180876,                    95.567436,      0.957000
                1675409220,           2023-02-03 07:27:00,           2023-02-03 10:27:00,      3.500000,     25.423000,          6.014917,                    92.584418,      0.957000
                1675409520,           2023-02-03 07:32:00,           2023-02-03 10:32:00,      3.500000,     25.230000,          6.024890,                    92.439601,      0.957000
                1675409820,           2023-02-03 07:37:00,           2023-02-03 10:37:00,      3.510000,     25.449000,          6.091244,                    93.799939,      0.958000
                1675410120,           2023-02-03 07:42:00,           2023-02-03 10:42:00,      3.510000,     25.592000,          6.124375,                    94.534958,      0.958000
                1675410420,           2023-02-03 07:47:00,           2023-02-03 10:47:00,      3.510000,     25.541000,          6.194399,                    95.534721,      0.957000
                1675410720,           2023-02-03 07:52:00,           2023-02-03 10:52:00,      3.510000,     25.761000,          6.240230,                    96.594164,      0.957000
                1675411020,           2023-02-03 07:57:00,           2023-02-03 10:57:00,      3.510000,     25.744000,          6.179012,                    95.619569,      0.957000
                1675411320,           2023-02-03 08:02:00,           2023-02-03 11:02:00,      3.510000,     25.811000,          6.170172,                    95.588993,      0.957000
                1675411620,           2023-02-03 08:07:00,           2023-02-03 11:07:00,      3.500000,     25.845000,          6.183994,                    95.857145,      0.957000
                1675411920,           2023-02-03 08:12:00,           2023-02-03 11:12:00,      3.500000,     25.921000,          6.172863,                    95.805189,      0.957000
                1675412220,           2023-02-03 08:17:00,           2023-02-03 11:17:00,      3.500000,     25.963000,          6.206593,                    96.395711,      0.958000
                1675412520,           2023-02-03 08:22:00,           2023-02-03 11:22:00,      3.500000,     26.005000,          6.205430,                    96.444657,      0.958000
                1675412820,           2023-02-03 08:27:00,           2023-02-03 11:27:00,      3.500000,     26.158000,          6.209348,                    96.749904,      0.957000
                1675413120,           2023-02-03 08:32:00,           2023-02-03 11:32:00,      3.500000,     26.174000,          6.256316,                    97.507481,      0.957000
                1675413420,           2023-02-03 08:37:00,           2023-02-03 11:37:00,      3.500000,     26.132000,          6.229712,                    97.025539,      0.958000
                1675413720,           2023-02-03 08:42:00,           2023-02-03 11:42:00,      3.500000,     26.031000,          6.212037,                    96.588876,      0.957000
                1675414020,           2023-02-03 08:47:00,           2023-02-03 11:47:00,      3.510000,     25.870000,          6.240545,                    96.773834,      0.957000
                1675414320,           2023-02-03 08:52:00,           2023-02-03 11:52:00,      3.500000,     26.048000,          6.235210,                    96.976452,      0.956000
                1675414620,           2023-02-03 08:57:00,           2023-02-03 11:57:00,      3.510000,     25.997000,          6.240246,                    96.972940,      0.957000
                1675414920,           2023-02-03 09:02:00,           2023-02-03 12:02:00,      3.510000,     26.048000,          6.243935,                    97.112152,      0.957000
                1675415220,           2023-02-03 09:07:00,           2023-02-03 12:07:00,      3.510000,     26.056000,          6.226566,                    96.854818,      0.957000
                1675415520,           2023-02-03 09:12:00,           2023-02-03 12:12:00,      3.500000,     26.073000,          6.228324,                    96.909395,      0.957000
                1675415820,           2023-02-03 09:17:00,           2023-02-03 12:17:00,      3.510000,     26.124000,          6.261363,                    97.505599,      0.957000
                1675416120,           2023-02-03 09:22:00,           2023-02-03 12:22:00,      3.510000,     26.183000,          6.268307,                    97.708887,      0.957000
                1675416420,           2023-02-03 09:27:00,           2023-02-03 12:27:00,      3.500000,     26.191000,          6.274735,                    97.822001,      0.957000
                1675416720,           2023-02-03 09:32:00,           2023-02-03 12:32:00,      3.500000,     26.191000,          6.266801,                    97.698316,      0.957000
                1675417020,           2023-02-03 09:37:00,           2023-02-03 12:37:00,      3.500000,     26.191000,          6.267595,                    97.710685,      0.957000
                1675417320,           2023-02-03 09:42:00,           2023-02-03 12:42:00,      3.500000,     26.217000,          6.248817,                    97.459740,      0.957000
                1675417620,           2023-02-03 09:47:00,           2023-02-03 12:47:00,      3.510000,     26.208000,          6.237618,                    97.270640,      0.957000
                1675417920,           2023-02-03 09:52:00,           2023-02-03 12:52:00,      3.510000,     26.191000,          6.246174,                    97.376737,      0.956000
                1675418220,           2023-02-03 09:57:00,           2023-02-03 12:57:00,      3.510000,     26.208000,          6.278874,                    97.913997,      0.957000
                1675418520,           2023-02-03 10:02:00,           2023-02-03 13:02:00,      3.510000,     26.259000,          6.303195,                    98.375985,      0.957000
                1675418820,           2023-02-03 10:07:00,           2023-02-03 13:07:00,      3.500000,     26.360000,          6.332791,                    99.002532,      0.957000
