MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Feb21 17:57:37 AST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405620,           2023-02-03 06:27:00,           2023-02-03 09:27:00,      3.500000,     23.098000,          8.377000,                    97.841551,      0.956000
                1675405920,           2023-02-03 06:32:00,           2023-02-03 09:32:00,      3.500000,     23.173000,          8.379000,                    98.003958,      0.957000
                1675406220,           2023-02-03 06:37:00,           2023-02-03 09:37:00,      3.500000,     23.198000,          8.375000,                    98.003509,      0.957000
                1675406520,           2023-02-03 06:42:00,           2023-02-03 09:42:00,      3.500000,     23.575000,          8.328000,                    98.148916,      0.957000
                1675406820,           2023-02-03 06:47:00,           2023-02-03 09:47:00,      3.500000,     25.508000,          8.005000,                    97.785829,      0.957000
                1675407120,           2023-02-03 06:52:00,           2023-02-03 09:52:00,      3.500000,     26.547000,          7.748000,                    96.449373,      0.958000
                1675407420,           2023-02-03 06:57:00,           2023-02-03 09:57:00,      3.500000,     25.643000,          7.972000,                    97.623272,      0.957000
                1675407720,           2023-02-03 07:02:00,           2023-02-03 10:02:00,      3.500000,     25.567000,          7.804000,                    95.433395,      0.957000
                1675408020,           2023-02-03 07:07:00,           2023-02-03 10:07:00,      3.500000,     25.567000,          7.787000,                    95.225505,      0.958000
                1675408320,           2023-02-03 07:12:00,           2023-02-03 10:12:00,      3.500000,     25.617000,          7.789000,                    95.337019,      0.958000
                1675408620,           2023-02-03 07:17:00,           2023-02-03 10:17:00,      3.500000,     25.617000,          7.796000,                    95.422699,      0.958000
                1675408920,           2023-02-03 07:22:00,           2023-02-03 10:22:00,      3.500000,     25.693000,          7.797000,                    95.567436,      0.957000
                1675409220,           2023-02-03 07:27:00,           2023-02-03 10:27:00,      3.500000,     25.423000,          7.591000,                    92.584418,      0.957000
                1675409520,           2023-02-03 07:32:00,           2023-02-03 10:32:00,      3.500000,     25.230000,          7.606000,                    92.439601,      0.957000
                1675409820,           2023-02-03 07:37:00,           2023-02-03 10:37:00,      3.510000,     25.449000,          7.687000,                    93.799939,      0.958000
                1675410120,           2023-02-03 07:42:00,           2023-02-03 10:42:00,      3.510000,     25.592000,          7.727000,                    94.534958,      0.958000
                1675410420,           2023-02-03 07:47:00,           2023-02-03 10:47:00,      3.510000,     25.541000,          7.816000,                    95.534721,      0.957000
                1675410720,           2023-02-03 07:52:00,           2023-02-03 10:52:00,      3.510000,     25.761000,          7.871000,                    96.594164,      0.957000
                1675411020,           2023-02-03 07:57:00,           2023-02-03 10:57:00,      3.510000,     25.744000,          7.794000,                    95.619569,      0.957000
                1675411320,           2023-02-03 08:02:00,           2023-02-03 11:02:00,      3.510000,     25.811000,          7.782000,                    95.588993,      0.957000
                1675411620,           2023-02-03 08:07:00,           2023-02-03 11:07:00,      3.500000,     25.845000,          7.799000,                    95.857145,      0.957000
                1675411920,           2023-02-03 08:12:00,           2023-02-03 11:12:00,      3.500000,     25.921000,          7.784000,                    95.805189,      0.957000
                1675412220,           2023-02-03 08:17:00,           2023-02-03 11:17:00,      3.500000,     25.963000,          7.826000,                    96.395711,      0.958000
                1675412520,           2023-02-03 08:22:00,           2023-02-03 11:22:00,      3.500000,     26.005000,          7.824000,                    96.444657,      0.958000
                1675412820,           2023-02-03 08:27:00,           2023-02-03 11:27:00,      3.500000,     26.158000,          7.827000,                    96.749904,      0.957000
                1675413120,           2023-02-03 08:32:00,           2023-02-03 11:32:00,      3.500000,     26.174000,          7.886000,                    97.507481,      0.957000
                1675413420,           2023-02-03 08:37:00,           2023-02-03 11:37:00,      3.500000,     26.132000,          7.853000,                    97.025539,      0.958000
                1675413720,           2023-02-03 08:42:00,           2023-02-03 11:42:00,      3.500000,     26.031000,          7.832000,                    96.588876,      0.957000
                1675414020,           2023-02-03 08:47:00,           2023-02-03 11:47:00,      3.510000,     25.870000,          7.870000,                    96.773834,      0.957000
                1675414320,           2023-02-03 08:52:00,           2023-02-03 11:52:00,      3.500000,     26.048000,          7.861000,                    96.976452,      0.956000
                1675414620,           2023-02-03 08:57:00,           2023-02-03 11:57:00,      3.510000,     25.997000,          7.868000,                    96.972940,      0.957000
                1675414920,           2023-02-03 09:02:00,           2023-02-03 12:02:00,      3.510000,     26.048000,          7.872000,                    97.112152,      0.957000
                1675415220,           2023-02-03 09:07:00,           2023-02-03 12:07:00,      3.510000,     26.056000,          7.850000,                    96.854818,      0.957000
                1675415520,           2023-02-03 09:12:00,           2023-02-03 12:12:00,      3.500000,     26.073000,          7.852000,                    96.909395,      0.957000
                1675415820,           2023-02-03 09:17:00,           2023-02-03 12:17:00,      3.510000,     26.124000,          7.893000,                    97.505599,      0.957000
                1675416120,           2023-02-03 09:22:00,           2023-02-03 12:22:00,      3.510000,     26.183000,          7.901000,                    97.708887,      0.957000
                1675416420,           2023-02-03 09:27:00,           2023-02-03 12:27:00,      3.500000,     26.191000,          7.909000,                    97.822001,      0.957000
                1675416720,           2023-02-03 09:32:00,           2023-02-03 12:32:00,      3.500000,     26.191000,          7.899000,                    97.698316,      0.957000
                1675417020,           2023-02-03 09:37:00,           2023-02-03 12:37:00,      3.500000,     26.191000,          7.900000,                    97.710685,      0.957000
                1675417320,           2023-02-03 09:42:00,           2023-02-03 12:42:00,      3.500000,     26.217000,          7.876000,                    97.459740,      0.957000
                1675417620,           2023-02-03 09:47:00,           2023-02-03 12:47:00,      3.510000,     26.208000,          7.862000,                    97.270640,      0.957000
                1675417920,           2023-02-03 09:52:00,           2023-02-03 12:52:00,      3.510000,     26.191000,          7.873000,                    97.376737,      0.956000
                1675418220,           2023-02-03 09:57:00,           2023-02-03 12:57:00,      3.510000,     26.208000,          7.914000,                    97.913997,      0.957000
                1675418520,           2023-02-03 10:02:00,           2023-02-03 13:02:00,      3.510000,     26.259000,          7.944000,                    98.375985,      0.957000
                1675418820,           2023-02-03 10:07:00,           2023-02-03 13:07:00,      3.500000,     26.360000,          7.980000,                    99.002532,      0.957000
                1675419120,           2023-02-03 10:12:00,           2023-02-03 13:12:00,      3.500000,     26.335000,          7.956000,                    98.660171,      0.957000
                1675419420,           2023-02-03 10:17:00,           2023-02-03 13:17:00,      3.510000,     26.360000,          7.997000,                    99.213440,      0.957000
                1675419720,           2023-02-03 10:22:00,           2023-02-03 13:22:00,      3.510000,     26.360000,          8.003000,                    99.287878,      0.956000
                1675420020,           2023-02-03 10:27:00,           2023-02-03 13:27:00,      3.510000,     26.310000,          7.993000,                    99.074186,      0.956000
                1675420320,           2023-02-03 10:32:00,           2023-02-03 13:32:00,      3.510000,     26.267000,          8.036000,                    99.529697,      0.957000
                1675420620,           2023-02-03 10:37:00,           2023-02-03 13:37:00,      3.510000,     26.284000,          8.020000,                    99.362098,      0.957000
                1675420920,           2023-02-03 10:42:00,           2023-02-03 13:42:00,      3.510000,     26.318000,          8.044000,                    99.720768,      0.956000
                1675421220,           2023-02-03 10:47:00,           2023-02-03 13:47:00,      3.510000,     26.386000,          8.096000,                   100.488883,      0.956000
                1675421520,           2023-02-03 10:52:00,           2023-02-03 13:52:00,      3.510000,     26.454000,          8.114000,                   100.836089,      0.957000
                1675421820,           2023-02-03 10:57:00,           2023-02-03 13:57:00,      3.510000,     26.555000,          8.159000,                   101.580274,      0.957000
                1675422120,           2023-02-03 11:02:00,           2023-02-03 14:02:00,      3.510000,     26.513000,          8.439000,                   104.986738,      0.957000
                1675422420,           2023-02-03 11:07:00,           2023-02-03 14:07:00,      3.510000,     26.581000,          8.460000,                   105.377132,      0.958000
                1675422720,           2023-02-03 11:12:00,           2023-02-03 14:12:00,      3.510000,     26.597000,          8.540000,                   106.404285,      0.958000
