7450-546688
OS REV: 1.05 Sensor Cal: 1677874708
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970460,+3.56,+36.300, +9.470,+0.897
1690971060,+3.56,+36.390, +9.607,+0.897
1690971660,+3.56,+36.490, +9.885,+0.896
1690972260,+3.56,+36.490,+10.102,+0.898
1690972860,+3.56,+36.481,+10.233,+0.896
1690973460,+3.56,+36.499,+10.294,+0.898
1690974060,+3.56,+36.490,+10.200,+0.897
1690974660,+3.56,+36.490,+10.197,+0.896
1690975260,+3.56,+36.499,+10.079,+0.896
1690975860,+3.56,+36.499,+10.000,+0.898
1690976460,+3.56,+36.427, +9.888,+0.897
1690977060,+3.56,+36.463, +9.891,+0.897
1690977660,+3.56,+36.463, +9.881,+0.898
1690978260,+3.56,+36.472, +9.831,+0.898
1690978860,+3.56,+36.427, +9.806,+0.897
1690979460,+3.56,+36.345, +9.718,+0.898
1690980060,+3.56,+36.236, +9.622,+0.898
1690980660,+3.56,+36.127, +9.517,+0.897
1690981260,+3.56,+36.028, +9.522,+0.900
1690981860,+3.56,+35.928, +9.451,+0.900
1690982460,+3.56,+35.883, +9.541,+0.898
1690983060,+3.56,+35.820, +9.494,+0.899
1690983660,+3.56,+35.784, +9.481,+0.900
1690984260,+3.57,+35.739, +9.449,+0.899
1690984860,+3.57,+35.676, +9.438,+0.900
1690985460,+3.57,+35.513, +9.354,+0.900
1690986060,+3.56,+35.351, +9.245,+0.901
1690986660,+3.56,+35.216, +9.206,+0.902
1690987260,+3.56,+35.117, +9.085,+0.900
1690987860,+3.56,+34.956, +8.968,+0.901
1690988460,+3.57,+34.786, +8.877,+0.903
1690989060,+3.57,+34.678, +8.752,+0.901
1690989660,+3.57,+34.517, +8.639,+0.903
1690990260,+3.57,+34.410, +8.553,+0.902
1690990860,+3.57,+34.312, +8.422,+0.902
1690991460,+3.56,+34.151, +8.280,+0.903
1690992060,+3.56,+34.009, +8.123,+0.902
1690992660,+3.56,+33.920, +8.005,+0.902
1690993260,+3.57,+33.787, +7.791,+0.902
1690993860,+3.57,+33.725, +7.636,+0.903
1690994460,+3.57,+33.662, +7.504,+0.902
1690995060,+3.57,+33.645, +7.414,+0.903
1690995660,+3.57,+33.591, +7.204,+0.901
1690996260,+3.57,+33.574, +7.140,+0.901
1690996860,+3.57,+33.520, +6.888,+0.901
