7450-715405
OS REV: 1.05 Sensor Cal: 1677879133
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1684406700,+3.53,+22.217, +8.638,+0.931
1684407300,+3.53,+25.709, +8.889,+0.941
1684407900,+3.53,+24.741, +8.194,+0.931
1684408500,+3.53,+23.323, +8.409,+0.931
1684409100,+3.53,+23.138, +8.567,+0.932
1684409700,+3.52,+31.906, +7.730,+0.936
1684410300,+3.52,+32.475, +7.679,+0.936
1684410900,+3.52,+32.615, +7.735,+0.935
1684411500,+3.52,+32.659, +7.637,+0.934
1684412100,+3.52,+32.712, +7.743,+0.934
1684412700,+3.52,+32.720, +7.644,+0.934
1684413300,+3.52,+32.756, +7.757,+0.935
1684413900,+3.52,+32.773, +7.771,+0.935
1684414500,+3.52,+32.747, +7.739,+0.934
1684415100,+3.52,+32.747, +7.802,+0.935
1684415700,+3.52,+31.941, +7.344,+0.935
1684416300,+3.53,+25.903, +7.744,+0.933
1684416900,+3.53,+25.094, +7.935,+0.935
1684417500,+3.54,+24.749, +8.078,+0.935
1684418100,+3.54,+23.147, +8.374,+0.934
