MiniDOT Logger Concatenated Data File
Sensor:             7450-715405
Concatenation Date: 2023Aug09 10:55:31 AST

DO concentration compensated for salinity: 40.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,      3.510000,     22.326000,          6.825535,                    99.083201,      0.918000
                1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,      3.510000,     22.586000,          6.796027,                    99.102888,      0.917000
                1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,      3.510000,     23.164000,          6.739126,                    99.261958,      0.918000
                1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,      3.510000,     23.398000,          6.713166,                    99.278826,      0.918000
                1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,      3.510000,     23.616000,          6.689379,                    99.297906,      0.918000
                1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,      3.510000,     23.876000,          6.658077,                    99.273795,      0.917000
                1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,      3.510000,     24.136000,          6.638660,                    99.423885,      0.918000
                1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,      3.510000,     24.329000,          6.621668,                    99.495108,      0.918000
                1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,      3.510000,     25.086000,          6.555740,                    99.771088,      0.917000
                1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,      3.510000,     26.605000,          6.411093,                   100.064355,      0.918000
                1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,      3.510000,     26.250000,          6.427471,                    99.734321,      0.917000
                1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,      3.510000,     25.752000,          6.477421,                    99.682664,      0.917000
                1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,      3.510000,     25.364000,          6.510064,                    99.538593,      0.916000
                1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,      3.510000,     25.061000,          6.533176,                    99.385950,      0.915000
                1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,      3.510000,     24.724000,          6.577375,                    99.492290,      0.916000
                1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,      3.520000,     24.464000,          6.606420,                    99.493396,      0.916000
                1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,      3.510000,     24.178000,          6.634346,                    99.430272,      0.916000
                1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,      3.510000,     23.910000,          6.659245,                    99.348861,      0.915000
                1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,      3.520000,     23.641000,          6.690451,                    99.356370,      0.916000
                1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,      3.520000,     23.407000,          6.704529,                    99.166445,      0.915000
                1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,      3.510000,     23.138000,          6.730893,                    99.096239,      0.915000
                1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,      3.520000,     22.912000,          6.764054,                    99.196219,      0.915000
                1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,      3.520000,     22.686000,          6.780517,                    99.048725,      0.915000
                1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,      3.520000,     22.494000,          6.807656,                    99.113632,      0.915000
                1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,      3.520000,     22.268000,          6.821690,                    98.927103,      0.915000
                1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,      3.520000,     22.084000,          6.852833,                    99.059259,      0.915000
                1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,      3.520000,     21.933000,          6.860569,                    98.908722,      0.915000
                1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,      3.520000,     21.757000,          6.881465,                    98.903382,      0.915000
                1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,      3.520000,     21.581000,          6.904716,                    98.930064,      0.915000
                1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,      3.520000,     21.456000,          6.921432,                    98.950739,      0.916000
                1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,      3.520000,     21.263000,          6.930986,                    98.749133,      0.915000
                1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,      3.520000,     21.104000,          6.954386,                    98.803089,      0.915000
                1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,      3.520000,     20.962000,          6.966900,                    98.730971,      0.915000
                1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,      3.520000,     20.845000,          6.984453,                    98.773365,      0.915000
                1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,      3.520000,     20.719000,          6.991606,                    98.652137,      0.914000
                1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,      3.520000,     20.635000,          7.008755,                    98.745536,      0.915000
                1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,      3.520000,     20.518000,          7.023909,                    98.751678,      0.916000
                1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,      3.520000,     20.443000,          7.028511,                    98.683411,      0.917000
                1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,      3.520000,     20.325000,          7.050747,                    98.785801,      0.917000
                1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,      3.520000,     20.317000,          7.042746,                    98.659501,      0.915000
                1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,      3.520000,     20.275000,          7.049333,                    98.677116,      0.917000
                1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,      3.530000,     20.216000,          7.047015,                    98.539863,      0.916000
                1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,      3.530000,     20.141000,          7.062663,                    98.625161,      0.917000
                1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,      3.520000,     20.082000,          7.072979,                    98.664046,      0.917000
                1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,      3.520000,     20.007000,          7.077562,                    98.594230,      0.917000
                1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,      3.520000,     19.931000,          7.100289,                    98.774890,      0.918000
                1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,      3.520000,     19.839000,          7.097544,                    98.572237,      0.917000
                1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,      3.520000,     19.755000,          7.108317,                    98.571497,      0.917000
                1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,      3.520000,     19.663000,          7.122928,                    98.609136,      0.917000
                1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,      3.520000,     19.587000,          7.135371,                    98.644889,      0.917000
                1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,      3.520000,     19.520000,          7.138456,                    98.567184,      0.917000
