MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-449637,,,,,,,,,
Concatenation Date: 2023Aug09 10:55:10 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.49,22.053,6.579068,95.050267,0.898,449637,hand_clean
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.5,22.421,6.552271,95.274158,0.898,449637,hand_clean
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.5,23.308,6.465178,95.4635,0.899,449637,hand_clean
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.49,24.013,6.395614,95.583515,0.898,449637,hand_clean
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.5,24.651,6.335435,95.714565,0.899,449637,hand_clean
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.49,25.223,6.28075,95.805959,0.899,449637,hand_clean
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.49,25.704,6.240141,95.9544,0.899,449637,hand_clean
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.49,26.185,6.197027,96.055238,0.899,449637,hand_clean
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.49,27.1,6.102824,96.029424,0.898,449637,hand_clean
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.49,27.985,6.041516,96.442671,0.898,449637,hand_clean
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.49,27.729,6.05915,96.323937,0.899,449637,hand_clean
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.49,26.973,6.116001,96.036976,0.899,449637,hand_clean
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.49,26.312,6.175922,95.929297,0.899,449637,hand_clean
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.5,25.619,6.226541,95.609791,0.899,449637,hand_clean
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.5,25.046,6.289314,95.652096,0.899,449637,hand_clean
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.5,24.533,6.339789,95.58948,0.9,449637,hand_clean
1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,3.5,24.071,6.385092,95.520591,0.899,449637,hand_clean
1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,3.5,23.652,6.431532,95.529296,0.9,449637,hand_clean
1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,3.5,23.258,6.463844,95.361665,0.899,449637,hand_clean
1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,3.5,22.923,6.499103,95.328823,0.899,449637,hand_clean
1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,3.5,22.597,6.536776,95.340614,0.9,449637,hand_clean
1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,3.5,22.362,6.560336,95.293298,0.9,449637,hand_clean
1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,3.5,22.044,6.589269,95.182618,0.899,449637,hand_clean
1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,3.5,21.844,6.618697,95.272522,0.9,449637,hand_clean
1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,3.5,21.593,6.636425,95.106161,0.899,449637,hand_clean
1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,3.5,21.409,6.662019,95.162917,0.9,449637,hand_clean
1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,3.51,21.208,6.684225,95.140489,0.9,449637,hand_clean
1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,3.5,21.049,6.696613,95.047783,0.899,449637,hand_clean
1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,3.5,20.907,6.709187,94.985632,0.899,449637,hand_clean
1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,3.5,20.781,6.721939,94.952322,0.9,449637,hand_clean
1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,3.5,20.614,6.749215,95.053139,0.9,449637,hand_clean
1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,3.51,20.471,6.751466,94.841258,0.899,449637,hand_clean
1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,3.51,20.346,6.771307,94.906518,0.899,449637,hand_clean
1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,3.51,20.254,6.783634,94.921931,0.899,449637,hand_clean
1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,3.51,20.153,6.804534,95.041143,0.9,449637,hand_clean
1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,3.51,20.078,6.803627,94.899876,0.899,449637,hand_clean
1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,3.5,19.986,6.819884,94.968549,0.9,449637,hand_clean
1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,3.5,19.935,6.821632,94.905254,0.899,449637,hand_clean
1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,3.5,19.877,6.828031,94.894527,0.899,449637,hand_clean
1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,3.5,19.827,6.836894,94.931606,0.9,449637,hand_clean
1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,3.5,19.835,6.830676,94.859037,0.899,449637,hand_clean
1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,3.5,19.81,6.836686,94.899452,0.9,449637,hand_clean
1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,3.5,19.793,6.833321,94.823487,0.899,449637,hand_clean
1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,3.5,19.776,6.839427,94.87895,0.899,449637,hand_clean
1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,3.5,19.726,6.842761,94.839055,0.899,449637,hand_clean
1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,3.5,19.609,6.855529,94.814102,0.899,449637,hand_clean
1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,3.51,19.5,6.872331,94.857971,0.9,449637,hand_clean
1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,3.51,19.349,6.882292,94.734016,0.899,449637,hand_clean
1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,3.51,19.281,6.894853,94.789003,0.9,449637,hand_clean
1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,3.51,19.172,6.906898,94.765281,0.899,449637,hand_clean
1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,3.51,19.097,6.919361,94.80582,0.9,449637,hand_clean
1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,3.51,19.072,6.918259,94.747245,0.899,449637,hand_clean
1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,3.51,19.038,6.924138,94.76859,0.899,449637,hand_clean
1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,3.51,19.046,6.924238,94.783889,0.899,449637,hand_clean
1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,3.51,19.038,6.927291,94.811745,0.899,449637,hand_clean
1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,3.51,19.046,6.927392,94.827051,0.899,449637,hand_clean
1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,3.51,19.03,6.930343,94.839588,0.899,449637,hand_clean
1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,3.51,19.046,6.926603,94.816261,0.899,449637,hand_clean
1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,3.51,19.038,6.929656,94.844112,0.9,449637,hand_clean
1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,3.51,19.038,6.928079,94.822534,0.9,449637,hand_clean
1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,3.51,19.072,6.921412,94.790429,0.9,449637,hand_clean
1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,3.51,19.063,6.918146,94.730047,0.899,449637,hand_clean
1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,3.51,19.055,6.927505,94.844271,0.899,449637,hand_clean
1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,3.51,19.055,6.927505,94.844271,0.9,449637,hand_clean
1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,3.51,19.055,6.919622,94.736346,0.899,449637,hand_clean
1690226460,           2023-07-24 19:21:00,           2023-07-24 22:21:00,3.51,19.063,6.915781,94.697665,0.899,449637,hand_clean
1690227060,           2023-07-24 19:31:00,           2023-07-24 22:31:00,3.51,19.063,6.92524,94.827195,0.9,449637,hand_clean
1690227660,           2023-07-24 19:41:00,           2023-07-24 22:41:00,3.51,19.063,6.920511,94.76243,0.899,449637,hand_clean
1690228260,           2023-07-24 19:51:00,           2023-07-24 22:51:00,3.51,19.063,6.920511,94.76243,0.899,449637,hand_clean
1690228860,           2023-07-24 20:01:00,           2023-07-24 23:01:00,3.51,19.08,6.924666,94.848915,0.9,449637,hand_clean
1690229460,           2023-07-24 20:11:00,           2023-07-24 23:11:00,3.51,19.072,6.919835,94.768837,0.899,449637,hand_clean
1690230060,           2023-07-24 20:21:00,           2023-07-24 23:21:00,3.51,19.072,6.918259,94.747245,0.899,449637,hand_clean
1690230660,           2023-07-24 20:31:00,           2023-07-24 23:31:00,3.51,19.088,6.913729,94.713021,0.899,449637,hand_clean
1690231260,           2023-07-24 20:41:00,           2023-07-24 23:41:00,3.51,19.072,6.9222,94.801226,0.899,449637,hand_clean
1690231860,           2023-07-24 20:51:00,           2023-07-24 23:51:00,3.51,19.088,6.910576,94.669823,0.899,449637,hand_clean
1690232460,           2023-07-24 21:01:00,           2023-07-25 00:01:00,3.51,19.088,6.913729,94.713021,0.899,449637,hand_clean
1690233060,           2023-07-24 21:11:00,           2023-07-25 00:11:00,3.51,19.08,6.915994,94.730138,0.899,449637,hand_clean
1690233660,           2023-07-24 21:21:00,           2023-07-25 00:21:00,3.51,19.08,6.913629,94.697744,0.899,449637,hand_clean
1690234260,           2023-07-24 21:31:00,           2023-07-25 00:31:00,3.51,19.097,6.90517,94.611391,0.899,449637,hand_clean
1690234860,           2023-07-24 21:41:00,           2023-07-25 00:41:00,3.51,19.105,6.910789,94.702273,0.899,449637,hand_clean
1690235460,           2023-07-24 21:51:00,           2023-07-25 00:51:00,3.51,19.105,6.908424,94.669863,0.899,449637,hand_clean
1690236060,           2023-07-24 22:01:00,           2023-07-25 01:01:00,3.51,19.088,6.914518,94.723821,0.899,449637,hand_clean
1690236660,           2023-07-24 22:11:00,           2023-07-25 01:11:00,3.5,19.105,6.909213,94.680667,0.899,449637,hand_clean
1690237260,           2023-07-24 22:21:00,           2023-07-25 01:21:00,3.51,19.114,6.905383,94.643817,0.899,449637,hand_clean
1690237860,           2023-07-24 22:31:00,           2023-07-25 01:31:00,3.51,19.105,6.910001,94.69147,0.899,449637,hand_clean
1690238460,           2023-07-24 22:41:00,           2023-07-25 01:41:00,3.51,19.122,6.901542,94.605041,0.899,449637,hand_clean
1690239060,           2023-07-24 22:51:00,           2023-07-25 01:51:00,3.51,19.088,6.907423,94.626624,0.899,449637,hand_clean
1690239660,           2023-07-24 23:01:00,           2023-07-25 02:01:00,3.51,19.105,6.908424,94.669863,0.899,449637,hand_clean
1690240260,           2023-07-24 23:11:00,           2023-07-25 02:11:00,3.5,19.08,6.911264,94.665351,0.899,449637,hand_clean
1690240860,           2023-07-24 23:21:00,           2023-07-25 02:21:00,3.51,19.105,6.905271,94.62665,0.899,449637,hand_clean
1690241460,           2023-07-24 23:31:00,           2023-07-25 02:31:00,3.5,19.097,6.902805,94.578986,0.899,449637,hand_clean
1690242060,           2023-07-24 23:41:00,           2023-07-25 02:41:00,3.51,19.097,6.916207,94.762614,0.9,449637,hand_clean
1690242660,           2023-07-24 23:51:00,           2023-07-25 02:51:00,3.51,19.08,6.910476,94.654553,0.899,449637,hand_clean
1690243260,           2023-07-25 00:01:00,           2023-07-25 03:01:00,3.51,19.097,6.909112,94.665399,0.899,449637,hand_clean
1690243860,           2023-07-25 00:11:00,           2023-07-25 03:11:00,3.5,19.097,6.90517,94.611391,0.899,449637,hand_clean
1690244460,           2023-07-25 00:21:00,           2023-07-25 03:21:00,3.5,19.088,6.912941,94.702222,0.899,449637,hand_clean
1690245060,           2023-07-25 00:31:00,           2023-07-25 03:31:00,3.5,19.088,6.912941,94.702222,0.899,449637,hand_clean
1690245660,           2023-07-25 00:41:00,           2023-07-25 03:41:00,3.5,19.097,6.913054,94.719407,0.899,449637,hand_clean
1690246260,           2023-07-25 00:51:00,           2023-07-25 03:51:00,3.5,19.114,6.904595,94.633011,0.899,449637,hand_clean
1690246860,           2023-07-25 01:01:00,           2023-07-25 04:01:00,3.5,19.088,6.910576,94.669823,0.899,449637,hand_clean
1690247460,           2023-07-25 01:11:00,           2023-07-25 04:11:00,3.5,19.097,6.911477,94.697804,0.899,449637,hand_clean
1690248060,           2023-07-25 01:21:00,           2023-07-25 04:21:00,3.5,19.088,6.912153,94.691422,0.899,449637,hand_clean
1690248660,           2023-07-25 01:31:00,           2023-07-25 04:31:00,3.5,19.088,6.917671,94.76702,0.9,449637,hand_clean
1690249260,           2023-07-25 01:41:00,           2023-07-25 04:41:00,3.5,19.08,6.920724,94.794926,0.9,449637,hand_clean
1690249860,           2023-07-25 01:51:00,           2023-07-25 04:51:00,3.5,19.088,6.91846,94.777819,0.899,449637,hand_clean
1690250460,           2023-07-25 02:01:00,           2023-07-25 05:01:00,3.5,19.088,6.916095,94.74542,0.9,449637,hand_clean
1690251060,           2023-07-25 02:11:00,           2023-07-25 05:11:00,3.5,19.105,6.911578,94.713077,0.899,449637,hand_clean
1690251660,           2023-07-25 02:21:00,           2023-07-25 05:21:00,3.5,19.08,6.909688,94.643755,0.899,449637,hand_clean
1690252260,           2023-07-25 02:31:00,           2023-07-25 05:31:00,3.5,19.088,6.91846,94.777819,0.899,449637,hand_clean
1690252860,           2023-07-25 02:41:00,           2023-07-25 05:41:00,3.5,19.088,6.910576,94.669823,0.899,449637,hand_clean
1690253460,           2023-07-25 02:51:00,           2023-07-25 05:51:00,3.5,19.08,6.919147,94.77333,0.899,449637,hand_clean
1690254060,           2023-07-25 03:01:00,           2023-07-25 06:01:00,3.5,19.097,6.915419,94.751812,0.899,449637,hand_clean
1690254660,           2023-07-25 03:11:00,           2023-07-25 06:11:00,3.5,19.088,6.916095,94.74542,0.899,449637,hand_clean
1690255260,           2023-07-25 03:21:00,           2023-07-25 06:21:00,3.5,19.097,6.910689,94.687002,0.899,449637,hand_clean
1690255860,           2023-07-25 03:31:00,           2023-07-25 06:31:00,3.5,19.08,6.922301,94.816521,0.899,449637,hand_clean
1690256460,           2023-07-25 03:41:00,           2023-07-25 06:41:00,3.5,19.097,6.914631,94.74101,0.899,449637,hand_clean
1690257060,           2023-07-25 03:51:00,           2023-07-25 06:51:00,3.5,19.08,6.923089,94.827319,0.9,449637,hand_clean
