7450-449637
OS REV: 1.05 Sensor Cal: 1652986313
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690796460,+3.53,+36.330,+10.062,+0.898
1690797060,+3.53,+36.330, +9.991,+0.899
1690797660,+3.53,+36.420, +9.919,+0.897
1690798260,+3.53,+36.438,+10.988,+0.900
1690798860,+3.53,+36.447,+10.768,+0.898
1690799460,+3.53,+36.447,+10.562,+0.897
1690800060,+3.53,+36.456,+10.363,+0.898
1690800660,+3.53,+36.438,+10.062,+0.897
1690801260,+3.53,+36.456, +9.725,+0.897
1690801860,+3.53,+36.438, +9.931,+0.897
1690802460,+3.53,+36.402, +9.696,+0.897
1690803060,+3.53,+36.420, +9.764,+0.897
1690803660,+3.53,+36.447,+10.318,+0.898
1690804260,+3.53,+36.447,+10.140,+0.898
1690804860,+3.53,+36.384, +9.764,+0.898
1690805460,+3.53,+36.447,+10.037,+0.898
1690806060,+3.53,+36.429,+10.054,+0.898
1690806660,+3.53,+36.420,+10.078,+0.898
1690807260,+3.53,+36.456,+10.527,+0.899
1690807860,+3.53,+36.429,+10.207,+0.899
1690808460,+3.53,+36.248, +9.630,+0.898
1690809060,+3.53,+36.320,+10.089,+0.898
1690809660,+3.53,+36.320,+10.117,+0.899
1690810260,+3.53,+36.041, +9.383,+0.899
1690810860,+3.54,+35.627, +8.977,+0.902
1690811460,+3.54,+35.825, +9.374,+0.901
1690812060,+3.54,+35.771, +9.388,+0.902
1690812660,+3.54,+35.681, +9.292,+0.901
1690813260,+3.54,+35.762, +9.374,+0.901
1690813860,+3.54,+35.609, +9.173,+0.902
1690814460,+3.54,+35.537, +9.038,+0.902
1690815060,+3.54,+35.528, +9.059,+0.902
1690815660,+3.54,+35.537, +9.072,+0.902
1690816260,+3.54,+35.546, +9.303,+0.903
1690816860,+3.54,+35.465, +9.229,+0.903
1690817460,+3.53,+35.358, +9.172,+0.903
1690818060,+3.53,+35.197, +9.051,+0.904
1690818660,+3.53,+35.134, +8.924,+0.904
1690819260,+3.53,+35.026, +8.794,+0.905
1690819860,+3.53,+34.946, +8.617,+0.904
1690820460,+3.54,+34.776, +8.545,+0.905
1690821060,+3.54,+34.616, +8.407,+0.905
1690821660,+3.54,+34.500, +8.107,+0.906
1690822260,+3.54,+34.286, +7.960,+0.907
1690822860,+3.54,+34.233, +7.773,+0.907
1690823460,+3.53,+34.188, +7.651,+0.907
1690824060,+3.53,+34.108, +7.534,+0.906
1690824660,+3.54,+34.055, +7.592,+0.907
1690825260,+3.54,+34.002, +7.447,+0.907
1690825860,+3.54,+33.940, +7.345,+0.907
1690826460,+3.54,+33.913, +7.291,+0.907
1690827060,+3.54,+33.869, +7.186,+0.908
1690827660,+3.54,+33.842, +7.052,+0.907
1690828260,+3.54,+33.807, +7.031,+0.908
1690828860,+3.54,+33.780, +6.906,+0.908
1690829460,+3.54,+33.780, +6.501,+0.907
1690830060,+3.54,+33.700, +6.431,+0.908
1690830660,+3.54,+33.665, +6.412,+0.908
1690831260,+3.54,+33.638, +6.385,+0.908
1690831860,+3.54,+33.612, +6.384,+0.908
1690832460,+3.54,+33.594, +6.488,+0.908
1690833060,+3.54,+33.682, +6.244,+0.907
1690833660,+3.54,+33.860, +6.588,+0.907
1690834260,+3.54,+33.851, +6.360,+0.907
1690834860,+3.54,+33.833, +6.236,+0.906
1690835460,+3.54,+33.807, +6.192,+0.907
1690836060,+3.54,+33.833, +6.320,+0.907
1690836660,+3.54,+33.815, +6.162,+0.907
1690837260,+3.54,+33.815, +5.977,+0.907
1690837860,+3.54,+33.771, +6.052,+0.907
1690838460,+3.54,+33.744, +5.979,+0.907
1690839060,+3.54,+33.718, +5.904,+0.907
1690839660,+3.54,+33.674, +5.582,+0.907
1690840260,+3.54,+33.665, +5.665,+0.907
1690840860,+3.54,+33.656, +5.776,+0.906
1690841460,+3.54,+33.629, +5.726,+0.907
1690842060,+3.54,+33.594, +5.793,+0.907
1690842660,+3.54,+33.585, +5.805,+0.907
1690843260,+3.54,+33.594, +5.905,+0.907
1690843860,+3.54,+33.603, +5.741,+0.907
1690844460,+3.54,+33.603, +5.735,+0.907
1690845060,+3.54,+33.603, +5.631,+0.907
1690845660,+3.54,+33.585, +5.654,+0.907
1690846260,+3.54,+33.594, +5.680,+0.907
1690846860,+3.54,+33.585, +5.699,+0.907
1690847460,+3.54,+33.576, +5.752,+0.907
1690848060,+3.54,+33.567, +5.743,+0.907
1690848660,+3.54,+33.550, +5.690,+0.907
1690849260,+3.54,+33.559, +5.567,+0.907
1690849860,+3.54,+33.117, +4.956,+0.908
1690850460,+3.53,+32.993, +4.891,+0.908
1690851060,+3.53,+32.932, +4.791,+0.908
1690851660,+3.53,+32.932, +4.580,+0.908
