timestamp,date_time_utc,date_time,       Battery,temp,DO,DO_sat,             Q,serial,treatment
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.5,22.038,6.639918,95.904157,0.958,106600,wiper
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.5,22.255,6.61939,95.971569,0.96,106600,wiper
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.5,23.008,6.527019,95.879168,0.96,106600,wiper
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.5,23.519,6.46745,95.844002,0.96,106600,wiper
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.5,23.972,6.415853,95.818998,0.96,106600,wiper
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.5,24.374,6.377922,95.90582,0.96,106600,wiper
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.5,24.786,6.343988,96.062376,0.96,106600,wiper
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.5,25.182,6.301047,96.049536,0.96,106600,wiper
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.5,25.957,6.234673,96.274353,0.972,106600,wiper
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.49,27.262,6.112345,96.434087,0.972,106600,wiper
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.49,26.405,6.232695,96.959875,0.972,106600,wiper
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.5,25.738,6.30506,97.007548,0.971,106600,wiper
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.5,25.241,6.351835,96.919514,0.971,106600,wiper
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.5,24.862,6.394133,96.945745,0.972,106600,wiper
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.5,24.475,6.429102,96.840999,0.971,106600,wiper
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.5,24.181,6.459413,96.813454,0.972,106600,wiper
1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,3.5,23.863,6.48306,96.642787,0.971,106600,wiper
1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,3.51,23.594,6.500831,96.462705,0.97,106600,wiper
1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,3.51,23.343,6.528297,96.453581,0.971,106600,wiper
1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,3.5,23.092,6.562869,96.545801,0.971,106600,wiper
1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,3.5,22.849,6.568126,96.217851,0.97,106600,wiper
1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,3.51,22.657,6.595349,96.295306,0.971,106600,wiper
1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,3.51,22.447,6.612036,96.186757,0.971,106600,wiper
1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,3.51,22.255,6.638415,96.247415,0.971,106600,wiper
1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,3.5,22.071,6.647425,96.068152,0.971,106600,wiper
1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,3.51,21.904,6.674045,96.170607,0.971,106600,wiper
1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,3.51,21.762,6.689051,96.146384,0.971,106600,wiper
1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,3.51,21.594,6.6982,95.993152,0.971,106600,wiper
1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,3.51,21.477,6.707929,95.934068,0.97,106600,wiper
1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,3.51,21.344,6.72063,95.889702,0.97,106600,wiper
1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,3.51,21.193,6.737858,95.878344,0.971,106600,wiper
1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,3.51,21.076,6.741232,95.727058,0.97,106600,wiper
1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,3.51,20.976,6.754293,95.741911,0.97,106600,wiper
1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,3.51,20.859,6.774263,95.824829,0.97,106600,wiper
